rank	en	fr	ladder	v5	v7	strict	loops	dual	cognate	sound	meaning
1	accept	accepte	DUAL-S	A	GOLD			DUAL-S	1	0.950	0.956
1	accept	acceptent	DUAL-S	A	GOLD		1	DUAL-S	1	0.950	0.929
1	address	adresse	DUAL-S	A	GOLD			DUAL-S	1	0.816	0.984
1	affect	affectent	DUAL-S	A	GOLD		1	DUAL-S	1	0.949	0.822
1	air	air	DUAL-S		GOLD			DUAL-S	1	0.768	1.000
1	airborne	airborne	DUAL-S					DUAL-S	1		
1	airlift	airlift	DUAL-S					DUAL-S	1		
1	airplay	airplay	DUAL-S					DUAL-S	1		
1	airs	airs	DUAL-S					DUAL-S	1		
1	amazing	amazing	DUAL-S					DUAL-S	1		
1	andreas	andreas	DUAL-S					DUAL-S	1		
1	annex	annexe	DUAL-S					DUAL-S	1		
1	antique	antique	DUAL-S					DUAL-S	1		
1	apex	apex	DUAL-S		GOLD			DUAL-S	1	0.860	1.000
1	approve	approuve	DUAL-S					DUAL-S	1		
1	approve	approuvent	DUAL-S					DUAL-S	1		
1	aspect	aspect	DUAL-S					DUAL-S	1		
1	aspx	aspx	DUAL-S					DUAL-S	1		
1	badge	badge	DUAL-S		GOLD	1		DUAL-S	1	0.977	1.000
1	baku	bakou	DUAL-S					DUAL-S	1		
1	bali	bali	DUAL-S					DUAL-S	1		
1	baptiste	baptiste	DUAL-S					DUAL-S	1		
1	baseball	baseball	DUAL-S					DUAL-S	1		
1	basque	basque	DUAL-S					DUAL-S	1		
1	beatrice	beatrice	DUAL-S					DUAL-S	1		
1	beck	beck	DUAL-S					DUAL-S	1		
1	becker	becker	DUAL-S					DUAL-S	1		
1	beijing	beijing	DUAL-S					DUAL-S	1		
1	bel	bel	DUAL-S					DUAL-S	1		
1	belfast	belfast	DUAL-S					DUAL-S	1		
1	belgrade	belgrade	DUAL-S					DUAL-S	1		
1	belize	belize	DUAL-S					DUAL-S	1		
1	bella	bella	DUAL-S					DUAL-S	1		
1	belle	belle	DUAL-S		GOLD			DUAL-S	1	1.000	1.000
1	belmont	belmont	DUAL-S					DUAL-S	1		
1	ben	ben	DUAL-S					DUAL-S	1		
1	bennett	bennett	DUAL-S					DUAL-S	1		
1	best	best	DUAL-S					DUAL-S	1		
1	bet	bet	DUAL-S					DUAL-S	1		
1	bhutan	bhoutan	DUAL-S					DUAL-S	1		
1	black	black	DUAL-S					DUAL-S	1		
1	blacklist	blacklist	DUAL-S					DUAL-S	1		
1	blair	blair	DUAL-S		GOLD	1		DUAL-S	1	0.864	1.000
1	blanche	blanche	DUAL-S					DUAL-S	1		
1	bliss	bliss	DUAL-S					DUAL-S	1		
1	blog	blogue	DUAL-S					DUAL-S	1		
1	bluff	bluff	DUAL-S					DUAL-S	1		
1	bolt	bolt	DUAL-S					DUAL-S	1		
1	boom	boum	DUAL-S	S	GOLD			DUAL-S	1	1.000	0.660
1	born	born	DUAL-S					DUAL-S	1		
1	boss	boss	DUAL-S		GOLD			DUAL-S	1	1.000	1.000
1	boston	boston	DUAL-S		GOLD	1		DUAL-S	1	0.906	1.000
1	bowie	bowie	DUAL-S					DUAL-S	1		
1	brad	brad	DUAL-S					DUAL-S	1		
1	bremen	brème	DUAL-S					DUAL-S	0		
1	bremen	brême	DUAL-S					DUAL-S	0		
1	brennan	brennan	DUAL-S					DUAL-S	1		
1	brett	brett	DUAL-S					DUAL-S	1		
1	brewery	brasserie	DUAL-S					DUAL-S	0		
1	brick	brick	DUAL-S					DUAL-S	1		
1	brick	brique	DUAL-S	A	GOLD			DUAL-S	0	0.821	0.871
1	brick	briques	DUAL-S	A	GOLD	1		DUAL-S	0	0.821	0.894
1	bridge	bridge	DUAL-S		GOLD			DUAL-S	1	0.837	1.000
1	brief	bref	DUAL-S					DUAL-S	1		
1	brighton	brighton	DUAL-S					DUAL-S	1		
1	broadway	broadway	DUAL-S					DUAL-S	1		
