en	fr	score	tier	gold_en	gold_fr	src_tier
academy	égaient omise	0.488	PASS	academy	égaient omis	S
academy	égaient omi	0.574	PASS	academy	égaient omis	S
academy	égaient omises	0.488	PASS	academy	égaient omis	S
academies	égaient omise	0.622	STRICT	academy	égaient omis	S
academies	égaient omi	0.488	PASS	academy	égaient omis	S
academies	égaient omises	0.622	STRICT	academy	égaient omis	S
according	écot ines	0.494	PASS	according	écot in	S
according	écot ina	0.472	PASS	according	écot in	S
according	écot ine	0.494	PASS	according	écot in	S
according	écot inés	0.464	PASS	according	écot in	S
according	écot inez	0.464	PASS	according	écot in	S
accords	écot ines	0.477	PASS	according	écot in	S
accords	écot ina	0.456	PASS	according	écot in	S
accords	écot ine	0.477	PASS	according	écot in	S
accorded	écot ines	0.477	PASS	according	écot in	S
accorded	écot ina	0.456	PASS	according	écot in	S
accorded	écot ine	0.477	PASS	according	écot in	S
accord	écot ines	0.506	PASS	according	écot in	S
accord	écot ina	0.477	PASS	according	écot in	S
accord	écot ine	0.506	PASS	according	écot in	S
accord	écot inés	0.477	PASS	according	écot in	S
accord	écot inez	0.477	PASS	according	écot in	S
acoustic	égouts tics	0.521	PASS	acoustic	égouts tic	S
acoustic	égout tic	0.521	PASS	acoustic	égouts tic	S
addresses	adrets aisé	0.564	PASS	addresses	adrets aise	S
addresses	adrets aises	0.665	STRICT	addresses	adrets aise	S
addressing	adrets aisé	0.522	PASS	addresses	adrets aise	S
addressing	adrets aises	0.557	PASS	addresses	adrets aise	S
addressed	adrets aisé	0.542	PASS	addresses	adrets aise	S
addressed	adrets aises	0.568	PASS	addresses	adrets aise	S
address	adrets aisé	0.547	PASS	addresses	adrets aise	S
address	adrets aises	0.575	PASS	addresses	adrets aise	S
aesthetic	hissent éthiques	0.463	PASS	aesthetic	hissent éthique	S
affected	évoquent aider	0.480	PASS	affected	évoquent aide	S
affected	évoquent aida	0.480	PASS	affected	évoquent aide	S
affected	évoquent aidé	0.480	PASS	affected	évoquent aide	S
affected	évoquent aidez	0.480	PASS	affected	évoquent aide	S
affected	évoquent aident	0.569	PASS	affected	évoquent aide	S
affected	évoquent aidait	0.480	PASS	affected	évoquent aide	S
affected	évoquent aides	0.569	PASS	affected	évoquent aide	S
affected	évoquent aidant	0.480	PASS	affected	évoquent aide	S
affect	évoquent aider	0.458	PASS	affected	évoquent aide	S
affect	évoquent aida	0.458	PASS	affected	évoquent aide	S
affect	évoquent aidé	0.458	PASS	affected	évoquent aide	S
affect	évoquent aidez	0.458	PASS	affected	évoquent aide	S
affect	évoquent aident	0.477	PASS	affected	évoquent aide	S
affect	évoquent aidait	0.458	PASS	affected	évoquent aide	S
affect	évoquent aides	0.477	PASS	affected	évoquent aide	S
affect	évoquent aidant	0.458	PASS	affected	évoquent aide	S
affecting	évoquent aident	0.465	PASS	affected	évoquent aide	S
affecting	évoquent aides	0.465	PASS	affected	évoquent aide	S
affecting	évoquent aidant	0.471	PASS	affected	évoquent aide	S
affecteds	évoquent aider	0.454	PASS	affected	évoquent aide	S
affecteds	évoquent aida	0.462	PASS	affected	évoquent aide	S
affecteds	évoquent aidé	0.454	PASS	affected	évoquent aide	S
affecteds	évoquent aidez	0.454	PASS	affected	évoquent aide	S
affecteds	évoquent aident	0.480	PASS	affected	évoquent aide	S
affecteds	évoquent aidait	0.454	PASS	affected	évoquent aide	S
affecteds	évoquent aides	0.480	PASS	affected	évoquent aide	S
affecteds	évoquent aidant	0.462	PASS	affected	évoquent aide	S
affects	évoquent aider	0.458	PASS	affected	évoquent aide	S
affects	évoquent aida	0.458	PASS	affected	évoquent aide	S
affects	évoquent aidé	0.458	PASS	affected	évoquent aide	S
affects	évoquent aidez	0.458	PASS	affected	évoquent aide	S
affects	évoquent aident	0.477	PASS	affected	évoquent aide	S
affects	évoquent aidait	0.458	PASS	affected	évoquent aide	S
affects	évoquent aides	0.477	PASS	affected	évoquent aide	S
affects	évoquent aidant	0.458	PASS	affected	évoquent aide	S
amended	amènent aidez	0.556	PASS	amended	amènent aide	S
amended	amènent aidant	0.556	PASS	amended	amènent aide	S
amended	amènent aider	0.556	PASS	amended	amènent aide	S
amended	amènent aidait	0.556	PASS	amended	amènent aide	S
amended	amènent aident	0.651	STRICT	amended	amènent aide	S
amended	amènent aidé	0.556	PASS	amended	amènent aide	S
amended	amènent aides	0.651	STRICT	amended	amènent aide	S
amended	amènent aida	0.556	PASS	amended	amènent aide	S
amends	amènent aidez	0.541	PASS	amended	amènent aide	S
amends	amènent aidant	0.541	PASS	amended	amènent aide	S
amends	amènent aider	0.541	PASS	amended	amènent aide	S
amends	amènent aidait	0.541	PASS	amended	amènent aide	S
amends	amènent aident	0.567	PASS	amended	amènent aide	S
amends	amènent aidé	0.541	PASS	amended	amènent aide	S
amends	amènent aides	0.567	PASS	amended	amènent aide	S
amends	amènent aida	0.541	PASS	amended	amènent aide	S
amend	amènent aidez	0.545	PASS	amended	amènent aide	S
amend	amènent aidant	0.545	PASS	amended	amènent aide	S
amend	amènent aider	0.545	PASS	amended	amènent aide	S
amend	amènent aidait	0.545	PASS	amended	amènent aide	S
amend	amènent aident	0.644	STRICT	amended	amènent aide	S
amend	amènent aidé	0.545	PASS	amended	amènent aide	S
amend	amènent aides	0.644	STRICT	amended	amènent aide	S
amend	amènent aida	0.545	PASS	amended	amènent aide	S
amending	amènent aidez	0.519	PASS	amended	amènent aide	S
amending	amènent aidant	0.541	PASS	amended	amènent aide	S
amending	amènent aider	0.519	PASS	amended	amènent aide	S
amending	amènent aidait	0.533	PASS	amended	amènent aide	S
amending	amènent aident	0.542	PASS	amended	amènent aide	S
amending	amènent aidé	0.519	PASS	amended	amènent aide	S
amending	amènent aides	0.542	PASS	amended	amènent aide	S
amending	amènent aida	0.519	PASS	amended	amènent aide	S
anatomy	hennit omises	0.473	PASS	anatomy	hennit omis	S
anatomy	hennit omise	0.473	PASS	anatomy	hennit omis	S
anatomy	hennit omi	0.561	PASS	anatomy	hennit omis	S
anatomies	hennit omises	0.613	STRICT	anatomy	hennit omis	S
anatomies	hennit omise	0.613	STRICT	anatomy	hennit omis	S
anatomies	hennit omi	0.473	PASS	anatomy	hennit omis	S
any	haies nient	1.000	STRICT	any	haie nient	S
arrested	hérissent aides	0.566	PASS	arrested	hérissent aide	S
arrested	hérissent aidait	0.473	PASS	arrested	hérissent aide	S
arrested	hérissent aidant	0.473	PASS	arrested	hérissent aide	S
arrested	hérissent aident	0.566	PASS	arrested	hérissent aide	S
arrested	hérissent aider	0.473	PASS	arrested	hérissent aide	S
arrested	hérissent aidé	0.473	PASS	arrested	hérissent aide	S
arrested	hérissent aida	0.473	PASS	arrested	hérissent aide	S
arrested	hérissent aidez	0.473	PASS	arrested	hérissent aide	S
arrest	hérissent aides	0.470	PASS	arrested	hérissent aide	S
arrest	hérissent aidait	0.452	PASS	arrested	hérissent aide	S
arrest	hérissent aidant	0.452	PASS	arrested	hérissent aide	S
arrest	hérissent aident	0.470	PASS	arrested	hérissent aide	S
arrest	hérissent aider	0.452	PASS	arrested	hérissent aide	S
arrest	hérissent aidé	0.452	PASS	arrested	hérissent aide	S
arrest	hérissent aida	0.452	PASS	arrested	hérissent aide	S
