tier	score	via	gold	filler	cognate	novel	en	fr
S	1.0	retrieve	1	0	0	0	to	tout
S	1.0	retrieve	1	0	0	0	for	forts
S	1.0	retrieve	1	0	0	0	for	fort
S	1.0	retrieve	1	0	0	0	be	by
S	1.0	retrieve	1	0	0	0	or	hors
S	1.0	retrieve	1	0	0	0	we	oui
S	1.0	retrieve	1	0	0	0	me	my
S	1.0	retrieve	1	0	0	0	me	mit
S	1.0	decode	1	0	0	0	more	maures
S	1.0	retrieve	1	0	0	0	do	doux
S	1.0	decode	1	0	0	0	get	guette
S	1.0	decode	1	0	0	0	she	chie
S	1.0	retrieve	1	0	0	0	new	nous
S	1.0	retrieve	1	0	0	0	see	si
S	1.0	retrieve	1	0	0	0	see	ci
S	1.0	retrieve	1	0	0	0	two	tout
S	1.0	retrieve	1	0	0	0	two	to
S	1.0	retrieve	1	0	0	0	too	tout
S	1.0	retrieve	1	0	0	0	too	to
S	1.0	retrieve	1	0	0	0	feel	fils
S	1.0	retrieve	1	0	0	0	feel	file
S	1.0	retrieve	1	0	0	0	team	tim
S	1.0	decode	1	0	0	0	ever	ève
S	1.0	retrieve	1	0	0	0	set	sept
S	1.0	retrieve	1	0	0	0	set	cette
S	1.0	retrieve	1	0	1	0	group	groupes
S	1.0	retrieve	1	0	1	0	group	groupe
S	1.0	decode	1	0	0	0	read	ride
S	1.0	retrieve	1	0	0	0	mean	mines
S	1.0	retrieve	1	0	0	0	mean	mine
S	1.0	retrieve	1	0	0	0	tell	tels
S	1.0	retrieve	1	0	0	0	tell	telles
S	1.0	retrieve	1	0	0	0	call	colle
S	1.0	retrieve	1	0	0	0	call	col
S	1.0	retrieve	1	0	0	0	men	mène
S	1.0	retrieve	1	0	0	0	less	laissent
S	1.0	retrieve	1	0	0	0	less	laisse
S	1.0	retrieve	1	0	0	0	least	listes
S	1.0	retrieve	1	0	0	0	least	liste
S	1.0	retrieve	1	0	0	0	true	trous
S	1.0	retrieve	1	0	0	0	true	trou
S	1.0	retrieve	1	0	1	0	air	ère
S	1.0	retrieve	1	0	1	0	air	aire
S	1.0	retrieve	1	0	0	0	due	doux
S	1.0	decode	1	0	1	0	police	pelisse
S	1.0	decode	1	0	0	0	short	short
S	1.0	decode	1	0	0	0	red	raid
S	1.0	retrieve	1	0	1	0	form	formes
S	1.0	retrieve	1	0	1	0	form	forment
S	1.0	retrieve	1	0	1	0	west	ouest
S	1.0	retrieve	1	0	0	0	former	formes
S	1.0	retrieve	1	0	0	0	former	forment
S	1.0	decode	1	0	0	0	meet	mites
S	1.0	decode	1	1	0	1	de	de
S	1.0	retrieve	1	0	0	0	re	riz
S	1.0	retrieve	1	0	0	0	rest	restes
S	1.0	retrieve	1	0	0	0	rest	restent
S	1.0	retrieve	1	0	1	0	sex	sexe
S	1.0	retrieve	1	0	0	0	knew	nous
S	1.0	retrieve	1	0	0	0	share	chère
S	1.0	retrieve	1	0	0	0	share	chers
S	1.0	retrieve	1	0	1	0	test	tests
S	1.0	retrieve	1	0	1	0	press	presse
S	1.0	retrieve	1	0	0	0	fall	folle
S	1.0	retrieve	1	0	1	0	league	ligue
S	1.0	decode	1	0	0	0	step	steppes
S	1.0	retrieve	1	0	0	0	key	qui
S	1.0	decode	1	0	0	0	led	laide
S	1.0	retrieve	1	0	0	0	born	bornes
S	1.0	retrieve	1	0	0	0	met	mettent
S	1.0	retrieve	1	0	0	0	super	soupe
S	1.0	retrieve	1	0	0	0	daughter	dort
S	1.0	retrieve	1	0	0	0	daughter	dors
S	1.0	retrieve	1	0	0	0	sea	si
S	1.0	retrieve	1	0	0	0	sea	ci
S	1.0	decode	1	0	0	0	sleep	slip
S	1.0	retrieve	1	0	0	0	ball	bol
S	1.0	decode	1	0	0	1	paul	paul
S	1.0	decode	1	0	0	0	store	stores
S	1.0	retrieve	1	0	0	0	beat	bite
S	1.0	retrieve	1	0	0	0	text	textes
S	1.0	retrieve	1	0	0	0	text	texte
S	1.0	decode	1	0	0	0	cross	cross
S	1.0	retrieve	1	0	1	0	sort	sortes
S	1.0	retrieve	1	0	1	0	sort	sortent
S	1.0	retrieve	1	0	0	0	fair	fer
S	1.0	retrieve	1	0	0	0	fair	faire
S	1.0	retrieve	1	0	0	0	sell	sel
S	1.0	retrieve	1	0	0	0	sell	celles
