en	fr	certifications	example_loop
feel	files	12	en:feel ≈ fr:files ~ fr:file ≈ en:feels
sex	sectes	12	en:sect ~ fr:secte ≈ en:sext ~ en:sex ≈ fr:sectes
testers	test	12	en:testa ≈ fr:tester ~ en:testers ≈ fr:test ~ en:test ≈ fr:testés
explain	explosent	11	en:explained ~ en:explains ≈ fr:explose ~ fr:explosent ≈ en:explain
reads	rides	11	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
control	contrôles	10	en:controlled ~ en:control ≈ fr:contrôles ~ fr:contrôle ≈ en:controlling
read	ride	10	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
root	routes	10	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
succeed	secs ides	10	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
caller	col	9	en:call ≈ fr:cols ~ fr:col ≈ en:caller
letting	laid in	9	en:fitted ~ fr:laid ≈ en:let ~ en:letting ≈ fr:laid in ~ en:laid
steal	styles	9	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
tells	tels	9	en:such = fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
properties	apprise	8	en:asset ~ en:properties ≈ fr:apprise ~ fr:appris ≈ en:property
property	appris	8	en:asset ~ en:properties ≈ fr:apprise ~ fr:appris ≈ en:property
boot	bout	8	en:bootee ≈ fr:boutis ~ fr:bout ≈ en:boot
fools	foules	8	en:bulk ~ fr:full ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:foule ≈ en:full
stop	step	8	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
coup	coupe	8	en:chevy ~ fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes ~ en:coupe
coups	coupes	8	en:chevy ~ fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes ~ en:coupe
cream	crimes	8	en:cream ≈ fr:crimes ~ fr:crime ≈ en:creamy ~ fr:cream
creamy	crime	8	en:cream ≈ fr:crimes ~ fr:crime ≈ en:creamy ~ fr:cream
feels	files	8	en:feel ≈ fr:file ~ fr:files ≈ en:feels
grasp	grappes	8	en:grab ~ en:grabs ≈ fr:grappe ~ fr:grappes ≈ en:grasp ~ en:grabe
pause	pose	8	en:pause ≈ fr:pose ~ en:pose ≈ fr:pauses
peeve	pif	8	en:pea ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:peas = fr:pois
pleat	plisse	8	en:plead ~ en:pleader ≈ fr:plie ~ fr:plisse ≈ en:pleat
quantities	quad dix	8	en:proportions ~ en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
quantity	quad tee	8	en:proportions ~ en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
propose	proposes	8	en:proposal ~ fr:proposes ≈ en:propose ~ fr:proposent ≈ en:proposals
role	roll	8	en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
roots	route	8	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
success	secs ace	8	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
