sound	en	best_fr	good_candidates	total_candidates
1.000	zulu	zoulou	1	1
1.000	zoom	zoom	6	6
1.000	zoo	zou	2	2
1.000	zest	zeste	10	10
1.000	zen	zen	6	6
1.000	yuri	youri	1	1
1.000	yen	yen	5	5
1.000	west	ouest	4	4
1.000	wee	oui	1	2
1.000	vigne	vine	4	4
1.000	vex	vexe	5	5
1.000	vest	veste	5	6
1.000	vault	volts	4	4
1.000	two	tout	4	4
1.000	troop	troupe	4	4
1.000	toot	toute	2	2
1.000	too	tout	5	5
1.000	text	textes	6	6
1.000	test	test	13	13
1.000	terre	terres	2	3
1.000	teller	tels	2	2
1.000	tell	telle	3	3
1.000	tel	telle	7	7
1.000	technique	techniques	4	4
1.000	tech	teck	7	7
1.000	teat	tite	2	2
1.000	teak	tic	6	6
1.000	talk	toc	7	7
1.000	sushi	saoul chie	6	6
1.000	super	soupe	3	3
1.000	suit	soute	7	7
1.000	sufi	soufi	1	1
1.000	sued	soude	7	7
1.000	sue	saoul	4	4
1.000	steppe	steppes	9	9
1.000	step	steppe	11	13
1.000	stem	stemm	4	5
1.000	stellar	stèle	3	3
1.000	steel	style	3	3
1.000	stealer	style	2	2
1.000	steal	style	3	4
1.000	stalk	stock	12	13
1.000	spore	spores	1	1
1.000	soup	soupe	7	7
1.000	sought	sotte	3	3
1.000	sort	sorte	4	4
1.000	soft	soft	2	3
1.000	sleep	slip	1	1
1.000	ski	ski	6	6
1.000	sketch	sketchs	4	7
1.000	sir	ce	2	2
1.000	sikh	sikhs	1	1
1.000	shoot	choute	7	7
1.000	shoo	chou	2	2
1.000	shoe	chou	2	4
1.000	shiest	schiste	1	1
1.000	sheep	chipe	5	5
1.000	sheen	chine	3	3
1.000	sheaf	chiffe	3	3
1.000	she	chie	3	3
1.000	sexy	secs sis	4	4
1.000	sex	sexe	10	10
1.000	set	cet	8	8
1.000	sep	cep	1	1
1.000	sen	saine	1	1
1.000	seller	selle	4	4
1.000	sell	selle	4	4
1.000	selfie	selles fis	3	3
1.000	seize	sise	5	7
1.000	sees	sise	5	5
1.000	seem	cime	3	3
1.000	seek	sic	2	2
1.000	seeder	cid	2	2
1.000	seed	cid	9	13
1.000	see	ci	6	6
1.000	sector	secte	6	6
1.000	sect	secte	5	7
1.000	secs	sexe	2	2
1.000	sec	sec	6	7
1.000	seat	cite	6	9
1.000	seas	sise	5	5
1.000	seam	cime	2	3
1.000	sealer	cils	2	2
1.000	seal	cils	2	5
1.000	sea	ci	6	6
1.000	scoot	scout	4	4
1.000	says	seize	2	2
1.000	said	cède	10	10
1.000	rupee	roupie	2	2
1.000	rouge	rouges	4	4
1.000	rouf	rouff	1	1
1.000	reverie	rêverie	1	1
1.000	renne	rennes	1	1
1.000	raúl	raul	1	1
1.000	quiche	quiche	3	3
1.000	queen	couine	3	4
1.000	prove	prouve	7	7
1.000	pret	prête	4	4
1.000	press	presse	4	4
1.000	prairie	prairies	5	5
1.000	pore	pores	1	1
1.000	poop	poupe	4	4
1.000	pool	poule	3	4
1.000	pooh	pou	2	2
1.000	poof	pouf	6	6
1.000	pooch	putsch	2	2
1.000	poo	pou	2	2
1.000	pled	plaide	1	1
1.000	plea	pli	4	4
1.000	piqued	picte	2	2
1.000	pique	piques	1	1
1.000	pieced	piste	5	5
1.000	piece	pisse	7	7
1.000	phlegm	flemme	2	2
1.000	petite	petites	5	6
1.000	petit	petits	5	5
1.000	pet	pète	12	12
1.000	pest	peste	9	11
1.000	pepper	pep	1	6
1.000	pep	pep	2	2
1.000	penny	paies nient	4	4
1.000	penn	peine	1	1
1.000	pen	peine	8	11
1.000	pelle	pelles	1	1
1.000	peeve	pive	3	3
1.000	pees	pise	6	6
1.000	peep	pipe	4	4
1.000	peeler	pile	2	2
1.000	peel	pile	2	2
1.000	peeked	picte	2	2
1.000	peek	pic	8	8
1.000	pee	pi	7	7
1.000	pease	pise	6	6
1.000	peas	pise	6	7
1.000	peak	pic	10	10
1.000	peace	pisse	7	7
1.000	pea	pi	5	5
1.000	pause	pose	2	2
1.000	paul	paul	1	1
1.000	pair	paire	7	8
1.000	ought	hotte	2	2
1.000	orc	orcs	2	2
1.000	orb	orbe	1	1
