tier	score	gold	filler	novel	en	fr
S	1.0	1	0	1	for	for
S	1.0	1	0	1	or	or
S	1.0	1	0	1	any	henni
S	1.0	1	0	1	call	col
S	1.0	1	0	1	air	air
S	1.0	1	0	1	re	ri
S	1.0	1	0	1	share	chair
S	1.0	1	0	1	test	test
S	1.0	1	0	1	lord	lord
S	1.0	1	0	1	cross	cross
S	1.0	1	0	1	sell	celle
S	1.0	1	0	1	cell	celle
S	1.0	1	0	1	boss	boss
S	1.0	1	0	1	net	net
S	1.0	1	0	1	lee	lie
S	1.0	1	0	1	pair	pair
S	1.0	1	0	1	error	air
S	1.0	1	0	1	technique	technique
S	1.0	1	0	1	ought	hotte
S	1.0	1	0	1	sec	sec
S	1.0	1	0	1	mall	mole
S	1.0	1	0	1	corps	corps
S	1.0	1	0	1	chef	chef
S	1.0	1	0	1	ski	ski
S	1.0	1	0	1	seller	celle
S	1.0	1	0	1	heir	air
S	1.0	1	0	1	belle	belle
S	1.0	1	0	1	prestige	prestige
S	1.0	1	0	1	yen	yen
S	1.0	1	0	1	rouge	rouge
S	1.0	1	0	1	si	si
S	1.0	1	0	1	chemise	chemise
S	1.0	1	0	1	chic	chic
S	1.0	1	0	1	douche	douche
S	1.0	1	0	1	en	n
S	1.0	1	0	1	mousse	mousse
S	1.0	1	0	1	petite	petite
S	1.0	1	0	1	quiche	quiche
S	1.0	1	0	1	sketch	sketch
S	1.0	1	0	1	stem	stem
S	1.0	1	0	1	zoom	zoom
S	1.0	1	0	1	explorer	explorent
S	1.0	1	0	1	except	excepte
S	1.0	1	0	1	prairie	prairie
S	1.0	1	0	1	explore	explorent
S	1.0	1	0	1	text	textes
S	1.0	1	0	1	dress	dresse
S	1.0	1	0	1	police	pelisse
S	1.0	1	0	1	dean	dîne
S	1.0	1	0	1	leisure	lige
S	1.0	1	0	1	pt	pythie
S	1.0	1	0	1	routine	routine
S	1.0	1	0	1	floor	flores
S	1.0	1	0	1	cedar	cid
S	1.0	1	0	1	more	maures
S	1.0	1	0	1	get	guette
S	1.0	1	0	1	free	frit
S	1.0	1	0	1	care	caire
S	1.0	1	0	1	short	short
S	1.0	1	0	1	store	stores
S	1.0	1	0	1	pour	pores
S	1.0	1	0	1	trek	trek
S	1.0	1	0	1	leap	lippe
S	1.0	1	0	1	reef	rif
S	1.0	1	0	1	stellar	stèle
S	1.0	1	0	1	cheque	tchèque
S	1.0	1	0	1	fl	eiffel
S	1.0	1	0	1	fever	fiv
S	1.0	1	0	1	broad	brode
S	1.0	1	0	1	broader	brode
S	1.0	1	0	1	stretch	stretch
S	1.0	1	0	1	soft	soft
S	1.0	1	0	1	beg	bègue
S	1.0	1	0	1	pause	pose
S	1.0	1	0	1	goose	gousses
S	1.0	1	0	1	zen	zen
S	1.0	1	0	1	coot	coûte
S	1.0	1	0	1	ever	ève
S	1.0	1	0	1	pepper	pep
S	1.0	1	0	1	ore	ores
S	1.0	1	0	1	offset	offset
S	1.0	1	0	0	dew	doux
S	1.0	1	0	1	pep	pep
S	1.0	1	0	1	deem	dîme
S	1.0	1	0	1	stealer	style
S	1.0	1	0	1	secs	sexes
S	1.0	1	0	1	peeler	pile
S	1.0	1	0	1	metre	mirent
S	1.0	1	0	1	fetter	faire
S	1.0	1	0	1	feeler	file
S	1.0	1	0	1	corder	corde
S	1.0	1	0	1	cellar	celle
S	1.0	1	0	1	caller	col
S	1.0	1	0	1	breeder	bride
S	1.0	1	0	1	baulks	boxe
S	1.0	1	0	1	exhort	exhorte
S	1.0	1	0	1	teller	tels
S	1.0	1	0	1	petter	pair
S	1.0	1	0	1	deli	delhi
S	1.0	1	0	1	claws	close
S	1.0	1	0	1	tooter	tours
S	1.0	1	0	1	teeter	tir
S	1.0	1	0	1	tauter	tore
S	1.0	1	0	1	suitor	sourd
S	1.0	1	0	1	setter	serre
S	1.0	1	0	1	seeder	cid
S	1.0	1	0	1	sealer	cils
S	1.0	1	0	1	looter	lourd
S	1.0	1	0	1	faller	folles
S	1.0	1	0	1	praetor	prirent
S	1.0	1	0	1	litre	lire
S	1.0	1	0	1	redder	raid
S	1.0	1	0	1	debtor	der
S	1.0	1	1	1	de	de
S	1.0	1	0	1	paul	paul
S	1.0	1	0	1	pre	pris
S	1.0	1	0	1	mary	mairie
S	1.0	1	0	1	et	êtes
S	1.0	1	1	1	el	elle
S	1.0	1	0	1	ve	vie
S	1.0	1	1	1	le	le
S	1.0	1	0	1	ross	rosse
S	1.0	1	0	1	bruce	brousse
S	1.0	1	0	1	di	dit
S	1.0	1	0	1	delhi	delhi
S	1.0	1	0	1	se	si
S	1.0	1	0	1	du	doux
S	1.0	1	0	1	ep	hep
S	1.0	1	0	1	der	der
S	1.0	1	0	1	neil	nil
S	1.0	1	0	1	les	laisse
S	1.0	1	0	1	ne	ni
S	1.0	1	0	1	sen	saine
S	1.0	1	0	1	blair	blair
S	1.0	1	0	1	reid	ride
S	1.0	1	0	1	claire	clair
S	1.0	1	0	1	czech	tchèque
S	1.0	1	0	1	lou	loup
S	1.0	1	0	1	sep	cep
S	1.0	1	0	1	leicester	lest
S	1.0	1	0	1	su	sou
S	1.0	1	0	1	fe	fi
S	1.0	1	0	1	penn	peine
S	1.0	1	0	1	peru	proue
S	1.0	1	0	1	fu	fou
S	1.0	1	0	1	trevor	trêve
S	0.925	1	1	1	sc	est si
S	0.92	0	0	1	mortar	maure
S	0.92	0	0	1	sorter	sort
S	0.901	1	0	1	explored	explorent
A	0.889	0	0	1	stretched	stretch
A	0.886	0	0	1	stretches	stretch
A	0.885	0	0	1	exile	exhale
A	0.88	0	0	1	creaky	kiki
A	0.872	0	0	1	texts	textes
A	0.872	0	0	1	corset	corset
A	0.868	0	0	1	sixteen	sixtine
A	0.868	0	0	1	excessive	excessive
A	0.864	0	0	1	bride	brade
