en_phrase	fr_phrase	combo	coverage	fluency
Humpty Dumpty	un petit un petit	0.549	0.92	0.855
Humpty Dumpty sat on a wall	on petit on petits est on éole	0.521	0.90	0.513
Hickory dickory dock	écrit critiques	0.608	0.85	0.298
Jack and Jill	chicanes gin	0.519	0.91	0.068
Jack and Jill went up the hill	chacun des loin tapes oïl	0.488	0.86	0.263
little Jack Horner	lord licorne	0.580	0.85	0.356
twinkle twinkle little star	tien collent lin galloises tard	0.504	0.91	0.113
hey diddle diddle	était elles est elle	0.509	0.85	0.622
the cat and the fiddle	dégât ânes devait elle	0.528	1.00	0.250
rain rain go away	rien rien gauler	0.523	0.80	0.285
Jack be nimble	déclin un bile	0.529	0.92	0.352
old mother Hubbard	osent mes apte	0.469	0.82	0.239
little Miss Muffet	drôlement met êtes	0.489	0.92	0.342
Mary had a little lamb	méritait héliotrope	0.454	0.94	0.000
rock a bye baby	rentabilité	0.463	0.83	0.284
pat a cake pat a cake	peut équipement cake	0.551	0.81	0.307
of the	aux je	0.463	1.00	0.582
in the	un de	0.552	1.00	0.871
to the	tenait	0.626	1.00	0.333
to be	tapis	0.656	1.00	0.376
it was	toise	0.644	0.80	0.013
and the	n de	0.597	1.00	0.738
it is	heureuse	0.511	1.00	0.170
of his	avise	0.557	0.80	0.116
on the	on de	0.581	1.00	0.848
from the	frein de	0.674	1.00	0.550
at the	et de	0.524	1.00	0.964
by the	bas est	0.637	0.80	0.471
with the	ouais de	0.581	1.00	0.484
for the	fle	0.554	1.00	0.072
had been	et bine	0.534	0.83	0.360
that the	d de	0.498	1.00	0.784
he was	élise	0.523	0.80	0.154
that he	dédie	0.531	0.80	0.147
of my	aux ma	0.479	0.80	0.518
in his	un aise	0.531	0.80	0.477
he had	étendent	0.508	0.80	0.196
upon the	pan de	0.530	0.83	0.557
have been	aux bine	0.474	0.83	0.230
all the	hors est	0.496	1.00	0.478
the whale	javel	0.500	0.83	0.158
to me	demi	0.785	1.00	0.233
as the	aux de	0.482	1.00	0.667
one of	oisive	0.583	1.00	0.000
the same	ces aime	0.572	0.83	0.419
could not	con hâte	0.620	0.83	0.296
to his	dièse	0.507	0.80	0.097
did not	dit nattes	0.609	1.00	0.343
out of	arrive	0.637	0.80	0.459
she was	chieuse	0.605	0.80	0.009
and then	n donne	0.640	1.00	0.495
she had	chicane	0.595	1.00	0.118
in my	un ma	0.570	0.80	0.621
but the	bat de	0.612	1.00	0.484
do not	don hâte	0.640	1.00	0.335
there was	serveuse	0.577	1.00	0.202
there is	thérèse	0.526	1.00	0.273
was the	oies de	0.602	1.00	0.482
mr darcy	mettent dards et	0.564	1.00	0.323
is the	aux de	0.467	1.00	0.667
of this	aux vice	0.504	1.00	0.384
as to	osent ou	0.755	1.00	0.302
to her	tenait	0.621	1.00	0.333
you have	doivent	0.495	0.80	0.170
that it	ladite	0.514	1.00	0.233
and that	n date	0.573	1.00	0.487
was not	oies nattes	0.602	1.00	0.079
of it	évite	0.573	1.00	0.350
the first	dévaste	0.573	1.00	0.000
the most	chimiste	0.544	0.86	0.200
the ship	cegep	0.524	1.00	0.000
in this	haines ès	0.536	1.00	0.135
you are	hier	0.564	1.00	0.233
the sea	ceci	0.755	1.00	0.270
to my	thomas	0.652	0.80	0.170
as he	ascii	0.526	1.00	0.043
you will	yourte	0.554	0.80	0.000
would be	ouais pi	0.617	1.00	0.197
that she	litchi	0.690	1.00	0.000
that you	bayou	0.582	0.80	0.074
with his	vais aise	0.517	0.83	0.300
of all	envole	0.763	1.00	0.208
he is	crise	0.476	1.00	0.501
that is	baptise	0.520	1.00	0.080
to have	trêve	0.569	0.80	0.284
is not	n hâte	0.529	1.00	0.382
to see	ceci	0.770	1.00	0.270
and in	en dîne	0.566	1.00	0.351
if you	est roue	0.474	1.00	0.485
me to	met ou	0.772	1.00	0.504
of that	avenante	0.494	1.00	0.000
to him	terme	0.604	0.80	0.566
at last	athlète	0.596	0.83	0.313
over the	aux je	0.567	0.80	0.582
the whole	décolle	0.484	0.83	0.185
said he	saisi	0.737	0.80	0.233
would have	laid ève	0.518	0.83	0.324
as if	aux if	0.543	1.00	0.639
him to	aiment ou	0.749	0.80	0.302
must be	mat bis	0.658	1.00	0.128
my dear	madère	0.719	0.83	0.114
of their	ives air	0.619	1.00	0.290
when the	vin de	0.547	1.00	0.798
his own	ces aune	0.596	0.83	0.313
will be	libye	0.562	0.80	0.315
has been	aux bine	0.674	0.83	0.230
at all	idole	0.628	1.00	0.170
and his	en dise	0.552	0.83	0.767
and he	hindi	0.646	0.80	0.101
do you	doudou	0.763	1.00	0.164
it and	errante	0.461	0.80	0.024
me and	miles	0.542	0.80	0.296
but it	bénite	0.609	1.00	0.170
should be	choux pi	0.622	1.00	0.238
through the	trous est	0.524	1.00	0.483
