phrase	ipa	segs	count	score
site of	saɪtʌv	6	3	1.0359
range of	ɹeɪndʒʌv	8	3	1.0259
instead of	ɪnstɛdʌv	8	62	1.0214
population of	pɑpjʊleɪʃənʌv	13	4	1.0148
toward the	təwɔɹdðə	8	3	1.0067
edition of	ᵻdɪʃənʌv	7	3	0.9933
according to	ɐkoɹdɪŋtu	9	37	0.9904
series of	sɪɹizʌv	7	16	0.987
able to	eɪbəltu	7	95	0.9764
hundreds of	hʌndɹɪdzʌv	10	11	0.9735
regardless of	ɹᵻɡɑɹdləsʌv	10	3	0.9596
attempting to	ɐtɛmptɪŋtu	10	5	0.9388
unable to	ʌneɪbəltu	9	41	0.9301
consisting of	kənsɪstɪŋʌv	11	3	0.9169
belonging to	bᵻlɔŋɪŋtu	8	15	0.9143
accounting for	ɐkaʊntɪŋfɔɹ	11	4	0.914
indication of	ɪndɪkeɪʃənʌv	12	3	0.9135
u s	juɛs	4	4	0.912
paths of	pæθsʌv	6	4	0.909
cows and	kaʊzænd	7	4	0.8994
jar of	dʒɑɹʌv	6	3	0.8988
thirds of	θɜdzʌv	6	6	0.8965
liable to	laɪəbəltu	9	6	0.896
spite of	spaɪtʌv	7	54	0.8947
rid of	ɹɪdʌv	5	13	0.8931
fringe of	fɹɪndʒʌv	8	4	0.8908
abundance of	ɐbʌndənsʌv	10	4	0.8908
pretend to	pɹɪtɛndtu	9	16	0.8897
accordance with	ɐkoɹdənswɪð	11	3	0.8865
copyright by	kɑpɪɹaɪtbaɪ	11	35	0.8857
based upon	beɪstəpɑn	9	3	0.8852
specimens of	spɛsɪmənzʌv	11	3	0.8803
akin to	ɐkɪntu	6	9	0.8739
belongs to	bᵻlɔŋztu	7	14	0.8731
depicting the	dᵻpɪktɪŋðə	9	3	0.8718
trait of	tɹeɪtʌv	7	3	0.8709
verge of	vɜdʒʌv	6	3	0.8686
ma am	mɑæm	4	10	0.8622
pertaining to	pɚteɪnɪŋtu	9	5	0.862
gifted with	ɡɪftᵻdwɪð	8	3	0.8603
heap of	hipʌv	5	5	0.859
emblem of	ɛmbləmʌv	8	3	0.8578
realising the	ɹiəlaɪzɪŋðə	11	3	0.8557
