score	en	fr	en_ipa	chunk_recipe
1.0	wrest	reste	ɹɛst	ɹɛ+st
1.0	wreaks	rixe	ɹiːks	ɹi+ks
1.0	truce	trousse	tɹuːs	tɹ+us
1.0	troupe	troupes	tɹuːp	tɹ+up
1.0	tret	traite	tɹɛt	tɹ+ɛt
1.0	tress	tresses	tɹɛs	tɹ+ɛs
1.0	trawl	troll	tɹɔːl	tɹ+ɔl
1.0	titi	titi	tiːti	ti+ti
1.0	testa	tester	tɛstɐ	tɛs+tɐ
1.0	terrine	terrine	tɛɹiːn	tɛɹ+in
1.0	tepee	tipi	tiːpiː	ti+pi
1.0	teepee	tipi	tiːpiː	ti+pi
1.0	taller	tollé	tɔːlɐ	tɔ+lɐ
1.0	stree	stries	stɹiː	st+ɹi
1.0	streaked	strict	stɹiːkt	stɹi+kt
1.0	stork	stock	stɔːk	st+ɔk
1.0	stealer	stylé	stiːlɐ	sti+lɐ
1.0	spleen	spleen	spliːn	spl+in
1.0	shooter	shooter	ʃuːtɐ	ʃu+tɐ
1.0	shiest	schiste	ʃiːst	ʃi+st
1.0	settler	sait les	sɛtlɐ	sɛt+lɐ
1.0	secs	sexe	sɛks	sɛ+ks
1.0	rupee	roupies	ɹuːpiː	ɹu+pi
1.0	rumen	roumaine	ɹuːmɛn	ɹu+mɛn
1.0	roulette	roulette	ɹuːlɛt	ɹul+ɛt
1.0	roost	rouste	ɹuːst	ɹu+st
1.0	reeks	rixe	ɹiːks	ɹi+ks
1.0	pled	plaide	plɛd	pl+ɛd
1.0	phlegm	flemme	flɛm	fl+ɛm
1.0	petit	petit	pətiː	pə+ti
1.0	peeler	pilé	piːlɐ	pi+lɐ
1.0	peaty	pythie	piːti	pi+ti
1.0	moolah	moulé	muːlɐ	mu+lɐ
1.0	metre	mité	miːtɐ	mi+tɐ
1.0	meanie	mini	miːni	mi+ni
1.0	lulu	loulou	luːluː	lu+lu
1.0	lest	lest	lɛst	lɛ+st
1.0	kookie	cookie	kuːki	ku+ki
1.0	jeep	jeep	dʒiːp	dʒ+ip
1.0	groupie	groupies	ɡɹuːpi	ɡɹu+pi
1.0	groom	groom	ɡɹuːm	ɡɹ+um
1.0	grieve	grive	ɡɹiːv	ɡɹ+iv
1.0	greave	grive	ɡɹiːv	ɡɹ+iv
1.0	frieze	frise	fɹiːz	fɹ+iz
1.0	fret	fret	fɹɛt	fɹ+ɛt
