en	fr	score	tier	gold_en	gold_fr	src_tier
accept	accepter	0.726	STRICT	accept	accepte	DUAL-S
accept	accepté	0.726	STRICT	accept	accepte	DUAL-S
accept	acceptent	0.845	STRICT	accept	accepte	DUAL-S
accept	acceptez	0.726	STRICT	accept	accepte	DUAL-S
accept	acceptant	0.726	STRICT	accept	accepte	DUAL-S
accept	acceptes	0.845	STRICT	accept	accepte	DUAL-S
accept	accepta	0.726	STRICT	accept	accepte	DUAL-S
accept	acceptait	0.726	STRICT	accept	accepte	DUAL-S
accepted	accepte	0.726	STRICT	accept	accepte	DUAL-S
accepted	accepter	0.684	STRICT	accept	accepte	DUAL-S
accepted	accepté	0.684	STRICT	accept	accepte	DUAL-S
accepted	acceptent	0.726	STRICT	accept	accepte	DUAL-S
accepted	acceptez	0.684	STRICT	accept	accepte	DUAL-S
accepted	acceptant	0.699	STRICT	accept	accepte	DUAL-S
accepted	acceptes	0.726	STRICT	accept	accepte	DUAL-S
accepted	accepta	0.688	STRICT	accept	accepte	DUAL-S
accepted	acceptait	0.684	STRICT	accept	accepte	DUAL-S
accepting	accepte	0.707	STRICT	accept	accepte	DUAL-S
accepting	accepter	0.685	STRICT	accept	accepte	DUAL-S
accepting	accepté	0.685	STRICT	accept	accepte	DUAL-S
accepting	acceptent	0.707	STRICT	accept	accepte	DUAL-S
accepting	acceptez	0.685	STRICT	accept	accepte	DUAL-S
accepting	acceptant	0.683	STRICT	accept	accepte	DUAL-S
accepting	acceptes	0.707	STRICT	accept	accepte	DUAL-S
accepting	accepta	0.670	STRICT	accept	accepte	DUAL-S
accepting	acceptait	0.692	STRICT	accept	accepte	DUAL-S
accepts	accepte	0.726	STRICT	accept	accepte	DUAL-S
accepts	accepter	0.688	STRICT	accept	accepte	DUAL-S
accepts	accepté	0.688	STRICT	accept	accepte	DUAL-S
accepts	acceptent	0.726	STRICT	accept	accepte	DUAL-S
accepts	acceptez	0.688	STRICT	accept	accepte	DUAL-S
accepts	acceptant	0.688	STRICT	accept	accepte	DUAL-S
accepts	acceptes	0.726	STRICT	accept	accepte	DUAL-S
accepts	accepta	0.688	STRICT	accept	accepte	DUAL-S
accepts	acceptait	0.688	STRICT	accept	accepte	DUAL-S
address	adresser	0.683	STRICT	address	adresse	DUAL-S
address	adressé	0.683	STRICT	address	adresse	DUAL-S
address	adresses	0.818	STRICT	address	adresse	DUAL-S
address	adressant	0.683	STRICT	address	adresse	DUAL-S
address	adressent	0.818	STRICT	address	adresse	DUAL-S
address	adressait	0.683	STRICT	address	adresse	DUAL-S
address	adressez	0.683	STRICT	address	adresse	DUAL-S
address	adressa	0.683	STRICT	address	adresse	DUAL-S
addressed	adresse	0.683	STRICT	address	adresse	DUAL-S
addressed	adresser	0.644	STRICT	address	adresse	DUAL-S
addressed	adressé	0.644	STRICT	address	adresse	DUAL-S
addressed	adresses	0.683	STRICT	address	adresse	DUAL-S
addressed	adressant	0.648	STRICT	address	adresse	DUAL-S
addressed	adressent	0.683	STRICT	address	adresse	DUAL-S
addressed	adressait	0.644	STRICT	address	adresse	DUAL-S
addressed	adressez	0.644	STRICT	address	adresse	DUAL-S
addressed	adressa	0.644	STRICT	address	adresse	DUAL-S
addresses	adresse	0.683	STRICT	address	adresse	DUAL-S
addresses	adresser	0.637	STRICT	address	adresse	DUAL-S
addresses	adressé	0.637	STRICT	address	adresse	DUAL-S
addresses	adresses	0.683	STRICT	address	adresse	DUAL-S
addresses	adressant	0.644	STRICT	address	adresse	DUAL-S
addresses	adressent	0.683	STRICT	address	adresse	DUAL-S
addresses	adressait	0.637	STRICT	address	adresse	DUAL-S
addresses	adressez	0.637	STRICT	address	adresse	DUAL-S
addresses	adressa	0.644	STRICT	address	adresse	DUAL-S
addressing	adresse	0.665	STRICT	address	adresse	DUAL-S
addressing	adresser	0.642	STRICT	address	adresse	DUAL-S
addressing	adressé	0.642	STRICT	address	adresse	DUAL-S
addressing	adresses	0.665	STRICT	address	adresse	DUAL-S
addressing	adressant	0.640	STRICT	address	adresse	DUAL-S
addressing	adressent	0.665	STRICT	address	adresse	DUAL-S
addressing	adressait	0.651	STRICT	address	adresse	DUAL-S
