seed	hops	quality	loop
accept	5	0.894	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:accepts = fr:accepte
accept	5	0.888	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:accepts ~ fr:acceptation
acceptance	4	0.898	en:acceptance ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptent
acceptance	4	0.902	en:acceptance ~ fr:acceptent ≈ en:except ~ fr:excepte ≈ en:accept
accepted	4	0.872	en:accepted ~ fr:acceptes ≈ en:accept ~ en:accepting ≈ fr:accepte
accepted	4	0.870	en:accepted ~ fr:acceptent ≈ en:accept ~ en:accepting ≈ fr:accepte
accepting	4	0.910	en:accepting ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptes
accepting	4	0.910	en:accepting ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptent
accepts	4	0.871	en:accepts ~ fr:acceptes ≈ en:except ~ fr:excepte ≈ en:accepted
accepts	4	0.857	en:accepts ~ fr:acceptes ≈ en:accept ~ en:accepting ≈ fr:accepte
according	6	0.898	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decrease ≈ fr:décrit ~ fr:thuja
according	6	0.898	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decrease ≈ fr:décrit ~ en:thuja
affect	5	0.878	en:affect ~ fr:affect ≈ en:affects = fr:affectent ≈ en:effect = fr:effets
affect	5	0.875	en:affect ~ fr:affect ≈ en:affects = fr:affectent ≈ en:effect ~ fr:effets
affecting	4	0.852	en:affecting ~ en:affect ≈ fr:affecte ~ fr:affect ≈ en:affects
affecting	4	0.851	en:affecting ~ en:affect ≈ fr:affecte ~ fr:affect ≈ en:affected
affects	4	0.866	en:affects = fr:affectent ≈ en:affect ~ fr:affect ≈ en:affected
affects	4	0.866	en:affects = fr:affecte ≈ en:affect ~ fr:affect ≈ en:affected
amended	4	0.945	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
appealed	6	0.861	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
appeals	6	0.860	en:appeals ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
asset	4	0.817	en:asset ~ en:properties ≈ fr:apprise ~ fr:appris ≈ en:property
asset	5	0.840	en:asset ~ en:properties ≈ fr:apprise ~ fr:appris ≈ en:property ~ fr:propriétés
assets	4	0.816	en:assets ~ en:property ≈ fr:appris ~ fr:apprise ≈ en:properties
assets	5	0.843	en:assets ~ en:property ≈ fr:appris ~ fr:apprise ≈ en:properties = fr:propriétés
