src	dst	quality	sound_edge_score	is_multiword_src	is_multiword_dst	chain
air	epoque	0.98	1.0	False	False	en:air ≈ fr:ère ~ fr:epoque
air	amas	0.976	1.0	False	False	en:air ≈ fr:aires ~ fr:amas
air	étui	0.976	1.0	False	False	en:air ≈ fr:aires ~ fr:étui
any	haie	0.927	1.0	False	False	en:any ≈ fr:haie nient ~ fr:haie
any	hainaut chie	0.907	1.0	False	True	en:any ≈ fr:haie nient ~ fr:hainaut chie
any	haies	0.896	1.0	False	False	en:any ≈ fr:haie nient ~ fr:haies
around	round}	0.976	1.0	False	False	en:around ≈ fr:round ~ fr:round}
around	rondes	0.954	1.0	False	False	en:around ≈ fr:round ~ fr:rondes
baulks	boxe	0.991	1.0	False	False	en:baulks ≈ fr:box ~ fr:boxe
baulks	boîte	0.988	1.0	False	False	en:baulks ≈ fr:box ~ fr:boîte
bawdry	body	0.987	1.0	False	False	en:bawdry ~ en:bawdy ≈ fr:body
beading	bide	0.929	1.0	False	False	en:beading ~ en:bead ≈ fr:bide
beak	biche	0.977	1.0	False	False	en:beak ≈ fr:bique ~ fr:biche
beak	bistro	0.967	1.0	False	False	en:beak ≈ fr:biques ~ fr:bistro
bean	gueux	0.99	1.0	False	False	en:bean ≈ fr:bines ~ fr:gueux
bean	bondir	0.987	1.0	False	False	en:bean ≈ fr:binent ~ fr:bondir
beefy	bis	0.95	1.0	False	False	en:beefy ~ en:bee ≈ fr:bis
belly	mensonge	0.937	1.0	False	False	en:belly ≈ fr:bey lies ~ fr:mensonge
belly	lies	0.935	1.0	False	False	en:belly ≈ fr:bey lies ~ fr:lies
ben	saisis	0.982	1.0	False	False	en:ben ≈ fr:bennes ~ fr:saisis
ben	lien	0.955	1.0	False	False	en:ben ≈ fr:benne ~ fr:lien
bless	blesser	0.992	1.0	False	False	en:bless ≈ fr:blesse ~ fr:blesser
bless	blessant	0.976	1.0	False	False	en:bless ≈ fr:blesse ~ fr:blessant
blues	chemises	0.926	1.0	False	False	en:blues ≈ fr:blouse ~ fr:chemises
booed	bouché	0.989	1.0	False	False	en:booed ≈ fr:boudent ~ fr:bouché
boom	boucle	0.97	1.0	False	False	en:boom ≈ fr:boument ~ fr:boucle
boom	bouclé	0.969	1.0	False	False	en:boom ≈ fr:boument ~ fr:bouclé
boom	boulet	0.965	1.0	False	False	en:boom ≈ fr:boument ~ fr:boulet
born	borné	0.993	1.0	False	False	en:born ≈ fr:borne ~ fr:borné
boss	boss	0.992	1.0	False	False	en:boss ≈ fr:bosse ~ fr:boss
boss	bosse	0.98	1.0	False	False	en:boss ≈ fr:bosses ~ fr:bosse
boutique	boutique	0.98	1.0	False	False	en:boutique ≈ fr:boutiques ~ fr:boutique
bream	bresse	0.984	1.0	False	False	en:bream ≈ fr:brime ~ fr:bresse
breeder	bride	0.967	1.0	False	False	en:breeder ~ en:breed ≈ fr:bride
cc	raies lis	0.98	1.0	False	True	en:cc ≈ fr:sis scie ~ fr:raies lis
cedi	cid	0.983	1.0	False	False	en:cedi ~ en:cede ≈ fr:cid
cell	verte	0.987	1.0	False	False	en:cell ≈ fr:selles ~ fr:verte
cell	tome	0.985	1.0	False	False	en:cell ≈ fr:selle ~ fr:tome
cerise	prieur	0.988	1.0	False	False	en:cerise ≈ fr:cerise ~ fr:prieur
cerise	prieuré	0.986	1.0	False	False	en:cerise ≈ fr:cerise ~ fr:prieuré
check	tchèque	0.996	1.0	False	False	en:check ≈ fr:tchèques ~ fr:tchèque
check	tchèques	0.996	1.0	False	False	en:check ≈ fr:tchèque ~ fr:tchèques
chef	directeurs	0.975	1.0	False	False	en:chef ≈ fr:chefs ~ fr:directeurs
chemise	chemise	0.955	1.0	False	False	en:chemise ≈ fr:chemises ~ fr:chemise
chemise	chevreuil	0.923	1.0	False	False	en:chemise ≈ fr:chemisent ~ fr:chevreuil
chemise	chevron	0.906	1.0	False	False	en:chemise ≈ fr:chemisent ~ fr:chevron
chic	mali	0.983	1.0	False	False	en:chic ≈ fr:chique ~ fr:mali
chic	chic	0.973	1.0	False	False	en:chic ≈ fr:chics ~ fr:chic
cleat	clive	0.973	1.0	False	False	en:cleat ~ en:cleave ≈ fr:clive
cleave	bourdon	0.864	1.0	False	False	en:cleave ≈ fr:clive ~ fr:bourdon
cleek	clics	0.98	1.0	False	False	en:cleek ≈ fr:clic ~ fr:clics
cleek	cliquer	0.969	1.0	False	False	en:cleek ≈ fr:clic ~ fr:cliquer
clique	clics	0.98	1.0	False	False	en:clique ≈ fr:clic ~ fr:clics
clique	cliquer	0.969	1.0	False	False	en:clique ≈ fr:clic ~ fr:cliquer
clued	clous	0.984	1.0	False	False	en:clued ~ en:clue ≈ fr:clous
clued	clou	0.984	1.0	False	False	en:clued ~ en:clue ≈ fr:clou
cool	couvrant	0.974	1.0	False	False	en:cool ≈ fr:coulent ~ fr:couvrant
cooler	couvrant	0.974	1.0	False	False	en:cooler ≈ fr:coulent ~ fr:couvrant
coolie	coulait	0.975	1.0	False	False	en:coolie ≈ fr:coulis ~ fr:coulait
coolly	coulait	0.975	1.0	False	False	en:coolly ≈ fr:coulis ~ fr:coulait
cork	coque	0.981	1.0	False	False	en:cork ≈ fr:coques ~ fr:coque
cork	coques	0.981	1.0	False	False	en:cork ≈ fr:coque ~ fr:coques
cork	coqs	0.973	1.0	False	False	en:cork ≈ fr:coq ~ fr:coqs
corps	colorée	0.98	1.0	False	False	en:corps ≈ fr:cor ~ fr:colorée
corps	colorés	0.98	1.0	False	False	en:corps ≈ fr:cor ~ fr:colorés
corps	coloré	0.978	1.0	False	False	en:corps ≈ fr:cor ~ fr:coloré
creak	crète	0.98	1.0	False	False	en:creak ≈ fr:crique ~ fr:crète
cream	crime	0.983	1.0	False	False	en:cream ≈ fr:crimes ~ fr:crime
creature	crié	0.935	1.0	False	False	en:creature ≈ fr:crient chez ~ fr:crié
creek	crète	0.98	1.0	False	False	en:creek ≈ fr:crique ~ fr:crète
crees	crises	0.979	1.0	False	False	en:crees ≈ fr:crise ~ fr:crises
cruck	croûte	0.979	1.0	False	False	en:cruck ~ en:cruet ≈ fr:croûte
cruse	créneaux	0.959	1.0	False	False	en:cruse ≈ fr:crous ~ fr:créneaux
daughter	voyelles	0.943	1.0	False	False	en:daughter ≈ fr:dors ~ fr:voyelles
dawn	féminin	0.995	1.0	False	False	en:dawn ≈ fr:donne ~ fr:féminin
dawn	féminine	0.99	1.0	False	False	en:dawn ≈ fr:donne ~ fr:féminine
dawn	dotée	0.976	1.0	False	False	en:dawn ≈ fr:donnent ~ fr:dotée
dealer	dealers	0.982	1.0	False	False	en:dealer ≈ fr:dealer ~ fr:dealers
deeply	pliée	0.964	1.0	False	False	en:deeply ≈ fr:dits pli ~ fr:pliée
deeply	plié	0.961	1.0	False	False	en:deeply ≈ fr:dits pli ~ fr:plié
doormen	domaines	0.96	1.0	False	False	en:doormen ≈ fr:domaine ~ fr:domaines
douche	douche	0.938	1.0	False	False	en:douche ≈ fr:douches ~ fr:douche
douche	douches	0.935	1.0	False	False	en:douche ≈ fr:douchent ~ fr:douches
douche	lavage	0.853	1.0	False	False	en:douche ≈ fr:douches ~ fr:lavage
due	doués	0.982	1.0	False	False	en:due ≈ fr:doux ~ fr:doués
ea	hai	0.986	1.0	False	False	en:ea ≈ fr:hi ~ fr:hai
eat	hits	0.965	1.0	False	False	en:eat ≈ fr:hit ~ fr:hits
eating	hit	0.982	1.0	False	False	en:eating ~ en:eat ≈ fr:hit
eave	ive	0.951	1.0	False	False	en:eave ≈ fr:ives ~ fr:ive
em	aimez	0.995	1.0	False	False	en:em ≈ fr:aimes ~ fr:aimez
em	aimé	0.991	1.0	False	False	en:em ≈ fr:aime ~ fr:aimé
en	matières	0.968	1.0	False	False	en:en ≈ fr:aine ~ fr:matières
enemy	ennemis	0.984	1.0	False	False	en:enemy ≈ fr:ennemies ~ fr:ennemis
enemy	ennemi	0.982	1.0	False	False	en:enemy ≈ fr:ennemies ~ fr:ennemi
enemy	ennemie	0.975	1.0	False	False	en:enemy ≈ fr:ennemies ~ fr:ennemie
error	epoque	0.98	1.0	False	False	en:error ≈ fr:ère ~ fr:epoque
error	amas	0.976	1.0	False	False	en:error ≈ fr:aires ~ fr:amas
error	étui	0.976	1.0	False	False	en:error ≈ fr:aires ~ fr:étui
escort	escort	0.945	1.0	False	False	en:escort ≈ fr:escorte ~ fr:escort
escort	escorté	0.94	1.0	False	False	en:escort ≈ fr:escorte ~ fr:escorté
esteem	émettant	0.983	1.0	False	False	en:esteem ≈ fr:estiment ~ fr:émettant
esteem	énervant	0.982	1.0	False	False	en:esteem ≈ fr:estiment ~ fr:énervant
esteem	agréé	0.981	1.0	False	False	en:esteem ≈ fr:estiment ~ fr:agréé
eve	ive	0.951	1.0	False	False	en:eve ≈ fr:ives ~ fr:ive
excel	exp	0.913	1.0	False	False	en:excel ≈ fr:ex aile ~ fr:exp
express	express	0.971	1.0	False	False	en:express ≈ fr:expresse ~ fr:express
fair	fais	0.993	1.0	False	False	en:fair ≈ fr:faire ~ fr:fais
fair	faites	0.993	1.0	False	False	en:fair ≈ fr:faire ~ fr:faites
fair	saisis	0.983	1.0	False	False	en:fair ≈ fr:fers ~ fr:saisis
fare	fais	0.993	1.0	False	False	en:fare ≈ fr:faire ~ fr:fais
fare	faites	0.993	1.0	False	False	en:fare ≈ fr:faire ~ fr:faites
fare	saisis	0.983	1.0	False	False	en:fare ≈ fr:fers ~ fr:saisis
fawn	téléphones	0.987	1.0	False	False	en:fawn ≈ fr:phones ~ fr:téléphones
fawn	téléphone	0.981	1.0	False	False	en:fawn ≈ fr:phone ~ fr:téléphone
fawn	cellulaires	0.965	1.0	False	False	en:fawn ≈ fr:phones ~ fr:cellulaires
fee	fief	0.985	1.0	False	False	en:fee ≈ fr:fies ~ fr:fief
fee	pla	0.982	1.0	False	False	en:fee ≈ fr:fie ~ fr:pla
fee	fiefs	0.974	1.0	False	False	en:fee ≈ fr:fies ~ fr:fiefs
feel	fichier	0.991	1.0	False	False	en:feel ≈ fr:file ~ fr:fichier
feel	fichiers	0.99	1.0	False	False	en:feel ≈ fr:files ~ fr:fichiers
fetter	célébré	0.988	1.0	False	False	en:fetter ≈ fr:fêter ~ fr:célébré
fetter	célébrer	0.983	1.0	False	False	en:fetter ≈ fr:fêter ~ fr:célébrer
fetter	célébrée	0.982	1.0	False	False	en:fetter ≈ fr:fêter ~ fr:célébrée
flesh	flèche	0.985	1.0	False	False	en:flesh ≈ fr:flèches ~ fr:flèche
flesh	flèches	0.985	1.0	False	False	en:flesh ≈ fr:flèche ~ fr:flèches
flew	pigé	0.984	1.0	False	False	en:flew ≈ fr:flou ~ fr:pigé
flew	flous	0.894	1.0	False	False	en:flew ≈ fr:floue ~ fr:flous
