en	fr	old_combo	prosody	meaning	tier
to	toux	1.000	1.000	0.827	GOLD
to	tout	1.000	1.000	0.782	GOLD
to	tous	1.000	0.912	0.735	GOLD
for	forts	1.000	0.850	0.471	GOLD
for	fort	1.000	0.850	0.668	GOLD
be	bis	1.000	0.912	0.537	GOLD
by	bye	1.000	0.745	0.446	A
or	ores	1.000	0.736	0.723	GOLD
or	hors	1.000	0.768	0.777	GOLD
we	ouïe	1.000	0.540	0.616	B
we	oui	1.000	1.000	0.588	GOLD
me	mit	1.000	1.000	0.721	GOLD
me	mis	1.000	1.000	0.727	GOLD
me	mie	1.000	1.000	0.737	GOLD
do	doux	1.000	1.000	0.850	GOLD
she	chie	1.000	1.000	0.525	GOLD
new	nous	1.000	1.000	0.549	GOLD
see	sis	1.000	1.000	0.672	GOLD
see	si	1.000	1.000	0.804	GOLD
see	scie	1.000	1.000	0.695	GOLD
two	toux	1.000	1.000	0.509	GOLD
two	tout	1.000	1.000	0.541	GOLD
two	tous	1.000	0.912	0.514	GOLD
any	haie nient	1.000	1.000	0.526	GOLD
said	cède	1.000	1.000	0.747	GOLD
very	vais rient	1.000	0.862	0.466	GOLD
too	toux	1.000	1.000	0.681	GOLD
too	tout	1.000	1.000	0.711	GOLD
too	tous	1.000	0.912	0.729	GOLD
many	mets nient	1.000	1.000	0.507	GOLD
around	round	1.000	0.837	0.615	GOLD
feel	files	1.000	1.000	0.275	A
feel	file	1.000	1.000	0.267	A
feel	fil	1.000	1.000	0.503	GOLD
set	sets	1.000	1.000	0.878	GOLD
set	sept	1.000	1.000	0.560	GOLD
set	cette	1.000	1.000	0.554	GOLD
group	groupes	1.000	0.852	0.957	GOLD
group	groupe	1.000	0.852	0.976	GOLD
read	rides	1.000	0.823	0.379	A
read	ride	1.000	0.823	0.435	A
mean	mines	1.000	1.000	0.342	A
mean	mine	1.000	1.000	0.452	GOLD
tell	tels	1.000	1.000	0.343	A
tell	telles	1.000	1.000	0.634	GOLD
tell	telle	1.000	1.000	0.643	GOLD
seen	seine	1.000	0.953	0.655	GOLD
call	cols	1.000	1.000	0.338	A
call	collent	1.000	1.000	0.410	A
call	colle	1.000	1.000	0.435	A
men	mènent	1.000	1.000	0.530	GOLD
men	mène	1.000	1.000	0.565	GOLD
less	laisses	1.000	1.000	0.505	GOLD
less	laissent	1.000	1.000	0.476	GOLD
less	laisse	1.000	1.000	0.481	GOLD
order	hordes	1.000	0.811	0.361	A
order	horde	1.000	0.811	0.480	GOLD
