en	fr	combo	tier	cognate	src_en	src_fr	src_tier	zipf_en	zipf_fr
ball	bols	1.0	DUAL-S	0	balls	bols	DUAL-S	5.04	3.05
boom	boums	1.0	DUAL-S	0	boom	boum	DUAL-S	4.33	1.76
breeze	brisent	1.0	DUAL-S	0	breeze	brise	DUAL-S	3.86	3.08
cher	chères	1.0	DUAL-S	0	cher	chers	DUAL-S	3.36	3.81
chord	cordes	1.0	DUAL-S	0	chord	corde	DUAL-S	3.65	4.04
clare	clair	1.0	DUAL-S	1	clare	claire	DUAL-S	3.65	4.89
clare	claires	1.0	DUAL-S	1	clare	claire	DUAL-S	3.65	3.95
clare	clairs	1.0	DUAL-S	0	clare	claire	DUAL-S	3.65	3.84
cree	crient	1.0	DUAL-S	0	cree	crie	DUAL-S	3.02	3.54
cree	cries	1.0	DUAL-S	0	cree	crie	DUAL-S	3.02	3.07
creek	criques	1.0	DUAL-S	0	creek	crique	DUAL-S	4.37	2.58
escort	escortent	1.0	DUAL-S	1	escort	escorte	DUAL-S	4.0	2.22
express	expresses	1.0	DUAL-S	1	express	expresse	DUAL-S	4.68	1.95
fresher	fraiche	1.0	DUAL-S	0	fresh	fraiche	DUAL-S	3.02	3.31
fresher	fraîche	1.0	DUAL-S	0	fresh	frais	DUAL-S	3.02	4.03
fresher	fraîches	1.0	DUAL-S	0	fresh	frais	DUAL-S	3.02	3.59
ghoul	goules	1.0	DUAL-S	0	ghoul	goule	DUAL-S	2.89	2.38
league	liguent	1.0	DUAL-S	0	league	ligue	DUAL-S	5.13	1.99
lee	lies	1.0	DUAL-S	0	lees	lies	DUAL-S	4.73	3.18
lulu	loulous	1.0	DUAL-S	0	lulu	loulou	DUAL-S	3.33	2.85
mort	mortes	1.0	DUAL-S	1	mort	morte	DUAL-S	3.07	3.96
orb	orbes	1.0	DUAL-S	1	orb	orbe	DUAL-S	3.26	2.49
orc	orque	1.0	DUAL-S	0	orc	orques	DUAL-S	3.01	2.69
pet	pètent	1.0	DUAL-S	0	pet	pète	DUAL-S	4.45	2.96
pet	pètes	1.0	DUAL-S	0	pet	pète	DUAL-S	4.45	2.66
pique	piquent	1.0	DUAL-S	1	pique	piques	DUAL-S	2.93	3.13
press	presses	1.0	DUAL-S	1	press	presse	DUAL-S	5.16	3.7
press	pressent	1.0	DUAL-S	1	press	presse	DUAL-S	5.16	3.19
short	shorts	1.0	DUAL-S	1	shorts	short	DUAL-S	5.33	3.17
stress	stressent	1.0	DUAL-S	1	stress	stressé	DUAL-S	4.73	2.12
sufi	soufis	1.0	DUAL-S	1	sufi	soufi	DUAL-S	2.91	2.46
zulu	zoulous	1.0	DUAL-S	0	zulu	zoulou	DUAL-S	3.19	2.46
air	aire	1.0	DUAL-S	1	air	aires	S	5.37	4.1
air	ères	1.0	DUAL-S	0	air	ère	S	5.37	2.58
benner	benne	1.0	DUAL-S	1	ben	benne	S	2.14	3.12
benner	bennes	1.0	DUAL-S	1	ben	benne	S	2.14	2.76
blues	blouses	1.0	DUAL-S	1	blues	blouse	S	4.34	2.77
booboo	boubous	1.0	DUAL-S	0	booboo	boubou	S	2.04	1.74
bought	bottent	1.0	DUAL-S	0	bought	botte	S	4.91	1.75
braes	brisent	1.0	DUAL-S	0	braes	brise	S	2.01	3.08
brede	brides	1.0	DUAL-S	0	brede	bride	S	1.97	2.86
breed	brides	1.0	DUAL-S	0	breed	bride	S	4.08	2.86
breeder	brides	1.0	DUAL-S	0	breeder	bridé	S	3.35	2.86
bruit	broutent	1.0	DUAL-S	0	bruit	broute	S	1.74	2.08
brute	broutent	1.0	DUAL-S	1	brute	broute	S	3.42	2.08
caller	colle	1.0	DUAL-S	0	caller	coller	S	3.61	4.21
caller	collent	1.0	DUAL-S	0	caller	coller	S	3.61	3.22
cell	sel	1.0	DUAL-S	0	cell	sels	S	4.87	4.38
cellar	selle	1.0	DUAL-S	0	cellar	seller	S	3.6	3.79
cellar	selles	1.0	DUAL-S	0	cellar	seller	S	3.6	3.28
cleek	clics	1.0	DUAL-S	0	cleek	clic	S	1.31	3.46
clique	clics	1.0	DUAL-S	0	clique	clic	S	3.15	3.46
corps	cors	1.0	DUAL-S	1	corps	cor	S	4.27	3.0
creak	criques	1.0	DUAL-S	0	creak	crique	S	2.52	2.58
crease	crissent	1.0	DUAL-S	0	crease	crisse	S	3.31	2.12
creme	crimes	1.0	DUAL-S	0	creme	crime	S	3.12	4.43
cross	crosses	1.0	DUAL-S	1	cross	crosse	S	5.0	2.68
crosser	crosse	1.0	DUAL-S	1	cross	crosse	S	2.09	3.46
crosser	crosses	1.0	DUAL-S	1	cross	crosse	S	2.09	2.68
croup	croupes	1.0	DUAL-S	1	croup	croupe	S	2.23	2.28
cruet	croûtes	1.0	DUAL-S	0	cruet	croûte	S	1.71	2.8
cru	crous	1.0	DUAL-S	1	crus	crous	S	2.73	3.21
dare	ders	1.0	DUAL-S	0	dare	der	S	4.31	2.12
error	aire	1.0	DUAL-S	0	error	aires	S	4.55	4.1
error	ères	1.0	DUAL-S	0	error	ère	S	4.55	2.58
fairer	faire	1.0	DUAL-S	1	fair	faire	S	3.09	6.34
fair	fère	1.0	DUAL-S	0	fair	fer	S	4.99	2.72
fairer	fer	1.0	DUAL-S	0	fair	fer	S	3.09	4.82
fairer	fers	1.0	DUAL-S	0	fair	fer	S	3.09	3.33
fairer	fère	1.0	DUAL-S	0	fair	fer	S	3.09	2.72
fall	fols	1.0	DUAL-S	0	fall	fol	S	5.13	1.59
fare	fère	1.0	DUAL-S	1	fare	fer	S	3.94	2.72
feel	filent	1.0	DUAL-S	0	feel	file	S	5.67	3.01
feeler	files	1.0	DUAL-S	0	feeler	filer	S	2.11	3.7
feeler	filent	1.0	DUAL-S	0	feeler	filer	S	2.11	3.01
flew	flous	1.0	DUAL-S	0	flew	flou	S	4.16	3.02
flu	flous	1.0	DUAL-S	1	flu	flou	S	3.96	3.02
fraught	frottent	1.0	DUAL-S	0	fraught	frotte	S	3.12	2.78
freak	frics	1.0	DUAL-S	0	freak	fric	S	4.08	1.91
frees	frises	1.0	DUAL-S	0	frees	frise	S	3.18	2.69
freeze	frises	1.0	DUAL-S	0	freeze	frise	S	4.11	2.69
freezer	frises	1.0	DUAL-S	0	freezer	frise	S	3.66	2.69
frieze	frises	1.0	DUAL-S	0	frieze	frise	S	2.79	2.69
greave	grives	1.0	DUAL-S	0	greave	grive	S	1.2	2.43
grieve	grives	1.0	DUAL-S	1	grieve	grive	S	3.33	2.43
heir	aire	1.0	DUAL-S	0	heir	aires	S	3.89	4.1
heir	ères	1.0	DUAL-S	0	heir	ère	S	3.89	2.58
led	laid	1.0	DUAL-S	0	led	laide	S	5.11	3.62
led	laids	1.0	DUAL-S	0	led	laide	S	5.11	2.89
led	laides	1.0	DUAL-S	0	led	laide	S	5.11	2.77
lees	lise	1.0	DUAL-S	0	lee	lis	S	3.04	3.73
loop	loupes	1.0	DUAL-S	0	loop	loupe	S	4.29	2.73
mall	molles	1.0	DUAL-S	0	mall	molle	S	4.29	3.13
meaner	mine	1.0	DUAL-S	0	mean	mine	S	2.66	4.44
meaner	mines	1.0	DUAL-S	0	mean	mine	S	2.66	4.37
meaner	minent	1.0	DUAL-S	0	mean	minent	S	2.66	2.59
meanie	minis	1.0	DUAL-S	0	meanie	mini	S	2.47	2.8
meter	mires	1.0	DUAL-S	0	meter	mire	S	4.09	1.95
peeler	piles	1.0	DUAL-S	0	peeler	pilé	S	2.48	3.72
plea	plient	1.0	DUAL-S	0	plea	plie	S	3.95	2.79
pled	plaident	1.0	DUAL-S	0	pled	plaide	S	2.73	2.87
poo	poux	1.0	DUAL-S	0	poo	pou	S	3.54	3.36
pooh	poux	1.0	DUAL-S	0	pooh	pou	S	3.29	3.36
pp	pipis	1.0	DUAL-S	0	pp	pipi	S	4.38	1.65
pressure	prêches	1.0	DUAL-S	0	pressure	prêche	S	5.01	2.75
pressure	prêchent	1.0	DUAL-S	0	pressure	prêche	S	5.01	2.68
re	rie	1.0	DUAL-S	1	re	ris	S	5.23	3.35
re	rient	1.0	DUAL-S	0	re	ris	S	5.23	3.18
redder	raids	1.0	DUAL-S	0	red	raid	S	2.44	3.58
red	raides	1.0	DUAL-S	0	red	raide	S	5.32	3.12
redder	raide	1.0	DUAL-S	0	red	raide	S	2.44	3.59
redder	raides	1.0	DUAL-S	0	red	raide	S	2.44	3.12
reeks	rixes	1.0	DUAL-S	0	reeks	rixe	S	2.81	2.43
said	cèdent	1.0	DUAL-S	0	said	cède	S	6.01	3.13
scoot	scoute	1.0	DUAL-S	0	scoot	scout	S	2.79	2.11
seal	cil	1.0	DUAL-S	0	seal	cils	S	4.3	2.95
seal	sils	1.0	DUAL-S	0	seal	sil	S	4.3	2.55
seek	sikhs	1.0	DUAL-S	0	seek	sikh	S	4.61	2.77
seller	sel	1.0	DUAL-S	0	seller	sels	S	4.01	4.38
share	cher	1.0	DUAL-S	0	share	chers	S	5.2	5.08
sketch	sketches	1.0	DUAL-S	1	sketch	sketchs	S	4.04	2.96
sleep	slips	1.0	DUAL-S	0	sleep	slip	S	5.05	2.92
streaked	stricte	1.0	DUAL-S	0	streaked	strict	S	2.76	3.78
streaked	strictes	1.0	DUAL-S	0	streaked	strict	S	2.76	3.5
streaked	stricts	1.0	DUAL-S	0	streaked	strict	S	2.76	3.06
suited	sourdes	1.0	DUAL-S	0	suited	sourde	S	4.03	2.78
super	soupes	1.0	DUAL-S	0	super	soupe	S	5.08	3.06
teepee	tipis	1.0	DUAL-S	0	teepee	tipi	S	2.25	2.14
tepee	tipis	1.0	DUAL-S	0	tepee	tipi	S	2.03	2.14
terror	terrent	1.0	DUAL-S	0	terror	terre	S	4.26	2.09
tree	tris	1.0	DUAL-S	0	tree	tri	S	4.85	2.9
tress	tresse	1.0	DUAL-S	1	tress	tresses	S	2.35	3.02
truce	trousses	1.0	DUAL-S	0	truce	trousse	S	3.52	3.21
vault	volt	1.0	DUAL-S	0	vault	volts	S	3.9	2.97
wreaks	rixes	1.0	DUAL-S	0	wreaks	rixe	S	2.28	2.43
wrest	restent	1.0	DUAL-S	0	wrest	reste	S	2.63	4.63
wrest	restes	1.0	DUAL-S	0	wrest	reste	S	2.63	4.28
dean	dînent	1.0	DUAL-S	0	dean	dîne	STRICT-GOLD	4.4	2.2
di	dis	1.0	DUAL-S	1	di	dit	STRICT-GOLD	4.33	5.49
dress	dressent	1.0	DUAL-S	1	dress	dresse	STRICT-GOLD	4.76	3.22
group	groups	1.0	DUAL-S	1	groups	group	STRICT-GOLD	5.57	2.77
looter	lourds	1.0	DUAL-S	0	looter	lourd	STRICT-GOLD	2.03	4.1
presser	presse	1.0	DUAL-S	1	pressers	presse	STRICT-GOLD	2.79	5.04
presser	presses	1.0	DUAL-S	1	pressers	presse	STRICT-GOLD	2.79	3.7
presser	pressent	1.0	DUAL-S	1	pressers	presse	STRICT-GOLD	2.79	3.19
caller	cols	1.0	DUAL-S	0	caller	col	LOOP7	3.61	3.47
cheque	tchèques	1.0	DUAL-S	0	cheque	tchèque	LOOP2	3.49	3.25
claire	claires	1.0	DUAL-S	1	claire	clair	LOOP2	3.98	3.95
claire	clairs	1.0	DUAL-S	1	claire	clair	LOOP2	3.98	3.84
sen	scènes	1.0	DUAL-S	0	sen	scène	LOOP2	4.01	4.37
stealer	styles	1.0	DUAL-S	0	stealer	style	LOOP2	2.52	3.97
talke	toc	1.0	DUAL-S	0	talked	toc	LOOP2	1.7	3.63
talke	tocs	1.0	DUAL-S	0	talked	toc	LOOP2	1.7	2.06
tester	test	1.0	DUAL-S	1	testers	test	LOOP12	3.24	4.69
tester	tests	1.0	DUAL-S	0	testers	test	LOOP12	3.24	4.43
baulk	bock	1.0	DUAL-S	0	baulked	bock	GOLD	2.1	2.96
baulk	bocks	1.0	DUAL-S	0	baulked	bock	GOLD	2.1	1.86
bawl	bol	1.0	DUAL-S	0	bawling	bol	GOLD	2.32	4.19
bawl	bols	1.0	DUAL-S	0	bawling	bol	GOLD	2.32	3.05
beg	bègues	1.0	DUAL-S	0	beg	bègue	GOLD	4.05	1.85
clew	clou	1.0	DUAL-S	0	clews	clou	GOLD	1.85	3.65
clew	clous	1.0	DUAL-S	0	clews	clou	GOLD	1.85	3.65
deem	dîmes	1.0	DUAL-S	0	deem	dîme	GOLD	3.34	2.78
exhort	exhortent	1.0	DUAL-S	1	exhort	exhorte	GOLD	2.23	2.26
faller	folle	1.0	DUAL-S	0	faller	folles	GOLD	2.03	4.41
free	frits	1.0	DUAL-S	0	free	frit	GOLD	5.63	2.86
free	fris	1.0	DUAL-S	0	free	frit	GOLD	5.63	2.1
freer	frit	1.0	DUAL-S	0	free	frit	GOLD	2.99	3.03
freer	frits	1.0	DUAL-S	0	free	frit	GOLD	2.99	2.86
freer	fris	1.0	DUAL-S	0	free	frit	GOLD	2.99	2.1
fu	fous	1.0	DUAL-S	0	fu	fou	GOLD	3.88	4.59
get	guettent	1.0	DUAL-S	0	get	guette	GOLD	6.28	2.8
goose	gousse	1.0	DUAL-S	0	goose	gousses	GOLD	3.84	2.79
leisure	liges	1.0	DUAL-S	0	leisure	lige	GOLD	3.92	1.65
les	laissent	1.0	DUAL-S	0	les	laisse	GOLD	4.1	4.29
mary	mairies	1.0	DUAL-S	0	mary	mairie	GOLD	4.78	3.38
m	aime	1.0	DUAL-S	0	ms	aimait	GOLD	5.39	5.52
m	aimes	1.0	DUAL-S	0	ms	aimait	GOLD	5.39	4.63
m	aiment	1.0	DUAL-S	0	ms	aimait	GOLD	5.39	4.57
pres	prise	1.0	DUAL-S	0	pre	pris	GOLD	3.6	5.04
ream	rime	1.0	DUAL-S	0	reaming	rime	GOLD	2.44	3.73
ream	rimes	1.0	DUAL-S	0	reaming	rime	GOLD	2.44	3.26
ream	riment	1.0	DUAL-S	0	reaming	rime	GOLD	2.44	2.49
ross	rosses	1.0	DUAL-S	1	ross	rosse	GOLD	4.39	1.55
sealer	cil	1.0	DUAL-S	0	sealer	cils	GOLD	2.57	2.95
sen	saines	1.0	DUAL-S	0	sen	saine	GOLD	4.01	3.45
sep	ceps	1.0	DUAL-S	0	sep	cep	GOLD	3.94	2.53
su	sous	1.0	DUAL-S	0	su	sou	GOLD	3.92	5.9
suitor	sourds	1.0	DUAL-S	0	suitor	sourd	GOLD	2.98	3.56
teeter	tirs	1.0	DUAL-S	0	teeter	tir	GOLD	2.43	4.13
coole	coule	1.0	DUAL-S	1	cooling	coule	LOOP1	1.75	4.04
debtor	ders	1.0	DUAL-S	0	debtor	der	LOOP1	3.08	2.12
pre	prient	1.0	DUAL-S	0	pre	prie	LOOP1	4.95	3.11
boot	boute	1.0	DUAL-S	0	boot	boutons	A	4.19	2.69
bruce	brousses	1.0	DUAL-S	0	bruce	brousse	A	4.34	1.91
coot	coûtent	1.0	DUAL-S	0	coot	coûte	A	2.5	3.65
crew	crous	1.0	DUAL-S	0	crews	crous	A	4.7	3.21
crosse	crosses	1.0	DUAL-S	1	crosses	crosse	A	2.89	2.68
fairy	ferries	1.0	DUAL-S	0	fairy	ferry	A	4.08	3.0
gree	gris	1.0	DUAL-S	0	greed	gris	A	2.29	4.34
merrier	mairie	1.0	DUAL-S	0	merry	mairie	A	2.64	4.53
merrier	mairies	1.0	DUAL-S	0	merry	mairie	A	2.64	3.38
messy	messies	1.0	DUAL-S	0	messy	messie	A	3.87	1.94
morne	mornes	1.0	DUAL-S	1	morning	morne	A	2.29	2.37
ought	hottes	1.0	DUAL-S	0	ought	hotte	A	4.35	2.09
pepper	peps	1.0	DUAL-S	0	pepper	pep	A	4.14	2.87
petter	paire	1.0	DUAL-S	0	petter	pair	A	2.38	4.33
petter	paires	1.0	DUAL-S	0	petter	pair	A	2.38	3.88
petter	pairs	1.0	DUAL-S	0	petter	pair	A	2.38	3.82
reap	ripe	1.0	DUAL-S	0	reaped	ripe	A	3.53	2.05
setter	serres	1.0	DUAL-S	0	setter	serre	A	2.99	3.53
share	chairs	1.0	DUAL-S	0	share	chair	A	5.2	2.88
stellar	stèles	1.0	DUAL-S	0	stellar	stèle	A	3.76	2.81
talker	toc	1.0	DUAL-S	0	talkers	toc	A	2.96	3.63
talker	tocs	1.0	DUAL-S	0	talkers	toc	A	2.96	2.06
tooter	tour	1.0	DUAL-S	0	tooter	tours	A	1.34	5.37
lorded	lords	0.937	DUAL-S	0	lord	lords	S	1.77	3.19
lorded	lord	0.937	DUAL-S	1	lord	lords	S	1.77	4.15
breezes	brisent	0.935	DUAL-S	0	breeze	brise	DUAL-S	2.91	3.08
freezes	frise	0.935	DUAL-S	0	freeze	frise	S	3.29	3.42
freezes	frises	0.935	DUAL-S	0	freeze	frise	S	3.29	2.69
freezers	frise	0.935	DUAL-S	0	freezer	frise	S	2.64	3.42
freezers	frises	0.935	DUAL-S	0	freezer	frise	S	2.64	2.69
friezes	frise	0.935	DUAL-S	0	frieze	frise	S	2.08	3.42
friezes	frises	0.935	DUAL-S	1	frieze	frise	S	2.08	2.69
clauses	close	0.935	DUAL-S	0	clause	close	LOOP2	3.44	3.72
beaded	bide	0.923	DUAL-S	0	bead	bide	S	3.06	3.35
