node	n_chains
fr:dis	556
fr:haines	498
fr:sain	463
fr:rient	422
fr:met	411
fr:ries	307
fr:raies	281
fr:ruent	276
fr:fait	271
fr:tain	242
fr:aident	238
fr:sait	227
fr:prennent	217
fr:pris	215
fr:plient	215
fr:prêt	201
fr:liguent	197
en:pen	194
fr:dit	190
fr:con	189
fr:sises	182
en:method	181
fr:sexe	176
en:root	164
en:pleaded	163
fr:secs	160
en:shoot	158
fr:taies	158
fr:main	158
en:sees	157
en:piece	155
fr:routes	154
fr:scient	154
en:rooters	154
en:pee	150
fr:pisse	149
en:seize	146
en:si	146
fr:shoot	142
en:test	142
fr:lient	142
fr:sise	141
en:teak	140
en:lecture	137
fr:teck	136
fr:méthode	136
en:resell	135
fr:feignent	133
en:tech	132
fr:précis	132
fr:gras	130
en:retailer	129
fr:laids	127
en:distracted	127
en:retailers	124
en:branded	124
fr:mas	123
fr:trais	122
fr:piquent	121
fr:haine	120
en:seen	118
fr:axent	118
fr:si	115
en:branding	115
fr:test	114
fr:prient	113
fr:précise	112
en:presses	112
fr:stylé	111
fr:cessent	111
fr:paient	111
fr:fanent	111
en:reseal	110
fr:brin	110
fr:route	109
fr:ride	109
en:lectures	109
en:gravel	108
fr:rhin	107
fr:hindi	107
fr:six	106
fr:freinent	105
fr:vis	105
fr:pot	103
en:enters	103
fr:rides	102
en:meet	101
fr:gin	100
fr:lin	100
en:sex	99
fr:colis	99
fr:baissent	99
en:in	98
fr:ensi	98
fr:pas	98
fr:aidait	98
fr:peut	97
en:should	96
fr:bat	96
en:venture	96
fr:sexes	95
en:plead	95
en:pieced	94
fr:saines	94
fr:aimes	93
fr:mènent	93
en:ventures	93
fr:rincent	93
en:debt	92
fr:bradent	92
en:fitted	92
en:metered	92
fr:gins	91
fr:shootes	90
fr:coud	90
fr:nouées	90
en:parcel	89
en:lesson	89
en:distract	89
en:soup	88
fr:but	88
fr:traquent	88
fr:mets	87
fr:peine	87
fr:shoote	86
fr:clous	86
en:ought	86
fr:soupes	85
en:busted	85
en:secs	84
en:wrestling	84
en:prison	84
fr:khan	84
fr:évoquent	84
en:seas	83
en:set	83
en:jean	82
fr:testes	82
fr:pissent	82
fr:laid	82
en:senores	82
fr:tester	81
en:clue	80
en:peak	80
fr:pain	79
fr:créent	79
en:credit	79
en:entered	79
fr:ces	78
fr:faut	78
en:protect	78
fr:trient	78
en:dusty	78
en:sec	76
en:thirteen	76
en:testers	76
en:pleading	76
fr:tracent	76
fr:étain	76
en:petit	75
en:retrieve	75
fr:presse	75
en:investor	75
fr:jets	75
fr:seines	74
en:lesser	74
en:penalty	74
fr:braquent	74
en:founded	74
en:beat	73
fr:plume	73
fr:crédit	73
en:techs	72
en:branches	72
en:retrieved	71
en:senors	71
en:enter	71
en:routers	71
en:investors	71
en:myself	71
