a	b	hops	quality	subchain
fr:lit	fr:lee	2	1.000	~ fr:lit en:lee ~ fr:lee
fr:routes	fr:route	2	1.000	~ fr:routes en:route ~ fr:route
fr:routes	en:root	3	1.000	~ fr:routes en:route ~ fr:route ≈ en:root
fr:routes	fr:root	4	1.000	~ fr:routes en:route ~ fr:route ≈ en:root ~ fr:root
en:route	en:root	2	1.000	≈ en:route ~ fr:route en:root
en:route	fr:root	3	1.000	≈ en:route ~ fr:route en:root ~ fr:root
fr:route	fr:root	2	1.000	~ fr:route ≈ en:root ~ fr:root
en:born	en:borne	2	1.000	en:born ≈ fr:borne ~ en:borne
en:born	fr:bonnes	3	1.000	en:born ≈ fr:borne ~ en:borne ≈ fr:bonnes
fr:borne	fr:bonnes	2	1.000	≈ fr:borne en:borne ≈ fr:bonnes
en:born	fr:bonne	3	1.000	en:born ≈ fr:borne ~ en:borne ≈ fr:bonne
fr:borne	fr:bonne	2	1.000	≈ fr:borne en:borne ≈ fr:bonne
en:borne	en:born	2	1.000	en:borne ~ fr:borne ≈ en:born
en:borne	fr:born	3	1.000	en:borne ~ fr:borne ≈ en:born ~ fr:born
fr:borne	fr:born	2	1.000	~ fr:borne en:born ~ fr:born
en:don	en:dawn	2	1.000	en:don ~ fr:don ≈ en:dawn
en:don	fr:dawn	3	1.000	en:don ~ fr:don ≈ en:dawn ~ fr:dawn
fr:don	fr:dawn	2	1.000	~ fr:don en:dawn ~ fr:dawn
fr:tee	fr:tea	2	1.000	~ fr:tee en:tea ~ fr:tea
en:routes	en:route	2	1.000	en:routes ~ fr:routes ≈ en:route
en:lit	en:lee	2	1.000	en:lit ~ fr:lit ≈ en:lee
en:lit	fr:lee	3	1.000	en:lit ~ fr:lit ≈ en:lee ~ fr:lee
fr:lords	fr:lord	2	1.000	~ fr:lords en:lord ~ fr:lord
en:lords	en:lord	2	1.000	en:lords ~ fr:lords ≈ en:lord
en:lords	fr:lord	3	1.000	en:lords ~ fr:lords ≈ en:lord ~ fr:lord
en:moose	en:mousse	2	1.000	en:moose ≈ fr:mousse ~ en:mousse
en:moose	fr:mousses	3	1.000	en:moose ≈ fr:mousse ~ en:mousse ≈ fr:mousses
fr:mousse	fr:mousses	2	1.000	≈ fr:mousse en:mousse ≈ fr:mousses
en:routes	en:root	4	1.000	en:routes ~ fr:routes ≈ en:route ~ fr:route ≈ en:root
en:routes	fr:root	5	1.000	en:routes ~ fr:routes ≈ en:route ~ fr:route ≈ en:root ~ fr:root
en:routes	fr:route	3	1.000	en:routes ~ fr:routes ≈ en:route ~ fr:route
en:tee	en:tea	2	1.000	en:tee ~ fr:tee ≈ en:tea
en:tee	fr:tea	3	1.000	en:tee ~ fr:tee ≈ en:tea ~ fr:tea
en:we	fr:sim	2	0.998	en:we ≈ fr:oui ~ fr:sim
fr:tee	fr:thé	2	0.998	~ fr:tee en:tea ~ fr:thé
en:sim	en:wee	2	0.998	en:sim ~ fr:oui ≈ en:wee
en:sim	fr:wee	3	0.998	en:sim ~ fr:oui ≈ en:wee ~ fr:wee
fr:oui	fr:wee	2	0.998	~ fr:oui en:wee ~ fr:wee
en:tee	fr:thé	3	0.998	en:tee ~ fr:tee ≈ en:tea ~ fr:thé
en:tree	fr:tres	2	0.998	en:tree ≈ fr:tri ~ fr:tres
en:wee	fr:sim	2	0.998	en:wee ≈ fr:oui ~ fr:sim
en:lease	fr:luce	2	0.997	en:lease ≈ fr:lys ~ fr:luce
en:pair	fr:isa	2	0.997	en:pair ≈ fr:père ~ fr:isa
fr:ferry	fr:faits rient	2	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient
fr:ferry	fr:tait rient	3	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:tait rient
fr:ferry	en:terry	4	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry
fr:ferry	fr:terry	5	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry ~ fr:terry
en:ferry	fr:tait rient	2	0.995	~ en:ferry ≈ fr:faits rient fr:tait rient
en:ferry	en:terry	3	0.995	~ en:ferry ≈ fr:faits rient fr:tait rient ≈ en:terry
en:ferry	fr:terry	4	0.995	~ en:ferry ≈ fr:faits rient fr:tait rient ≈ en:terry ~ fr:terry
fr:faits rient	en:terry	2	0.995	≈ fr:faits rient ~ fr:tait rient ≈ en:terry
fr:faits rient	fr:terry	3	0.995	≈ fr:faits rient ~ fr:tait rient ≈ en:terry fr:terry
fr:tait rient	fr:terry	2	0.995	~ fr:tait rient ≈ en:terry ~ fr:terry
en:fairy	en:ferry	2	0.995	en:fairy ≈ fr:ferry ~ en:ferry
en:fairy	fr:faits rient	3	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient
en:fairy	fr:tait rient	4	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:tait rient
en:fairy	en:terry	5	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry
en:fairy	fr:terry	6	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry ~ fr:terry
en:for	en:fort	2	0.995	en:for ≈ fr:fort ~ en:fort
en:for	fr:forte	4	0.995	en:for ≈ fr:fort ~ en:fort ≈ fr:fortes ~ fr:forte
en:for	fr:fortes	4	0.995	en:for ≈ fr:fort ~ en:fort ≈ fr:forte ~ fr:fortes
fr:fort	fr:forte	3	0.995	≈ fr:fort en:fort ≈ fr:fortes ~ fr:forte
fr:fort	fr:fortes	3	0.995	≈ fr:fort en:fort ≈ fr:forte ~ fr:fortes
en:fort	fr:fortes	2	0.995	~ en:fort ≈ fr:forte fr:fortes
en:fort	fr:forte	2	0.995	~ en:fort ≈ fr:fortes fr:forte
en:rouge	fr:rouge	2	0.995	en:rouge ≈ fr:rouges ~ fr:rouge
en:rev	fr:rêver	2	0.995	en:rev ≈ fr:rêvent ~ fr:rêver
en:shoot	fr:shoot	2	0.995	en:shoot ≈ fr:shoote ~ fr:shoot
en:shoot	en:chute	3	0.995	en:shoot ≈ fr:shoote ~ fr:shoot ≈ en:chute
en:shoot	fr:chute	4	0.995	en:shoot ≈ fr:shoote ~ fr:shoot ≈ en:chute ~ fr:chute
fr:shoote	en:chute	2	0.995	≈ fr:shoote fr:shoot ≈ en:chute
fr:shoote	fr:chute	3	0.995	≈ fr:shoote fr:shoot ≈ en:chute ~ fr:chute
en:cellar	en:seller	2	0.994	en:cellar ≈ fr:seller ~ en:seller
en:cellar	fr:selles	3	0.994	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selles
en:cellar	fr:verte	4	0.994	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selles ~ fr:verte
fr:seller	fr:selles	2	0.994	≈ fr:seller en:seller ≈ fr:selles
fr:seller	fr:verte	3	0.994	≈ fr:seller en:seller ≈ fr:selles ~ fr:verte
en:seller	fr:verte	2	0.994	~ en:seller ≈ fr:selles fr:verte
fr:jean	fr:gene	5	0.994	≈ fr:jean en:jean ≈ fr:gin ~ fr:gins ≈ en:gene ~ fr:gene
en:gean	fr:gins	4	0.994	en:gean ≈ fr:jean ~ en:jean ≈ fr:gin ~ fr:gins
en:gean	en:gene	5	0.994	en:gean ≈ fr:jean ~ en:jean ≈ fr:gin ~ fr:gins ≈ en:gene
en:gean	fr:gene	6	0.994	en:gean ≈ fr:jean ~ en:jean ≈ fr:gin ~ fr:gins ≈ en:gene ~ fr:gene
fr:jean	fr:gins	3	0.994	≈ fr:jean en:jean ≈ fr:gin ~ fr:gins
fr:jean	en:gene	4	0.994	≈ fr:jean en:jean ≈ fr:gin ~ fr:gins ≈ en:gene
en:jean	fr:gins	2	0.994	~ en:jean ≈ fr:gin fr:gins
en:toot	fr:allen	2	0.994	en:toot ≈ fr:toutes ~ fr:allen
fr:coupes	en:cooper	2	0.993	≈ fr:coupes ~ fr:coupe ≈ en:cooper
fr:coupes	fr:cooper	3	0.993	≈ fr:coupes ~ fr:coupe ≈ en:cooper fr:cooper
fr:coupe	fr:cooper	2	0.993	~ fr:coupe ≈ en:cooper ~ fr:cooper
en:coo	en:coup	2	0.993	en:coo ≈ fr:coup ~ en:coup
en:coo	fr:coupe	4	0.993	en:coo ≈ fr:coup ~ en:coup ≈ fr:coupes ~ fr:coupe
en:coo	en:cooper	5	0.993	en:coo ≈ fr:coup ~ en:coup ≈ fr:coupes ~ fr:coupe ≈ en:cooper
en:coo	fr:cooper	6	0.993	en:coo ≈ fr:coup ~ en:coup ≈ fr:coupes ~ fr:coupe ≈ en:cooper ~ fr:cooper
fr:coup	fr:coupe	3	0.993	≈ fr:coup en:coup ≈ fr:coupes ~ fr:coupe
fr:coup	en:cooper	4	0.993	≈ fr:coup en:coup ≈ fr:coupes ~ fr:coupe ≈ en:cooper
fr:coup	fr:cooper	5	0.993	≈ fr:coup en:coup ≈ fr:coupes ~ fr:coupe ≈ en:cooper ~ fr:cooper
en:coup	fr:coupe	2	0.993	~ en:coup ≈ fr:coupes fr:coupe
en:coup	en:cooper	3	0.993	~ en:coup ≈ fr:coupes fr:coupe ≈ en:cooper
en:coup	fr:cooper	4	0.993	~ en:coup ≈ fr:coupes fr:coupe ≈ en:cooper ~ fr:cooper
en:pair	fr:père	2	0.993	en:pair ≈ fr:pères ~ fr:père
en:rev	fr:rêvé	2	0.993	en:rev ≈ fr:rêvent ~ fr:rêvé
en:boss	fr:boss	2	0.992	en:boss ≈ fr:bosse ~ fr:boss
en:cellar	fr:selle	3	0.992	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selle
en:cellar	fr:tome	4	0.992	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selle ~ fr:tome
fr:seller	fr:selle	2	0.992	≈ fr:seller en:seller ≈ fr:selle
fr:seller	fr:tome	3	0.992	≈ fr:seller en:seller ≈ fr:selle ~ fr:tome
en:seller	fr:tome	2	0.992	~ en:seller ≈ fr:selle fr:tome
fr:shootes	fr:chute	4	0.992	~ fr:shootes en:shoot ~ fr:shoot ≈ en:chute ~ fr:chute
fr:shootes	fr:shoot	2	0.992	~ fr:shootes en:shoot ~ fr:shoot
en:cross	fr:crosse	3	0.992	en:cross ~ fr:cross ≈ en:crosse ~ fr:crosse
fr:cross	fr:crosse	2	0.992	~ fr:cross en:crosse ~ fr:crosse
