tier	score	coverage	max_sub	en	fr_phrase	en_ipa
A	0.983	0.86	0.0	meantime	minent âme	miːntaɪm
A	0.983	0.86	0.0	retailer	rient ailé	ɹiːteɪlɐ
A	0.974	0.86	0.0	mentally	mènent lis	mɛntəli
A	0.973	0.88	0.1	destroyed	dissent rhodes	dɪstɹɔɪd
A	0.973	0.88	0.1	forestry	forcent ri	fɒɹɪstɹi
A	0.973	0.89	0.12	predecessor	prient cessé	pɹiːdɪsɛsɐ
A	0.97	0.88	0.12	freestyle	frisent al	fɹiːstaɪl
A	0.97	0.88	0.06	masterpiece	massent pisse	mɑːstəpiːs
A	0.969	0.86	0.1	designer	dis année	dɪzaɪnɐ
A	0.969	0.86	0.1	fountain	fanent in	faʊntɪn
A	0.966	0.86	0.06	fantasy	fanent ci	fɑːntəsi
A	0.966	0.86	0.12	greatly	créent lis	ɡɹeɪtli
A	0.966	0.86	0.12	miniature	mènent chez	mɪnɪtʃɐ
A	0.966	0.86	0.12	myself	mas elfes	maɪsɛlf
A	0.966	0.88	0.12	newsletter	nous laiteux	njuːzlɛtɐ
A	0.966	0.86	0.12	protein	prêt in	pɹəʊtiːn
A	0.966	0.86	0.12	recipes	raies pise	ɹɛsɪpiːz
A	0.966	0.86	0.06	reservoir	raies vois	ɹɛzəvwɑː
A	0.966	0.86	0.12	tourism	tords homme	tɔːɹɪzəm
A	0.965	0.88	0.1	literally	lient relie	lɪtəɹəli
A	0.963	0.88	0.12	parental	prennent elle	pəɹɛntəl
A	0.963	0.88	0.12	pentagon	peinent gaine	pɛntəɡən
A	0.963	0.88	0.12	territory	terrait ri	tɛɹɪtəɹi
A	0.962	0.89	0.12	exhibited	exhibent aide	ɛɡzɪbɪtɪd
A	0.962	0.86	0.12	rescued	raies coude	ɹɛskjuːd
A	0.96	0.88	0.1	destroys	dissent rose	dɪstɹɔɪz
A	0.96	0.89	0.12	mainstream	mines trime	meɪnstɹiːm
A	0.96	0.88	0.1	matrix	met rixe	meɪtɹɪks
A	0.96	0.86	0.1	prisoner	pris né	pɹɪzənɐ
A	0.96	0.89	0.24	registry	raids stries	ɹɛdʒɪstɹi
A	0.96	0.89	0.24	residency	raies don ci	ɹɛzɪdənsi
A	0.958	0.88	0.12	describe	dis crabe	dɪskɹaɪb
A	0.958	0.88	0.12	livestock	laves toc	laɪvstɒk
A	0.958	0.88	0.12	ministry	mines tri	mɪnɪstɹi
A	0.958	0.88	0.12	volatile	volet al	vɒlɐtaɪl
A	0.957	0.86	0.12	custody	cassent dit	kʌstədi
A	0.957	0.86	0.12	feasible	fies belle	fiːzəbəl
A	0.957	0.86	0.12	predator	prêt tes	pɹɛdətɐ
A	0.955	0.88	0.12	greatest	créent est	ɡɹeɪtəst
A	0.954	0.89	0.24	basketball	masquent bol	bɑːskɪtbɔːl
A	0.954	0.86	0.1	portrayed	pot raid	pɔːtɹeɪd
A	0.954	1.0	0.36	transcript	train script	tɹænskɹɪpt
A	0.953	0.86	0.15	sweetheart	suit hâte	swiːthɑːt
A	0.952	0.86	0.12	despite	dis pâte	dɪspaɪt
A	0.952	0.86	0.12	disguise	dis gaz	dɪsɡaɪz
A	0.952	0.86	0.12	dislike	dis lac	dɪslaɪk
A	0.952	0.86	0.12	latest	laid est	leɪtəst
A	0.952	0.86	0.12	minister	mines tes	mɪnɪstɐ
A	0.952	0.86	0.12	phrases	frais aise	fɹeɪzɪz
A	0.952	0.86	0.12	portrait	pot rite	pɔːtɹeɪt
A	0.952	0.86	0.12	precise	pris as	pɹɪsaɪs
A	0.952	0.86	0.12	retired	rient aède	ɹɪtaɪəd
A	0.952	0.86	0.12	sustain	cessent haine	səsteɪn
A	0.951	0.88	0.12	produced	prêt oust	pɹədjuːst
A	0.951	0.88	0.15	remotely	remet lis	ɹɪməʊtli
A	0.951	0.91	0.3	respectively	respectes lis	ɹɪspɛktɪvli
A	0.95	1.0	0.3	capture	campent chez	kæptʃɐ
A	0.95	0.88	0.12	censorship	saines chipe	sɛnsəʃɪp
A	0.95	1.0	0.3	context	khan texte	kɒntɛkst
A	0.95	1.0	0.3	country	khan tri	kʌntɹi
A	0.95	0.88	0.12	trademark	trait mac	tɹeɪdmɑːk
A	0.949	0.86	0.12	benefit	ben faites	bɛnɪfɪt
A	0.949	0.86	0.12	council	cannes elle	kaʊnsəl
A	0.949	0.86	0.12	counsel	cannes elle	kaʊnsəl
A	0.949	0.86	0.12	founded	fanent aide	faʊndɪd
A	0.949	0.86	0.12	founders	fanent aise	faʊndəz
A	0.949	0.86	0.12	frozen	frais haine	fɹəʊzən
A	0.949	1.0	0.36	gently	jet lis	dʒɛntli
A	0.949	0.86	0.12	himself	aimes elfes	hɪmsɛlf
A	0.949	0.86	0.24	kindly	cannes lis	kaɪndli
A	0.949	0.86	0.24	moisture	bossent chez	mɔɪstʃɐ
A	0.949	0.86	0.24	mostly	massent lis	məʊstli
A	0.949	0.86	0.12	patron	peut reine	peɪtɹən
A	0.949	0.86	0.12	petition	paient chaîne	pətɪʃən
A	0.949	0.86	0.12	position	paix chaîne	pəzɪʃən
A	0.949	0.86	0.12	prizes	bras aise	pɹaɪzɪz
A	0.949	0.86	0.24	rainfall	rhin folle	ɹeɪnfɔːl
A	0.949	0.86	0.24	righteous	rat chasse	ɹaɪtʃəs
A	0.949	0.86	0.12	suicide	saouls aède	suːɪsaɪd
A	0.949	0.86	0.12	superstar	soupes ta	suːpəstɑː
A	0.949	0.86	0.12	tasted	tissent aide	teɪstɪd
A	0.949	1.0	0.36	texture	taxent chez	tɛkstʃɐ
A	0.949	0.86	0.24	trinity	train tee	tɹɪnɪti
A	0.948	0.88	0.24	correctly	croquent lis	kəɹɛktli
A	0.948	0.88	0.12	desperate	dès porte	dɛspəɹət
A	0.948	0.88	0.24	dominion	demain in	dəmɪniən
A	0.948	0.88	0.12	monetary	menait ri	mʌnɪtəɹi
A	0.948	0.88	0.12	sensible	saines belle	sɛnsəbəl
A	0.947	0.89	0.24	ceremonies	sermon aise	sɛɹɪmənɪz
A	0.947	0.89	0.24	previously	privées lis	pɹiːvɪəsli
A	0.947	0.89	0.12	promoted	promet aide	pɹəməʊtɪd
A	0.947	0.86	0.12	reduced	rient oust	ɹɪdjuːst
A	0.947	0.89	0.24	terrorism	terreurs homme	tɛɹəɹɪzəm
A	0.947	0.89	0.24	testimony	cessent mener	tɛstɪməni
A	0.947	1.0	0.36	textbooks	taxent box	tɛkstbʊks
A	0.947	0.86	0.12	twisted	tissent aide	twɪstɪd
A	0.946	0.9	0.3	collectively	collectes lis	kəlɛktɪvli
A	0.946	0.86	0.1	notebook	nouent book	nəʊtbʊk
A	0.945	0.86	0.12	capsule	caps houle	kæpsjuːl
A	0.945	0.86	0.12	costume	cassent hume	kɒstjuːm
A	0.945	0.88	0.12	disgrace	dis grèce	dɪsɡɹeɪs
A	0.945	0.88	0.12	displays	dis plaise	dɪspleɪz
A	0.945	0.86	0.24	neutral	nouent rôle	njuːtɹəl
A	0.944	0.89	0.15	approaches	apprêt chaise	ɐpɹəʊtʃɪz
A	0.944	0.89	0.15	controller	cognent relais	kəntɹəʊlɐ
A	0.943	0.86	0.12	closely	clous lis	kləʊsli
A	0.943	0.86	0.12	coaches	coud chaise	kəʊtʃɪz
A	0.943	1.0	0.36	commentary	commun tri	kɒməntɹi
A	0.943	0.88	0.12	created	créait aide	kɹiːeɪtɪd
A	0.943	0.88	0.12	creators	créait aise	kɹiːeɪtəz
A	0.943	0.88	0.12	designers	dis ânesse	dɪzaɪnəz
A	0.943	0.88	0.12	discipline	dis pleine	dɪsɪplɪn
A	0.943	0.86	0.12	leadership	lient chipe	liːdəʃɪp
A	0.943	0.86	0.12	lesbian	les bine	lɛsbiən
A	0.943	0.86	0.12	patrol	peut roule	pɐtɹəʊl
A	0.943	0.86	0.12	portable	pot belle	pɔːtəbəl
A	0.943	0.86	0.12	posters	poussent aise	pəʊstəz
A	0.943	1.0	0.36	presenter	prison tes	pɹɪzɛntɐ
A	0.943	0.88	0.12	processor	près essaie	pɹəʊsɛsɐ
A	0.943	0.88	0.12	prostate	pros tête	pɹɒsteɪt
A	0.943	0.88	0.12	realities	rallient hisse	ɹɪælɪtiz
A	0.943	1.0	0.36	textbook	taxent book	tɛkstbʊk
A	0.943	0.86	0.18	township	tan chipe	taʊnʃɪp
A	0.941	0.88	0.25	testify	test hais	tɛstɪfaɪ
A	0.94	1.0	0.3	autonomy	otan omis	ɔːtɒnəmi
A	0.94	0.88	0.12	bracelet	prés let	bɹeɪslət
A	0.94	1.0	0.3	cancer	khan ses	kænsɐ
A	0.94	1.0	0.3	candy	khan dit	kændi
A	0.94	1.0	0.3	completely	con plient lis	kəmpliːtli
A	0.94	0.88	0.24	control	con troll	kəntɹəʊl
A	0.94	0.86	0.18	counties	khan thèse	kaʊntɪz
A	0.94	1.0	0.3	countries	khan treize	kʌntɹɪz
A	0.94	0.88	0.12	essentially	sain joli	ɪsɛnʃəli
A	0.94	0.88	0.12	excited	exact aide	ɛksaɪtɪd
A	0.94	0.88	0.12	exercise	excès as	ɛksəsaɪz
A	0.94	0.86	0.12	factory	vaquent ri	fæktəɹi
A	0.94	1.0	0.3	fancy	faon ci	fænsi
A	0.94	0.88	0.12	fertility	fait lady	fɜːtɪlɪti
A	0.94	0.86	0.18	finest	faon est	faɪnəst
A	0.94	1.0	0.3	investor	haines ester	ɪnvɛstɐ
A	0.94	0.88	0.24	kindness	cannes noces	kaɪndnəs
A	0.94	0.88	0.12	maximum	macs même	mæksɪməm
A	0.94	0.86	0.12	mystery	mais tri	mɪstəɹi
A	0.94	0.88	0.24	paranoid	parrain ode	pæɹənɔɪd
A	0.94	0.86	0.12	particle	bat quel	pɑːtɪkəl
A	0.94	0.86	0.12	partisan	bat scène	pɑːtɪsən
A	0.94	0.86	0.12	partition	bat chaîne	pɑːtɪʃən
A	0.94	0.88	0.12	premises	brèmes aise	pɹɛmɪsɪz
A	0.94	0.86	0.18	proudly	prend lis	pɹaʊdli
A	0.94	0.88	0.24	quantity	quad tee	kwɒntɪti
A	0.94	0.88	0.24	retailers	rient hélas	ɹiːteɪləz
A	0.94	1.0	0.36	secretly	secret lis	siːkɹətli
