word	mate	mate_homophone	shared
abou	abu	bout	2
accepting	accept	accepte	5
accepting	accept	acceptent	5
accepting	accept	acceptes	5
accepting	acceptance	accepte	3
accepting	accepts	acceptes	3
accepting	accepts	excepte	3
account	count	carte	2
accurate	correct	correct	3
accurate	correct	correcte	3
accurate	correct	corrects	3
accurate	correct	crête	3
accurate	exact	exact	3
accurate	exact	exacte	3
accurate	exact	exactes	3
accurate	exact	exacts	3
acoustics	acoustic	égouts tic	2
acting	act	actes	2
actives	active	active	3
adapting	adapt	et apte	2
adjusting	adjust	et geste	2
adjustment	adjust	et geste	2
adjustments	adjust	et geste	2
adorable	belle	bel	2
adorable	belle	belges	2
adorable	belle	belle	2
adorable	belle	belles	2
aesthetics	aesthetic	hissent éthique	2
affects	affect	affect	3
affects	affect	affecte	3
affects	affect	affectent	3
aggression	aggressive	agressive	6
aggressions	aggressive	agressive	3
aggressively	aggressive	agressive	5
aggressiveness	aggressive	agressive	6
aids	aid	éd	2
aimé	enjoyed	haines chaude	4
aimée	enjoyed	haines chaude	4
airbags	airbag	airbag	2
airbags	airbag	airbags	2
alive	live	lave	2
andre	andrew	en trou	3
andré	andrew	en trou	3
answer	reply	plat	2
antiques	antique	antique	4
antiques	antique	antiques	4
antiques	antique	en tic	4
antiquité	antique	antique	3
antiquité	antique	antiques	3
antiquité	antique	en tic	3
appendix	annex	annexe	2
approves	approve	approuve	3
approves	approve	approuvent	3
approves	approve	prouvent	3
approves	approve	éprouve	3
approves	approve	éprouvent	3
approving	approve	approuve	4
approving	approve	approuvent	4
approving	approve	prouvent	4
approving	approve	éprouve	4
approving	approve	éprouvent	4
approximation	rapprochement	rapprochement	3
approximation	rapprochement	rapprochements	3
ardennes	ardenne	ardenne	2
ardennes	ardenne	ardennes	2
armour	armor	arme	2
armour	armor	armes	2
arms	arm	arme	2
arrests	arrest	reste	2
arrests	arrest	restent	2
arrests	arrest	restes	2
art	artistic	attisent hic	2
artists	artist	atteste	2
assisi	seated	scient aide	2
attests	attest	atteste	3
attests	attest	attestent	3
attracting	attract	et actes	3
attraction	attract	et actes	3
attractions	attract	et actes	3
attractiveness	attract	et actes	3
aurora	aurore	aurore	3
aurora	aurore	aurores	3
authenticate	authentication	authentification	2
autoroute	route	routes	3
awful	dreadful	trait folle	2
babe	baby	bibi	3
bachelor	singles	single	2
bachelor	single	single	2
baie	bay	b	3
baie	berry	bey rient	2
ballon	ball	bol	4
ballon	balls	bols	2
balloon	balls	bols	5
balloon	beads	bide	4
balloon	beads	bise	4
balloon	beads	bises	4
balloon	ball	bol	4
balloons	balls	bols	5
balloons	beads	bide	4
balloons	beads	bise	4
balloons	beads	bises	4
balloons	ball	bol	2
bangladeshi	bangladesh	bangladesh	2
basketball	basket	bas quitte	2
baton	baguette	baguette	3
battered	beaten	bit haines	4
battered	beat	bide	4
battered	beat	bit	4
battered	beat	bite	4
battered	beat	bites	4
battered	beat	bits	4
battered	beat	bitte	4
battered	beat	bittent	4
battered	beat	bittes	4
battus	beaten	bit haines	4
battus	beat	bide	4
battus	beat	bit	4
battus	beat	bite	4
battus	beat	bites	4
battus	beat	bits	4
battus	beat	bitte	4
battus	beat	bittent	4
battus	beat	bittes	4
bays	berry	bey rient	2
bays	bay	b	2
bearer	porter	pote	3
bearer	porter	potes	3
bearer	porter	pour	3
beating	beat	bide	6
beating	beat	bit	6
beating	beat	bite	6
beating	beat	bites	6
beating	beat	bits	6
beating	beat	bitte	6
beating	beat	bittent	6
beating	beat	bittes	6
beating	beaten	bit haines	4
beats	bat	battent	3
beautiful	beau	beau	2
beautiful	belle	bel	2
beautiful	belle	belges	2
beautiful	belle	belle	2
beautiful	belle	belles	2
beeping	beep	bip	3
beeping	beep	bips	3
beeping	beeps	bip	2
beeping	beeps	bips	2
beets	beetroot	but route	2
beets	beet	bide	2
beets	beet	bides	2
beets	beet	bit	2
beets	beet	bite	2
beets	beet	bites	2
beets	beet	bits	2
beets	beet	bitte	2
beets	beet	bittent	2
beets	beet	bittes	2
belges	belge	belge	2
belges	belge	belges	2
belgian	belge	belge	2
belgian	belge	belges	2
belgians	belge	belge	2
belgians	belge	belges	2
berries	berry	bey rient	3
berries	bay	b	2
betrayal	treason	tries haine	2
betrayal	treachery	traîtrise	2
biblical	bible	babel	3
bio	biography	biographies	3
biographical	biography	biographies	3
biographies	biography	biographies	3
biographique	biography	biographies	2
bip	beep	bip	2
bip	beep	bips	2
bip	beeps	bip	2
bip	beeps	bips	2
bits	bit	bêtes	2
bla	blah	blanc	2
bla	blah	blancs	2
bleu	blues	blouse	4
blissful	blessed	blesse	3
blissful	bless	blesse	3
block	bloc	bloc	3
blocker	bloc	bloc	2
blocking	bloc	bloc	3
blond	blonde	blanc	4
blondes	blonde	blanc	4
blue	blues	blouse	5
bluffing	bluff	bluff	2
boite	box	boxe	2
bollocks	balls	bols	4
bollocks	beads	bide	4
bollocks	beads	bise	4
bollocks	beads	bises	4
bolts	bolt	baltes	3
