rime	fr	en
ən	gene scene	aaron abandon abdomen abduction abolition abortion absorption abstraction acceleration accession accommodation accreditation
ɹi	abri abris alexandrie algerie algérie allégorie appris apprit artillerie atterri aubry bactérie	ability accessibility accessory accountability activity admiralty adultery adversary adversity advisory affinity agility
ɛɹ	accélère acquiert actionnaire actionnaires adhère adultère adversaire adversaires affaire affaires agroalimentaire air	affair air anywhere aware bare bear bearer better beware billionaire blair care
ts	auschwitz biarritz fritz metz quartz	accents accepts accidents accomplishments accountants accounts achievements activists acts addicts adjustments admits
li	accompli accomplie accomplis accomplit affaibli ali allie amélie anomalie anomalies appli applis	abruptly absolutely accidentally accordingly accurately actively actually additionally adequately admittedly aggressively ali
st	activiste activistes analyste analystes anarchiste anarchistes artiste artistes assiste atteste auguste autiste	accessed activist addressed adjust administer advanced against almost amidst amongst analyst anarchist
nz	benz	abortions accommodations accusations acquisitions actions adaptations additions administrations admissions africans airlines airplanes
ɛl	abdel abel accidentelle actuel actuelle actuelles actuels additionnel adèle aile ailes angel	adele bel bell belle bestseller bl blackwell caldwell cartel cell cellar chancellor
ik	académique académiques acoustique afrique alcoolique alcooliques allergique alphabétique amérique amériques analytique angélique	antique beak bleak boutique cheek chesapeake chic creek critique freak geek greek
nt	sprint	abandonment absent abundant accent accident accomplishment account accountant achievement acknowledgement adjacent adjustment
ɹd	aborde absurde absurdes accorde accordent concorde corde cordes déborde emmerde emmerdes garde	aboard accelerated accord accredited accumulated acquitted activated admitted adored advocated affiliated afford
iz	acquise acquises admise analyse analyses assise assises autorise aziz balise bise bises	abilities abnormalities academies accessories achilles activities agencies agrees allergies amenities antibodies apologies
ks	aix ajax alex annexe annexes astérix axe axes boxe complexe complexes connexes	academics aesthetics ajax alex analytics annex antibiotics antics antiques apex appendix approx
ɛn	abdomen adn africaine africaines agen algérienne allen amen amène amènent américaine américaines	again amen ben bn bullpen businessmen carmen chen cn cnn den en
əs	piece pieces	actress advantageous adventurous agnes alias ambiguous ambitious analogous andreas angus anonymous anxious
ɛt	achète achètent achètes antoinette apprête arrête arrêtent arrêtes arête assiette assiettes athlète	alphabet asset bet brett brunette cadet cassette cigarette corvette debt det dorset
kt	act acte actes affecte affectent architecte architectes aspect aspects collecte compact compacte	abstract act actor addict adjunct affect architect artifact asked aspect attacked attract
si	ainsi alexis apprécie apprécient aristocratie assis associe associent aussi autopsie biélorussie bureaucratie	abc ac accuracy advocacy agency aussie autopsy bankruptcy bbc bc betsy biopsy
bl	abordable abordables acceptable accessible accessibles admirable adorable adorables agréable agréables aimable amiable	tumblr
iɹ	abolir aboutir abstenir accomplir accueillir acquérir admire affaiblir affranchir agir agrandir amir	eater heater liter litre meter metre peter sweeter
ɛs	adresse adressent adresses agnès altesse angeles apparaissent baisse baissent baisses blesse bresse	access address assess bless bs burgess cbs cds chess cms compressor confess
ni	agonie albanie amazonie annie arménie banni beni bernie bikini birmanie bonnie bosnie	accompany acne agony albany alumni annie anthony antony any attorney balcony barney
in	admin adrénaline airlines argentine berline bin cabine cabines cantine caroline catherine chine	aberdeen augustine bean between byzantine caffeine chlorine christine clean cleaner colleen constantine
ns	suspens suspense	absence abundance acceptance accordance acquaintance adherence adolescence advance allegiance alliance allowance ambulance
ld	donald guilde gérald oswald ronald solde soldes	airfield appealed arnold assembled baffled bailed bald battlefield behold billed boiled bold
di	approfondie arrondi audi audit bandits burundi cdi cindy comédie comédies contredit credit	adhd already amd andy antibody anybody audi bd bloody blvd body brady
dʒ	badge bridge cambodge cambridge edge	acknowledge advantage age aj anchorage arrange assange average backstage badge badger baggage
tʃ	catch deutsche match matches matchs patch sandwich sketch switch	adventure agriculture amateur aperture approach arch archer architecture attach batch beach bench
ɹz	quatorze	administrators affairs airs appears barriers bars bears beers billionaires careers cares carriers
it	abrite agite antisémite antisémites bit bite bites bits brigitte cite composite conduite	athlete beat cheat compete complete concrete defeat delete discreet discrete eat elite
ɔɹ	abord abords accord accords adore alors améliore anticorps apport apports armor aurore	corps daughter decor dinosaur drawer for fore freshwater granddaughter groundwater horror manslaughter
