combined	sound	semantic	band	en	fr	flags	en_ipa	fr_ipa
1.000	1.0	1.000	identical	ester	ester	generative	ɛstɐ	ɛste
1.000	1.0	1.000	identical	titi	titi	generative	tiːti	titi
1.000	1.0	1.000	identical	cerise	cerise	generative	səɹiːz	səʁiz
1.000	1.0	1.000	identical	terrine	terrine	generative	tɛɹiːn	tɛʁin
1.000	1.0	1.000	identical	spleen	spleen	generative	spliːn	splin
1.000	1.0	1.000	identical	shooter	shooter	generative	ʃuːtɐ	ʃute
1.000	1.0	1.000	identical	roulette	roulette	generative	ɹuːlɛt	ʁulɛt
1.000	1.0	1.000	identical	jeep	jeep	generative	dʒiːp	dʒip
1.000	1.0	1.000	identical	fret	fret	generative	fɹɛt	fʁɛ
1.000	1.0	1.000	identical	dealer	dealer	generative	diːlɐ	dile
1.000	1.0	1.000	identical	bled	bled	generative	blɛd	blɛd
1.000	1.0	1.000	identical	lest	lest	generative	lɛst	lɛst
1.000	1.0	1.000	identical	petit	petit	generative	pətiː	pəti
1.000	1.0	1.000	identical	groom	groom	generative	ɡɹuːm	ɡʁum
1.000	1.0	1.000	identical	bisque	bisque	generative	biːsk	bisk
0.997	1.0	0.995	identical	stress	stresse		stɹɛs	stʁɛs
0.996	1.0	0.992	identical	test	teste		tɛst	tɛst
0.995	1.0	0.991	identical	rouge	rouges	cognate	ɹuːʒ	ʁuʒ
0.995	1.0	0.990	identical	soup	soupe	cognate	suːp	sup
0.994	1.0	0.988	identical	sect	secte	cognate	sɛkt	sɛkt
0.993	1.0	0.987	identical	bless	blesse		blɛs	blɛs
0.993	1.0	0.986	identical	cross	crosse		kɹɒs	kʁɔs
0.993	1.0	0.986	identical	petite	petites	cognate	pətiːt	pətit
0.992	1.0	0.983	identical	boss	bosse		bɒs	bɔs
0.990	1.0	0.981	identical	yen	yens	cognate	jɛn	jɛn
0.990	1.0	0.980	identical	sketch	sketchs		skɛtʃ	skɛtʃ
0.990	1.0	0.980	identical	shoot	shoote		ʃuːt	ʃut
0.989	1.0	0.979	identical	sect	sectes	cognate	sɛkt	sɛkt
0.988	1.0	0.977	identical	sex	sexe	cognate	sɛks	sɛks
0.988	1.0	0.976	identical	group	groupe	cognate	ɡɹuːp	ɡʁup
0.988	1.0	0.976	identical	zoom	zoome		zuːm	zum
0.988	1.0	0.976	identical	zoom	zooms	cognate	zuːm	zum
0.986	1.0	0.972	identical	ski	skis	cognate	skiː	ski
0.985	1.0	0.971	identical	technique	techniques	cognate	tɛkniːk	tɛknik
0.985	0.985	1.000	identical	caste	caste	generative	kɑːst	kast
0.985	1.0	0.969	identical	zoom	zoomes		zuːm	zum
0.985	1.0	0.969	identical	soup	soupes	cognate	suːp	sup
0.984	1.0	0.969	identical	tress	tresses	generative	tɹɛs	tʁɛs
0.984	1.0	0.968	identical	tel	tels	cognate	tɛl	tɛl
0.983	1.0	0.967	identical	niche	niches	cognate	niːʃ	niʃ
0.983	1.0	0.966	identical	test	testes		tɛst	tɛst
0.983	1.0	0.966	identical	test	tests	cognate	tɛst	tɛst
0.980	1.0	0.961	identical	coupe	coupes	cognate	kuːp	kup
0.980	0.98	1.000	identical	triste	triste	generative	tɹɪst	tʁist
0.980	1.0	0.960	identical	boutique	boutiques	cognate	buːtiːk	butik
0.980	1.0	0.960	identical	mousse	mousses	cognate	muːs	mus
0.980	1.0	0.959	identical	boss	bosses		bɒs	bɔs
0.979	1.0	0.959	identical	tweed	tweeds	cognate	twiːd	twid
0.979	1.0	0.958	identical	speech	speechs		spiːtʃ	spitʃ
0.979	1.0	0.958	identical	troupe	troupes	generative	tɹuːp	tʁup
0.978	1.0	0.957	identical	si	ci		siː	si
0.978	1.0	0.957	identical	group	groupes	cognate	ɡɹuːp	ɡʁup
0.978	1.0	0.956	identical	route	routes	cognate	ɹuːt	ʁut
0.977	1.0	0.953	identical	test	testent		tɛst	tɛst
0.975	1.0	0.951	identical	zest	zeste	cognate	zɛst	zɛst
0.975	1.0	0.950	identical	poof	pouf	cognate	puːf	puf
0.975	0.975	1.000	identical	bloc	bloc	generative	blɒk	blɔk
0.975	0.975	1.000	identical	yeti	yeti	generative	jɛti	jeti
0.975	0.975	1.000	identical	tipi	tipi	generative	tɪpi	tipi
0.975	0.975	1.000	identical	tilt	tilt	generative	tɪlt	tilt
0.975	0.975	1.000	identical	swing	swing	generative	swɪŋ	swiŋ
0.975	0.975	1.000	identical	piste	piste	generative	pɪst	pist
0.975	0.975	1.000	identical	grippe	grippe	generative	ɡɹɪp	ɡʁip
0.975	0.975	1.000	identical	quid	quid	generative	kwɪd	kwid
0.975	0.975	1.000	identical	lobby	lobby	generative	lɒbi	lɔbi
0.975	0.975	1.000	identical	lorry	lorry	generative	lɒɹi	lɔʁi
0.975	1.0	0.950	identical	shoot	shoots	cognate	ʃuːt	ʃut
0.974	1.0	0.948	identical	prove	prouvent		pɹuːv	pʁuv
0.974	1.0	0.948	identical	pen	penne		pɛn	pɛn
0.973	1.0	0.946	identical	chic	chics	cognate	ʃiːk	ʃik
0.971	1.0	0.942	identical	express	expresse	cognate	ɛkspɹɛs	ɛkspʁɛs
0.971	1.0	0.942	identical	prove	prouve	cognate	pɹuːv	pʁuv
0.970	1.0	0.941	identical	shoot	shootes		ʃuːt	ʃut
0.970	0.97	1.000	identical	rapt	rapt	generative	ɹæpt	ʁapt
0.970	0.97	1.000	identical	prude	prude	generative	pɹuːd	pʁyd
0.970	0.97	1.000	identical	plume	plume	generative	pluːm	plym
0.970	0.97	1.000	identical	claque	claque	generative	klæk	klak
0.970	0.97	1.000	identical	chat	chat	generative	tʃæt	ʃa
0.970	0.97	1.000	identical	caddie	caddie	generative	kædi	kadi
0.970	0.97	1.000	identical	masque	masque	generative	mæsk	mask
0.970	0.97	1.000	identical	latter	latter	generative	lætɐ	late
0.970	0.97	1.000	identical	jack	jack	generative	dʒæk	dʒak
0.970	0.97	1.000	identical	kaki	kaki	generative	kæki	kaki
0.969	1.0	0.938	identical	tea	tee		tiː	ti
0.968	1.0	0.937	identical	frieze	frise	generative	fɹiːz	fʁiz
0.968	0.975	0.986	identical	crosse	cross	generative	kɹɒs	kʁɔs
0.967	0.967	1.000	identical	pressing	pressing	generative	pɹɛsɪŋ	pʁesiŋ
0.966	1.0	0.931	identical	west	ouest	cognate	wɛst	wɛst
0.965	1.0	0.930	identical	fare	faire		feə	fɛʁ
0.964	1.0	0.928	identical	fare	fer		feə	fɛʁ
0.964	1.0	0.928	identical	ben	bennes		bɛn	bɛn
0.964	1.0	0.928	identical	corn	cornes		kɔːn	kɔʁn
0.964	1.0	0.928	identical	bet	bette		bɛt	bɛt
0.963	0.975	0.975	identical	trot	trotte	generative	tɹɒt	tʁɔt
0.962	1.0	0.923	identical	fort	forte		fɔːt	fɔʁt
0.961	1.0	0.922	identical	shoot	shootent		ʃuːt	ʃut
0.960	0.96	1.000	identical	derrick	derrick	generative	dɛɹɪk	deʁik
0.960	1.0	0.919	identical	met	mette		mɛt	mɛt
0.959	1.0	0.918	identical	chef	chefs	cognate	ʃɛf	ʃɛf
0.958	1.0	0.915	identical	ski	skie		skiː	ski
0.957	1.0	0.914	identical	testa	tester	generative	tɛstɐ	tɛste
0.957	1.0	0.914	identical	vex	vexe		vɛks	vɛks
0.956	0.956	1.000	identical	active	active	generative	æktɪv	aktiv
0.956	1.0	0.912	identical	poof	pouffent		puːf	puf
0.956	1.0	0.911	identical	stem	stemm		stɛm	stɛm
0.955	1.0	0.911	identical	vex	vexes		vɛks	vɛks
0.955	1.0	0.910	identical	chemise	chemises		ʃəmiːz	ʃəmiz
0.955	1.0	0.909	identical	boom	booms	cognate	buːm	bum
0.955	1.0	0.909	identical	re	rit		ɹiː	ʁi
0.954	1.0	0.909	identical	fess	fesse		fɛs	fɛs
0.954	1.0	0.908	identical	cootie	coutil	generative	kuːti	kuti
0.953	1.0	0.907	identical	zest	zestes	cognate	zɛst	zɛst
0.953	1.0	0.907	identical	stem	stems		stɛm	stɛm
0.953	1.0	0.906	identical	enemy	ennemies	cognate	ɛnəmi	ɛnəmi
0.953	1.0	0.906	identical	press	presse	cognate	pɹɛs	pʁɛs
0.952	1.0	0.905	identical	plea	pli		pliː	pli
0.952	1.0	0.904	identical	met	mettes		mɛt	mɛt
0.952	1.0	0.903	identical	groupie	groupies	generative	ɡɹuːpi	ɡʁupi
0.952	1.0	0.903	identical	cede	cid		siːd	sid
0.951	0.98	0.942	identical	boric	borique	generative	bɔːɹɪk	bɔʁik
0.951	1.0	0.902	identical	seas	sises		siːz	siz
0.950	1.0	0.901	identical	kiwi	kiwis	cognate	kiːwiː	kiwi
0.950	0.95	1.000	identical	if	if	funcword	ɪf	if
0.950	0.95	1.000	identical	olive	olive	generative	ɒlɪv	ɔliv
0.950	0.95	1.000	identical	audit	audit	generative	ɔːdɪt	odit
0.950	0.95	1.000	identical	in	in	funcword	ɪn	in
0.950	0.985	0.929	identical	crass	crasse	generative	kɹɑːs	kʁas
0.950	1.0	0.899	identical	sec	secs	cognate	sɛk	sɛk
0.948	1.0	0.896	identical	leg	legs		lɛɡ	lɛɡ
0.947	1.0	0.895	identical	fare	fers		feə	fɛʁ
0.947	1.0	0.894	identical	seas	sise		siːz	siz
0.946	1.0	0.893	identical	tret	traite	generative	tɹɛt	tʁɛt
0.946	1.0	0.893	identical	mu	moues		muː	mu
0.946	0.975	0.940	identical	grot	grotte	generative	ɡɹɒt	ɡʁɔt
0.945	1.0	0.890	identical	clique	clic	generative	kliːk	klik
