a	b	hops	quality	subchain
en:root	fr:routes	3	1.000	en:root ≈ fr:route ~ en:route ≈ fr:routes
en:bell	en:belle	2	1.000	en:bell ≈ fr:belle ~ en:belle
en:bell	fr:belles	3	1.000	en:bell ≈ fr:belle ~ en:belle ≈ fr:belles
fr:belle	fr:belles	2	1.000	≈ fr:belle en:belle ≈ fr:belles
en:belle	en:bell	2	1.000	en:belle ~ fr:belle ≈ en:bell
en:belle	fr:bell	3	1.000	en:belle ~ fr:belle ≈ en:bell ~ fr:bell
fr:belle	fr:bell	2	1.000	~ fr:belle en:bell ~ fr:bell
en:born	en:borne	2	1.000	en:born ≈ fr:borne ~ en:borne
en:born	fr:bonnes	3	1.000	en:born ≈ fr:borne ~ en:borne ≈ fr:bonnes
fr:borne	fr:bonnes	2	1.000	≈ fr:borne en:borne ≈ fr:bonnes
en:born	fr:bonne	3	1.000	en:born ≈ fr:borne ~ en:borne ≈ fr:bonne
fr:borne	fr:bonne	2	1.000	≈ fr:borne en:borne ≈ fr:bonne
en:borne	en:born	2	1.000	en:borne ~ fr:borne ≈ en:born
en:borne	fr:born	3	1.000	en:borne ~ fr:borne ≈ en:born ~ fr:born
fr:borne	fr:born	2	1.000	~ fr:borne en:born ~ fr:born
en:cellar	en:seller	2	1.000	en:cellar ≈ fr:seller ~ en:seller
en:cellar	fr:sels	3	1.000	en:cellar ≈ fr:seller ~ en:seller ≈ fr:sels
fr:seller	fr:sels	2	1.000	≈ fr:seller en:seller ≈ fr:sels
fr:crosse	fr:cross	2	1.000	~ fr:crosse en:cross ~ fr:cross
en:crosse	en:cross	2	1.000	en:crosse ~ fr:crosse ≈ en:cross
en:crosse	fr:cross	3	1.000	en:crosse ~ fr:crosse ≈ en:cross ~ fr:cross
fr:tee	fr:tea	2	1.000	~ fr:tee en:tea ~ fr:tea
en:messes	en:mess	2	1.000	en:messes ~ fr:messes ≈ en:mess
en:messes	fr:mess	3	1.000	en:messes ~ fr:messes ≈ en:mess ~ fr:mess
fr:messes	fr:mess	2	1.000	~ fr:messes en:mess ~ fr:mess
en:moose	en:mousse	2	1.000	en:moose ≈ fr:mousse ~ en:mousse
en:moose	fr:mousses	3	1.000	en:moose ≈ fr:mousse ~ en:mousse ≈ fr:mousses
fr:mousse	fr:mousses	2	1.000	≈ fr:mousse en:mousse ≈ fr:mousses
fr:route	fr:routes	2	1.000	≈ fr:route en:route ≈ fr:routes
en:tee	en:tea	2	1.000	en:tee ~ fr:tee ≈ en:tea
en:tee	fr:tea	3	1.000	en:tee ~ fr:tee ≈ en:tea ~ fr:tea
en:troop	en:troupe	2	1.000	en:troop ≈ fr:troupe ~ en:troupe
en:troop	fr:troupes	3	1.000	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes
fr:troupe	fr:troupes	2	1.000	≈ fr:troupe en:troupe ≈ fr:troupes
en:we	fr:sim	2	0.998	en:we ≈ fr:oui ~ fr:sim
fr:tee	fr:thé	2	0.998	~ fr:tee en:tea ~ fr:thé
en:tee	fr:thé	3	0.998	en:tee ~ fr:tee ≈ en:tea ~ fr:thé
en:tree	fr:tres	2	0.998	en:tree ≈ fr:tri ~ fr:tres
en:wee	fr:sim	2	0.998	en:wee ≈ fr:oui ~ fr:sim
en:lease	fr:luce	2	0.997	en:lease ≈ fr:lys ~ fr:luce
en:pair	fr:isa	2	0.997	en:pair ≈ fr:père ~ fr:isa
en:stalk	fr:stocks	2	0.997	en:stalk ≈ fr:stockes ~ fr:stocks
en:stress	fr:stress	2	0.997	en:stress ≈ fr:stresse ~ fr:stress
en:check	fr:tchèque	2	0.996	en:check ≈ fr:tchèques ~ fr:tchèque
en:check	fr:tchèques	2	0.996	en:check ≈ fr:tchèque ~ fr:tchèques
en:share	fr:chère	2	0.996	en:share ≈ fr:chères ~ fr:chère
en:share	fr:chères	2	0.996	en:share ≈ fr:chère ~ fr:chères
en:she	fr:chienne	2	0.996	en:she ≈ fr:chient ~ fr:chienne
en:dawn	fr:féminin	2	0.995	en:dawn ≈ fr:donne ~ fr:féminin
en:em	fr:aimez	2	0.995	en:em ≈ fr:aimes ~ fr:aimez
en:fairy	en:ferry	2	0.995	en:fairy ≈ fr:ferry ~ en:ferry
en:fairy	fr:faits rient	3	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient
en:fairy	fr:tait rient	4	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:tait rient
en:fairy	en:terry	5	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry
en:fairy	fr:terry	6	0.995	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry ~ fr:terry
fr:ferry	fr:faits rient	2	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient
fr:ferry	fr:tait rient	3	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:tait rient
fr:ferry	en:terry	4	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry
fr:ferry	fr:terry	5	0.995	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:tait rient ≈ en:terry ~ fr:terry
en:ferry	fr:tait rient	2	0.995	~ en:ferry ≈ fr:faits rient fr:tait rient
en:ferry	en:terry	3	0.995	~ en:ferry ≈ fr:faits rient fr:tait rient ≈ en:terry
en:ferry	fr:terry	4	0.995	~ en:ferry ≈ fr:faits rient fr:tait rient ≈ en:terry ~ fr:terry
fr:faits rient	en:terry	2	0.995	≈ fr:faits rient ~ fr:tait rient ≈ en:terry
fr:faits rient	fr:terry	3	0.995	≈ fr:faits rient ~ fr:tait rient ≈ en:terry fr:terry
fr:tait rient	fr:terry	2	0.995	~ fr:tait rient ≈ en:terry ~ fr:terry
en:for	en:fort	2	0.995	en:for ≈ fr:fort ~ en:fort
en:for	fr:forte	4	0.995	en:for ≈ fr:fort ~ en:fort ≈ fr:fortes ~ fr:forte
en:for	fr:fortes	4	0.995	en:for ≈ fr:fort ~ en:fort ≈ fr:forte ~ fr:fortes
fr:fort	fr:forte	3	0.995	≈ fr:fort en:fort ≈ fr:fortes ~ fr:forte
fr:fort	fr:fortes	3	0.995	≈ fr:fort en:fort ≈ fr:forte ~ fr:fortes
en:fort	fr:fortes	2	0.995	~ en:fort ≈ fr:forte fr:fortes
en:fort	fr:forte	2	0.995	~ en:fort ≈ fr:fortes fr:forte
en:merry	fr:faits rient	2	0.995	en:merry ≈ fr:mets rient ~ fr:faits rient
en:merry	en:ferry	3	0.995	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry
en:merry	fr:ferry	4	0.995	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry ~ fr:ferry
fr:mets rient	en:ferry	2	0.995	≈ fr:mets rient fr:faits rient ≈ en:ferry
fr:mets rient	fr:ferry	3	0.995	≈ fr:mets rient fr:faits rient ≈ en:ferry ~ fr:ferry
fr:faits rient	fr:ferry	2	0.995	~ fr:faits rient ≈ en:ferry fr:ferry
fr:shoote	fr:chute	3	0.995	≈ fr:shoote fr:shoot ≈ en:chute ~ fr:chute
en:rev	fr:rêver	2	0.995	en:rev ≈ fr:rêvent ~ fr:rêver
en:shoot	fr:shoot	2	0.995	en:shoot ≈ fr:shoote ~ fr:shoot
en:shoot	en:chute	3	0.995	en:shoot ≈ fr:shoote ~ fr:shoot ≈ en:chute
en:shoot	fr:chute	4	0.995	en:shoot ≈ fr:shoote ~ fr:shoot ≈ en:chute ~ fr:chute
fr:shoote	en:chute	2	0.995	≈ fr:shoote fr:shoot ≈ en:chute
en:to	fr:tout	2	0.995	en:to ≈ fr:touts ~ fr:tout
en:to	en:too	3	0.995	en:to ≈ fr:touts ~ fr:tout ≈ en:too
en:to	fr:too	4	0.995	en:to ≈ fr:touts ~ fr:tout ≈ en:too ~ fr:too
fr:touts	en:too	2	0.995	≈ fr:touts fr:tout ≈ en:too
fr:touts	fr:too	3	0.995	≈ fr:touts fr:tout ≈ en:too ~ fr:too
fr:tout	fr:too	2	0.995	~ fr:tout ≈ en:too fr:too
en:to	en:two	3	0.995	en:to ≈ fr:touts ~ fr:tout ≈ en:two
en:to	fr:two	4	0.995	en:to ≈ fr:touts ~ fr:tout ≈ en:two ~ fr:two
fr:touts	en:two	2	0.995	≈ fr:touts fr:tout ≈ en:two
fr:touts	fr:two	3	0.995	≈ fr:touts fr:tout ≈ en:two ~ fr:two
fr:tout	fr:two	2	0.995	~ fr:tout ≈ en:two fr:two
en:too	fr:tout	2	0.995	en:too ≈ fr:touts ~ fr:tout
en:too	en:two	3	0.995	en:too ≈ fr:touts ~ fr:tout ≈ en:two
en:too	fr:two	4	0.995	en:too ≈ fr:touts ~ fr:tout ≈ en:two ~ fr:two
en:two	fr:tout	2	0.995	en:two ≈ fr:touts ~ fr:tout
en:two	en:too	3	0.995	en:two ≈ fr:touts ~ fr:tout ≈ en:too
en:two	fr:too	4	0.995	en:two ≈ fr:touts ~ fr:tout ≈ en:too ~ fr:too
en:cellar	fr:selles	3	0.994	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selles
en:cellar	fr:verte	4	0.994	en:cellar ≈ fr:seller ~ en:seller ≈ fr:selles ~ fr:verte
fr:seller	fr:selles	2	0.994	≈ fr:seller en:seller ≈ fr:selles
