en	fr	sound	fr_zipf
the	e	0.627	5.29
the	je	0.607	6.89
the	de	0.607	7.68
the	re	0.585	4.49
the	te	0.577	5.96
to	tout	1.000	6.44
to	to	1.000	4.91
to	tous	0.760	6.11
to	toutes	0.760	5.71
to	toute	0.760	5.81
and	inde	0.603	4.52
and	aide	0.562	5.31
and	bande	0.554	4.96
and	stade	0.544	4.85
and	z	0.539	4.44
of	iv	0.607	4.48
of	savent	0.598	4.75
of	rêves	0.585	4.51
of	rêve	0.585	4.84
of	doivent	0.570	5.16
a	et	0.700	7.31
a	ai	0.700	6.46
a	essais	0.598	4.44
a	essaie	0.598	4.66
a	essai	0.598	4.56
in	n	0.637	6.65
in	haine	0.637	4.58
in	seine	0.598	4.61
in	scène	0.598	5.12
in	reine	0.590	4.71
i	à	0.700	7.26
i	ha	0.700	4.52
i	ah	0.700	5.31
i	a	0.700	7.00
i	as	0.629	5.79
is	aise	0.637	4.44
is	disent	0.598	4.91
is	mises	0.556	4.52
is	mise	0.556	5.32
is	rose	0.551	4.72
for	fort	1.000	5.34
for	for	1.000	4.60
for	forces	0.814	4.96
for	force	0.814	5.22
for	fortes	0.814	4.43
that	date	0.565	5.15
that	êtes	0.554	5.37
that	dites	0.546	4.77
that	dite	0.546	4.44
that	dette	0.546	4.52
you	you	1.000	4.67
you	où	0.663	6.07
you	ou	0.663	6.46
you	youtube	0.623	4.53
you	sous	0.616	5.90
it	êtes	0.637	5.37
it	sites	0.601	4.78
it	site	0.601	5.47
it	dites	0.598	4.77
it	dite	0.598	4.44
on	tonnes	0.760	4.43
on	donnent	0.757	4.61
on	donne	0.757	5.41
on	bonnes	0.716	4.93
on	bonne	0.716	5.67
with	oui	0.577	5.80
with	ouais	0.574	5.20
with	ouest	0.533	5.00
this	s	0.574	6.53
this	dix	0.569	5.15
this	six	0.549	5.15
this	6	0.549	5.52
this	laisse	0.546	5.17
was	aise	0.593	4.44
was	ouais	0.585	5.20
was	oui	0.570	5.80
was	phase	0.560	4.67
was	ouest	0.558	5.00
be	by	1.000	4.52
be	big	0.716	4.46
be	billets	0.679	4.48
be	billet	0.679	4.46
be	bruit	0.673	4.71
as	aise	0.607	4.44
as	phase	0.581	4.67
as	disent	0.575	4.91
as	phrase	0.554	4.65
as	gaz	0.553	4.82
are	arts	0.652	4.69
are	art	0.652	5.26
are	tard	0.607	5.34
are	rares	0.600	4.60
are	rare	0.600	4.67
have	iv	0.583	4.48
have	savent	0.576	4.75
have	rêves	0.556	4.51
have	rêve	0.556	4.84
have	doivent	0.555	5.16
at	êtes	0.607	5.37
at	date	0.595	5.15
at	sites	0.578	4.78
at	site	0.578	5.47
at	sept	0.578	5.00
he	i	0.670	5.34
he	oui	0.622	5.80
he	ii	0.622	5.12
he	si	0.621	6.46
he	ci	0.621	5.49
not	nantes	0.730	4.56
not	notes	0.700	4.68
not	note	0.681	4.96
not	net	0.681	4.62
not	date	0.575	5.15
by	bat	0.786	4.44
by	bas	0.786	5.39
by	bah	0.786	4.88
by	basse	0.725	4.58
by	barre	0.717	4.60
but	bête	0.725	4.51
but	boîte	0.689	4.70
but	buts	0.671	4.75
but	but	0.671	5.28
but	beaux	0.597	4.82
