src	dst	hops	quality	chain
abilities	avec	4	0.881	en:abilities ≈ fr:épilent hisse ~ fr:émettent ≈ en:met ~ fr:avec
abilities	rencontrée	4	0.878	en:abilities ≈ fr:épilent hisse ~ fr:émettent ≈ en:met = fr:rencontrée
abilities	émettent	2	0.891	en:abilities ≈ fr:épilent hisse ~ fr:émettent
able	d porte	6	0.817	en:able ~ en:possible ≈ fr:pas belle ~ fr:pas pote ≈ en:passport ~ en:disport ≈ fr:d porte
able	faisant	5	0.900	en:able ~ en:can ≈ fr:canne = en:rod ≈ fr:rade ~ fr:faisant
able	faites	5	0.900	en:able ~ en:can ≈ fr:canne = en:rod ≈ fr:rade ~ fr:faites
about	pile	6	0.878	en:about ≈ fr:épate ~ fr:épile ≈ en:appeals ~ en:appeal ≈ fr:piles ~ fr:pile
about	cantine	6	0.866	en:about ≈ fr:épate ~ fr:épines ≈ en:eighteen ~ en:seventeen ≈ fr:sève cantine ~ fr:cantine
about	séchage	6	0.861	en:about ≈ fr:épate ~ fr:épines ≈ en:eighteen ~ en:seventeen ≈ fr:sève cantine ~ fr:séchage
accept	ère	6	0.875	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:exception ~ en:error ≈ fr:ère
accept	airs	6	0.875	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:exception ~ en:error ≈ fr:airs
accept	aires	6	0.875	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:exception ~ en:error ≈ fr:aires
acceptable	inacceptable	3	0.892	en:acceptable ~ fr:acceptable ≈ en:unacceptable ~ fr:inacceptable
acceptable	inacceptables	3	0.891	en:acceptable ~ fr:acceptable ≈ en:unacceptable ~ fr:inacceptables
acceptable	intolérable	3	0.875	en:acceptable ~ fr:acceptable ≈ en:unacceptable = fr:intolérable
acceptance	excepté	6	0.891	en:acceptance ~ en:accept ≈ fr:acceptes ~ en:accepted ≈ fr:excepte ~ en:except ≈ fr:excepté
acceptance	acceptent	6	0.883	en:acceptance ~ en:accept ≈ fr:acceptes ~ en:accepted ≈ fr:excepte ~ en:except ≈ fr:acceptent
acceptance	acceptes	6	0.882	en:acceptance ~ en:accept ≈ fr:acceptent ~ en:accepted ≈ fr:excepte ~ en:except ≈ fr:acceptes
