word	ipa
the	ðə
to	tu
and	ænd
of	ʌv
a	eɪ
in	ɪn
i	aɪ
is	ɪz
for	fɔɹ
that	ðæt
you	ju
it	ɪt
on	ɔn
with	wɪð
this	ðɪs
was	wʌz
be	bi
as	æz
are	ɑɹ
have	hæv
at	æt
he	hi
not	nɑt
by	baɪ
but	bʌt
from	fɹʌm
my	maɪ
or	ɔɹ
we	wi
an	æn
your	jʊɹ
all	ɔl
so	soʊ
his	hɪz
they	ðeɪ
me	mi
if	ɪf
one	wʌn
can	kæn
will	wɪl
just	dʒʌst
like	laɪk
about	ɐbaʊt
up	ʌp
out	aʊt
what	wʌt
has	hæz
when	wɛn
more	moɹ
do	du
no	noʊ
were	wɜ
who	hu
had	hæd
their	ðɛɹ
there	ðɛɹ
her	hɜ
which	wɪtʃ
time	taɪm
get	ɡɛt
been	bɪn
would	wʊd
she	ʃi
new	nu
people	pipəl
how	haʊ
some	sʌm
also	ɔlsoʊ
them	ðɛm
now	naʊ
other	ʌðɚ
its	ɪts
our	aʊɚ
than	ðɐn
good	ɡʊd
only	oʊnli
after	æftɚ
first	fɜst
him	hɪm
into	ɪntʊ
know	noʊ
see	si
two	tu
make	meɪk
over	oʊvɚ
think	θɪŋk
any	ɛni
then	ðɛn
could	kʊd
back	bæk
these	ðiz
us	ʌs
want	wɔnt
because	bɪkʌz
go	ɡoʊ
well	wɛl
said	sɛd
way	weɪ
most	moʊst
much	mʌtʃ
very	vɛɹi
where	wɛɹ
even	ivən
should	ʃʊd
may	meɪ
here	hɪɹ
need	nid
really	ɹiəli
did	dɪd
right	ɹaɪt
work	wɜk
year	jɪɹ
years	jɪɹz
being	biɪŋ
day	deɪ
too	tu
going	ɡoʊɪŋ
before	bᵻfoɹ
off	ɔf
why	waɪ
made	meɪd
still	stɪl
take	teɪk
got	ɡɑt
many	mɛni
never	nɛvɚ
those	ðoʊz
life	laɪf
say	seɪ
world	wɜld
down	daʊn
great	ɡɹeɪt
through	θɹu
last	læst
s	ɛs
while	waɪl
best	bɛst
such	sʌtʃ
love	lʌv
man	mæn
home	hoʊm
long	lɔŋ
look	lʊk
something	sʌmθɪŋ
use	jus
same	seɪm
used	juzd
both	boʊθ
every	ɛvɹi
am	æm
come	kʌm
part	pɑɹt
state	steɪt
three	θɹi
around	ɚɹaʊnd
between	bᵻtwin
always	ɔlweɪz
better	bɛɹɚ
