a	b	hops	quality	subchain
fr:elle	fr:chie	2	0.983	≈ fr:elle en:she ≈ fr:chie
en:el	en:she	2	0.983	en:el ≈ fr:elle = en:she
en:el	fr:chie	3	0.983	en:el ≈ fr:elle = en:she ≈ fr:chie
fr:ferry	fr:faits rient	2	0.983	≈ fr:ferry en:ferry ≈ fr:faits rient
en:fairy	en:ferry	2	0.983	en:fairy ≈ fr:ferry = en:ferry
en:fairy	fr:faits rient	3	0.983	en:fairy ≈ fr:ferry = en:ferry ≈ fr:faits rient
fr:tri	fr:sorte	2	0.983	≈ fr:tri en:sort ≈ fr:sorte
fr:tri	fr:sortes	2	0.983	≈ fr:tri en:sort ≈ fr:sortes
en:tree	en:sort	2	0.983	en:tree ≈ fr:tri = en:sort
en:tree	fr:sorte	3	0.983	en:tree ≈ fr:tri = en:sort ≈ fr:sorte
en:tree	fr:sortes	3	0.983	en:tree ≈ fr:tri = en:sort ≈ fr:sortes
en:cross	en:crosse	2	0.975	en:cross ≈ fr:crosse = en:crosse
en:cross	fr:cross	3	0.975	en:cross ≈ fr:crosse = en:crosse ≈ fr:cross
en:gean	en:jinn	4	0.975	en:gean ≈ fr:jean = en:jean ≈ fr:djinns = en:jinn
en:gean	fr:gin	5	0.975	en:gean ≈ fr:jean = en:jean ≈ fr:djinns = en:jinn ≈ fr:gin
en:gean	en:jean	2	0.975	en:gean ≈ fr:jean = en:jean
en:gean	fr:djinns	3	0.975	en:gean ≈ fr:jean = en:jean ≈ fr:djinns
en:gene	en:jean	2	0.975	en:gene ≈ fr:jean = en:jean
en:gene	fr:gin	5	0.975	en:gene ≈ fr:jean = en:jean ≈ fr:djinns = en:jinn ≈ fr:gin
en:gene	en:jinn	4	0.975	en:gene ≈ fr:jean = en:jean ≈ fr:djinns = en:jinn
en:gene	fr:djinns	3	0.975	en:gene ≈ fr:jean = en:jean ≈ fr:djinns
en:di	en:says	2	0.970	en:di ≈ fr:dit = en:says
en:di	fr:seize	3	0.970	en:di ≈ fr:dit = en:says ≈ fr:seize
en:di	en:sixteen	4	0.970	en:di ≈ fr:dit = en:says ≈ fr:seize = en:sixteen
en:di	fr:fixent in	5	0.970	en:di ≈ fr:dit = en:says ≈ fr:seize = en:sixteen ≈ fr:fixent in
fr:dit	fr:seize	2	0.970	≈ fr:dit en:says ≈ fr:seize
fr:dit	en:sixteen	3	0.970	≈ fr:dit en:says ≈ fr:seize = en:sixteen
fr:dit	fr:fixent in	4	0.970	≈ fr:dit en:says ≈ fr:seize = en:sixteen ≈ fr:fixent in
en:says	en:sixteen	2	0.970	= en:says ≈ fr:seize en:sixteen
en:says	fr:fixent in	3	0.970	= en:says ≈ fr:seize en:sixteen ≈ fr:fixent in
fr:seize	fr:fixent in	2	0.970	≈ fr:seize = en:sixteen ≈ fr:fixent in
en:boots	en:bought	2	0.967	en:boots = fr:bottes ≈ en:bought
en:boots	fr:achetées	3	0.967	en:boots = fr:bottes ≈ en:bought = fr:achetées
fr:bottes	fr:achetées	2	0.967	= fr:bottes en:bought = fr:achetées
en:claws	en:grief	2	0.967	en:claws = fr:griffes ≈ en:grief
en:claws	fr:deuil	3	0.967	en:claws = fr:griffes ≈ en:grief = fr:deuil
fr:griffes	fr:deuil	2	0.967	= fr:griffes en:grief = fr:deuil
en:claws	fr:chagrin	3	0.967	en:claws = fr:griffes ≈ en:grief = fr:chagrin
fr:griffes	fr:chagrin	2	0.967	= fr:griffes en:grief = fr:chagrin
en:cut	en:cooper	2	0.967	en:cut = fr:coupe ≈ en:cooper
en:cut	fr:cooper	3	0.967	en:cut = fr:coupe ≈ en:cooper = fr:cooper
fr:coupe	fr:cooper	2	0.967	= fr:coupe en:cooper = fr:cooper
en:yes	en:wee	2	0.967	en:yes = fr:oui ≈ en:wee
en:yes	fr:wee	3	0.967	en:yes = fr:oui ≈ en:wee = fr:wee
fr:oui	fr:wee	2	0.967	= fr:oui en:wee = fr:wee
en:crease	en:plea	2	0.967	en:crease = fr:pli ≈ en:plea
en:crease	fr:plaidoyer	3	0.967	en:crease = fr:pli ≈ en:plea = fr:plaidoyer
fr:pli	fr:plaidoyer	2	0.967	= fr:pli en:plea = fr:plaidoyer
en:crosse	en:cross	2	0.967	en:crosse = fr:crosse ≈ en:cross
en:crosse	fr:croisée	3	0.967	en:crosse = fr:crosse ≈ en:cross = fr:croisée
fr:crosse	fr:croisée	2	0.967	= fr:crosse en:cross = fr:croisée
en:deaf	en:suitor	2	0.967	en:deaf = fr:sourd ≈ en:suitor
en:deaf	fr:prétendant	3	0.967	en:deaf = fr:sourd ≈ en:suitor = fr:prétendant
fr:sourd	fr:prétendant	2	0.967	= fr:sourd en:suitor = fr:prétendant
fr:doux	fr:dus	2	0.967	= fr:doux en:due = fr:dus
fr:doux	fr:due	2	0.967	= fr:doux en:due = fr:due
fr:doux	fr:dû	2	0.967	= fr:doux en:due = fr:dû
en:don	en:dawn	2	0.967	en:don = fr:don ≈ en:dawn
en:don	fr:aube	3	0.967	en:don = fr:don ≈ en:dawn = fr:aube
fr:don	fr:aube	2	0.967	= fr:don en:dawn = fr:aube
en:don	fr:dawn	3	0.967	en:don = fr:don ≈ en:dawn = fr:dawn
fr:don	fr:dawn	2	0.967	= fr:don en:dawn = fr:dawn
en:don	fr:aurore	3	0.967	en:don = fr:don ≈ en:dawn = fr:aurore
fr:don	fr:aurore	2	0.967	= fr:don en:dawn = fr:aurore
en:eva	en:ever	2	0.967	en:eva = fr:ève ≈ en:ever
en:eva	fr:jamais	3	0.967	en:eva = fr:ève ≈ en:ever = fr:jamais
fr:ève	fr:jamais	2	0.967	= fr:ève en:ever = fr:jamais
