unit	ipa	kind
l'et	le	elision
l'à	la	elision
l'est	lɛ	elision
l'en	lɑ̃	elision
l'un	lœ̃	elision
l'a	la	elision
l'une	lyn	elision
l'il	lil	elision
l'au	lo	elision
l'on	lɔ̃	elision
l'avec	lavɛk	elision
l'elle	lɛl	elision
l'ai	le	elision
l'ou	lu	elision
l'être	lɛtɹ	elision
l'ils	lil	elision
l'aux	lo	elision
l'ont	lɔ̃	elision
l'était	letɛ	elision
l'été	lete	elision
l'aussi	losi	elision
l'après	lapɹɛ	elision
l'avoir	lavwaɹ	elision
l'où	lu	elision
l'encore	lɑ̃kɔɹ	elision
l'alors	lalɔɹ	elision
l'avait	lavɛ	elision
l'entre	lɑ̃tɹ	elision
l'ans	lɑ̃	elision
l'autres	lotɹ	elision
l'autre	lotɹ	elision
l'avant	lavɑ̃	elision
l'oui	lwi	elision
l'ainsi	lɛ̃si	elision
l'as	las	elision
l'es	lɛ	elision
l'homme	lɔm	elision
l'ici	lisi	elision
l'eu	ly	elision
l'année	lane	elision
l'elles	lɛl	elision
l'histoire	listwaɹ	elision
l'années	lane	elision
l'état	leta	elision
l'aller	lale	elision
l'également	leɡalmɑ̃	elision
l'eux	lø	elision
l'avais	lavɛ	elision
l'étaient	letɛ	elision
l'aime	lɛm	elision
l'aurait	loɹɛ	elision
l'avons	lavɔ̃	elision
l'enfants	lɑ̃fɑ̃	elision
l'assez	lase	elision
l'ailleurs	lajœɹ	elision
l'avez	lave	elision
l'effet	lefɛ	elision
l'équipe	lekip	elision
l'enfin	lɑ̃fɛ̃	elision
l'eau	lo	elision
l'ensemble	lɑ̃sɑ̃bl	elision
l'hommes	lɔm	elision
l'aucun	lokœ̃	elision
l'autant	lotɑ̃	elision
l'accord	lakɔɹ	elision
l'article	laɹtikl	elision
l'exemple	lɛɡzɑ̃pl	elision
l'air	lɛɹ	elision
l'aucune	lokyn	elision
l'heure	lœɹ	elision
l'heures	lœɹ	elision
l'idée	lide	elision
l'étais	letɛ	elision
l'argent	laɹʒɑ̃	elision
l'êtes	lɛt	elision
l'an	lɑ̃	elision
l'aura	loɹa	elision
l'ensuite	lɑ̃syit	elision
l'haut	lo	elision
l'or	lɔɹ	elision
l'arrive	laɹiv	elision
l'avaient	lavɛ	elision
l'europe	løɹɔp	elision
l'i	li	elision
l'ayant	lɛjɑ̃	elision
l'afin	lafɛ̃	elision
l'ah	la	elision
l'aide	lɛd	elision
l'amour	lamuɹ	elision
l'h	(en)ɛl(fɹ)	elision
l'e	lə	elision
l'etc	lɛtseteɹa	elision
l'ordre	lɔɹdɹ	elision
l'école	lekɔl	elision
l'étant	letɑ̃	elision
l'agit	laʒi	elision
l'enfant	lɑ̃fɑ̃	elision
l'unis	lyni	elision
l'amis	lami	elision
