tier	score	en	fr	en_ipa	fr_ipa
S	1.0	to	toux	tuː	tu
S	1.0	to	tout	tuː	tu
S	1.0	for	forts	fɔːɹ	fɔʁ
S	1.0	for	fort	fɔːɹ	fɔʁ
S	1.0	or	hors	ɔːɹ	ɔʁ
S	1.0	we	oui	wiː	wi
S	1.0	me	mit	miː	mi
S	1.0	me	mis	miː	mi
S	1.0	me	mie	miː	mi
S	1.0	more	maures	moːɹ	moʁ
S	1.0	do	doux	duː	du
S	1.0	get	guette	ɡɛt	ɡɛt
S	1.0	she	chie	ʃiː	ʃi
S	1.0	new	nous	nuː	nu
S	1.0	see	sis	siː	si
S	1.0	see	si	siː	si
S	1.0	see	scie	siː	si
S	1.0	two	toux	tuː	tu
S	1.0	two	tout	tuː	tu
S	1.0	said	cède	sɛd	sɛd
S	1.0	too	toux	tuː	tu
S	1.0	too	tout	tuː	tu
S	1.0	feel	fils	fiːl	fil
S	1.0	feel	files	fiːl	fil
S	1.0	feel	file	fiːl	fil
S	1.0	set	sets	sɛt	sɛt
S	1.0	set	sept	sɛt	sɛt
S	1.0	set	cette	sɛt	sɛt
S	1.0	group	groupes	ɡɹuːp	ɡʁup
S	1.0	group	groupe	ɡɹuːp	ɡʁup
S	1.0	read	rides	ɹiːd	ʁid
S	1.0	read	ride	ɹiːd	ʁid
S	1.0	mean	mines	miːn	min
S	1.0	mean	mine	miːn	min
S	1.0	tell	tels	tɛl	tɛl
S	1.0	tell	telles	tɛl	tɛl
S	1.0	tell	telle	tɛl	tɛl
S	1.0	call	cols	kɔːl	kɔl
S	1.0	call	collent	kɔːl	kɔl
S	1.0	call	colle	kɔːl	kɔl
S	1.0	men	mènent	mɛn	mɛn
S	1.0	men	mène	mɛn	mɛn
S	1.0	less	laisses	lɛs	lɛs
S	1.0	less	laissent	lɛs	lɛs
S	1.0	less	laisse	lɛs	lɛs
S	1.0	order	hordes	ɔːɹdɚ	ɔʁd
S	1.0	order	horde	ɔːɹdɚ	ɔʁd
S	1.0	says	seize	sɛz	sɛz
S	1.0	least	listes	liːst	list
S	1.0	least	liste	liːst	list
S	1.0	least	list	liːst	list
S	1.0	talk	toc	tɔːk	tɔk
S	1.0	true	trous	tɹuː	tʁu
S	1.0	true	trou	tɹuː	tʁu
S	1.0	air	ère	ɛɹ	ɛʁ
S	1.0	air	airs	ɛɹ	ɛʁ
S	1.0	air	aires	ɛɹ	ɛʁ
S	1.0	due	doux	duː	du
S	1.0	red	raids	ɹɛd	ʁɛd
S	1.0	red	raide	ɹɛd	ʁɛd
S	1.0	red	raid	ɹɛd	ʁɛd
S	1.0	check	tchèques	tʃɛk	tʃɛk
S	1.0	check	tchèque	tʃɛk	tʃɛk
S	1.0	form	formes	fɔːɹm	fɔʁm
S	1.0	form	forment	fɔːɹm	fɔʁm
S	1.0	form	forme	fɔːɹm	fɔʁm
S	1.0	west	ouest	wɛst	wɛst
S	1.0	former	formes	fɔːɹmɚ	fɔʁm
S	1.0	former	forment	fɔːɹmɚ	fɔʁm
S	1.0	former	forme	fɔːɹmɚ	fɔʁm
S	1.0	re	riz	ɹiː	ʁi
S	1.0	re	rit	ɹiː	ʁi
S	1.0	re	ris	ɹiː	ʁi
S	1.0	rest	restes	ɹɛst	ʁɛst
S	1.0	rest	restent	ɹɛst	ʁɛst
S	1.0	rest	reste	ɹɛst	ʁɛst
S	1.0	sex	sexes	sɛks	sɛks
S	1.0	sex	sexe	sɛks	sɛks
S	1.0	knew	nous	nuː	nu
S	1.0	share	chères	ʃɛɹ	ʃɛʁ
S	1.0	share	chère	ʃɛɹ	ʃɛʁ
S	1.0	share	chers	ʃɛɹ	ʃɛʁ
S	1.0	test	tests	tɛst	tɛst
S	1.0	test	teste	tɛst	tɛst
S	1.0	press	presses	pɹɛs	pʁɛs
S	1.0	press	pressent	pɹɛs	pʁɛs
S	1.0	press	presse	pɹɛs	pʁɛs
S	1.0	cool	coule	kuːl	kul
S	1.0	fall	folles	fɔːl	fɔl
S	1.0	fall	folle	fɔːl	fɔl
S	1.0	fall	fol	fɔːl	fɔl
S	1.0	league	ligues	liːɡ	liɡ
S	1.0	league	ligue	liːɡ	liɡ
S	1.0	key	qui	kiː	ki
S	1.0	led	laide	lɛd	lɛd
S	1.0	led	laid	lɛd	lɛd
S	1.0	lord	lords	lɔːɹd	lɔʁd
S	1.0	born	bornes	bɔːɹn	bɔʁn
S	1.0	born	borne	bɔːɹn	bɔʁn
S	1.0	met	mettent	mɛt	mɛt
S	1.0	met	mette	mɛt	mɛt
S	1.0	super	soupe	suːpɚ	sup
S	1.0	daughter	dort	dɔːɾɚ	dɔʁ
S	1.0	daughter	dors	dɔːɾɚ	dɔʁ
S	1.0	sea	sis	siː	si
S	1.0	sea	si	siː	si
S	1.0	sea	scie	siː	si
S	1.0	sleep	slip	sliːp	slip
S	1.0	ball	bol	bɔːl	bɔl
S	1.0	piece	pisse	piːs	pis
S	1.0	peace	pisse	piːs	pis
S	1.0	beat	bits	biːt	bit
S	1.0	beat	bites	biːt	bit
S	1.0	beat	bite	biːt	bit
S	1.0	pressure	prêche	pɹɛʃɚ	pʁɛʃ
S	1.0	text	textes	tɛkst	tɛkst
S	1.0	text	texte	tɛkst	tɛkst
S	1.0	cross	crosse	kɹɔs	kʁɔs
S	1.0	sort	sortes	sɔːɹt	sɔʁt
S	1.0	sort	sortent	sɔːɹt	sɔʁt
S	1.0	sort	sorte	sɔːɹt	sɔʁt
S	1.0	fair	fers	fɛɹ	fɛʁ
S	1.0	fair	fer	fɛɹ	fɛʁ
S	1.0	fair	faire	fɛɹ	fɛʁ
S	1.0	sell	sels	sɛl	sɛl
S	1.0	sell	selles	sɛl	sɛl
S	1.0	sell	selle	sɛl	sɛl
S	1.0	rule	roule	ɹuːl	ʁul
S	1.0	senior	signes	siːnjɚ	sinj
S	1.0	senior	signent	siːnjɚ	sinj
S	1.0	bought	bottes	bɔːt	bɔt
S	1.0	bought	botte	bɔːt	bɔt
S	1.0	caught	quote	kɔːt	kɔt
S	1.0	caught	cote	kɔːt	kɔt
S	1.0	peter	pires	piːɾɚ	piʁ
S	1.0	peter	pire	piːɾɚ	piʁ
S	1.0	cell	sels	sɛl	sɛl
S	1.0	cell	selles	sɛl	sɛl
S	1.0	cell	selle	sɛl	sɛl
S	1.0	tree	tri	tɹiː	tʁi
S	1.0	fresh	fraîches	fɹɛʃ	fʁɛʃ
S	1.0	fresh	fraîche	fɹɛʃ	fʁɛʃ
S	1.0	score	scores	skoːɹ	skoʁ
S	1.0	seat	sites	siːt	sit
S	1.0	seat	site	siːt	sit
S	1.0	seat	citent	siːt	sit
S	1.0	bet	bêtes	bɛt	bɛt
S	1.0	bet	bête	bɛt	bɛt
S	1.0	ed	aides	ɛd	ɛd
S	1.0	ed	aident	ɛd	ɛd
S	1.0	ed	aide	ɛd	ɛd
S	1.0	nor	nord	nɔːɹ	nɔʁ
S	1.0	prove	prouvent	pɹuːv	pʁuv
S	1.0	prove	prouve	pɹuːv	pʁuv
S	1.0	boss	bosses	bɔs	bɔs
S	1.0	boss	bossent	bɔs	bɔs
S	1.0	boss	bosse	bɔs	bɔs
S	1.0	dress	dressent	dɹɛs	dʁɛs
S	1.0	dress	dresse	dɹɛs	dʁɛs
S	1.0	net	nettes	nɛt	nɛt
S	1.0	net	nette	nɛt	nɛt
S	1.0	net	nets	nɛt	nɛt
S	1.0	corner	cornes	kɔːɹnɚ	kɔʁn
S	1.0	corner	corne	kɔːɹnɚ	kɔʁn
S	1.0	lee	lits	liː	li
S	1.0	lee	lit	liː	li
S	1.0	lee	lis	liː	li
S	1.0	stress	stresse	stɹɛs	stʁɛs
S	1.0	pair	pères	pɛɹ	pɛʁ
S	1.0	pair	père	pɛɹ	pɛʁ
S	1.0	pair	pers	pɛɹ	pɛʁ
S	1.0	steel	styles	stiːl	stil
S	1.0	steel	style	stiːl	stil
S	1.0	enemy	ennemies	ɛnəmi	ɛnəmi
S	1.0	debt	dettes	dɛt	dɛt
S	1.0	debt	dette	dɛt	dɛt
S	1.0	express	expresse	ɛkspɹɛs	ɛkspʁɛs
S	1.0	pool	poules	puːl	pul
S	1.0	pool	poule	puːl	pul
S	1.0	leg	legs	lɛɡ	lɛɡ
S	1.0	sector	sectes	sɛktɚ	sɛkt
S	1.0	sector	secte	sɛktɚ	sɛkt
S	1.0	cream	crimes	kɹiːm	kʁim
S	1.0	cream	crime	kɹiːm	kʁim
S	1.0	seek	sic	siːk	sik
S	1.0	bell	belles	bɛl	bɛl
S	1.0	bell	belle	bɛl	bɛl
S	1.0	bell	bel	bɛl	bɛl
S	1.0	em	aimes	ɛm	ɛm
S	1.0	em	aiment	ɛm	ɛm
S	1.0	em	aime	ɛm	ɛm
S	1.0	mess	messes	mɛs	mɛs
S	1.0	mess	messe	mɛs	mɛs
S	1.0	arrest	restes	ɚɹɛst	ʁɛst
S	1.0	arrest	restent	ɚɹɛst	ʁɛst
S	1.0	arrest	reste	ɚɹɛst	ʁɛst
S	1.0	error	ère	ɛɹɚ	ɛʁ
