en	fr	certifications	example_loop
sex	sectes	12	en:sect ~ fr:secte ≈ en:sext ~ en:sex ≈ fr:sectes
testers	test	12	en:testa ≈ fr:tester ~ en:testers ≈ fr:test ~ en:test ≈ fr:testent ~ en:prueba
sell	cellule	11	en:cellist ~ fr:cellule ≈ en:sell ~ en:sells ≈ fr:celle
explain	explosent	11	en:explained ~ en:explains ≈ fr:explose ~ fr:explosent ≈ en:explain
control	contrôles	10	en:controlled ~ en:control ≈ fr:contrôles = en:controls ≈ fr:contrôle
grasp	grappes	10	en:grab ~ en:grabs ≈ fr:grappe ~ fr:grappes ≈ en:grasp ~ fr:grabe
reads	rides	10	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
root	routes	10	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
succeed	secs ides	10	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
tells	tels	10	en:such = fr:tel ≈ en:tell ~ en:tells ≈ fr:tels
fools	foules	9	en:bulk ~ fr:full ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:foule ≈ en:full
coup	coupe	9	en:chevy ~ fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes ~ en:coupe
coups	coupes	9	en:chevy ~ fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes ~ en:coupe
feel	files	9	en:feel ≈ fr:files ~ fr:file ≈ en:feels
feels	files	9	en:feel ≈ fr:file ~ fr:files ≈ en:feels
letting	laid in	9	en:fitted ~ fr:laid ≈ en:let ~ en:letting ≈ fr:laid in ~ en:laid
read	ride	9	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
tell	tel	9	en:such = fr:tel ≈ en:tell ~ en:tells ≈ fr:tels
properties	apprise	8	en:asset ~ en:properties ≈ fr:apprise ~ fr:appris ≈ en:property
property	appris	8	en:asset ~ en:properties ≈ fr:apprise ~ fr:appris ≈ en:property
boot	bout	8	en:bootee ≈ fr:boutis ~ fr:bout ≈ en:boot
call	colle	8	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
cream	crimes	8	en:cream ≈ fr:crimes ~ fr:crime ≈ en:creamy ~ fr:cream
creamy	crime	8	en:cream ≈ fr:crimes ~ fr:crime ≈ en:creamy ~ fr:cream
fall	folle	8	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
pause	pose	8	en:pause ≈ fr:pose ~ en:pose ≈ fr:pauses
peeve	pif	8	en:pea ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:peas = fr:pois
pleat	plisse	8	en:plead ~ en:pleader ≈ fr:plie ~ fr:plisse ≈ en:pleat
quantities	quad dix	8	en:proportions ~ en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
quantity	quad tee	8	en:proportions ~ en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
propose	proposes	8	en:proposal ~ en:proposed ≈ fr:proposent ~ en:propose ≈ fr:proposes
role	roll	8	en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
roots	route	8	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
success	secs ace	8	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
shoot	chute	8	en:shoot ease ~ fr:shoot ≈ en:chute ~ fr:chute ≈ en:shoot
sicked	secte	8	en:sick ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
sicks	sexe	8	en:sick ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
strip	stream	8	en:stream ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:streams
stream	strip	8	en:streams ~ en:stream ≈ fr:strip ~ en:strip ≈ fr:stream
try	trahis	8	en:tried ~ en:trying ≈ fr:trahi ~ fr:trahis ≈ en:try
beats	bite	7	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beats	bites	7	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
explained	explose	7	en:blast ~ fr:explosent ≈ en:explains ~ en:explained ≈ fr:explose
caller	col	7	en:caller ≈ fr:col ~ fr:cols ≈ en:call
