en	es	sound	tier
end	end	1.000	DUAL-S
free	free	1.000	DUAL-S
story	story	1.000	DUAL-S
sport	sport	1.000	DUAL-S
most	most	0.864	DUAL-S
post	post	0.864	DUAL-S
gold	gold	0.864	DUAL-S
train	tren	0.864	DUAL-S
friend	friend	0.850	DUAL-S
groups	grupos	0.850	DUAL-S
points	points	0.849	DUAL-S
court	court	0.849	DUAL-S
role	rol	0.833	DUAL-S
goal	gol	0.833	DUAL-S
pro	pro	0.833	DUAL-S
court	corte	0.828	DUAL-S
start	start	0.827	DUAL-S
links	links	0.823	DUAL-S
text	text	0.823	DUAL-S
point	point	0.823	DUAL-S
next	next	0.823	DUAL-S
strong	strong	0.823	DUAL-S
group	grupo	0.822	DUAL-S
google	google	0.821	DUAL-S
grand	grand	0.821	DUAL-S
front	front	0.821	DUAL-S
tracks	tracks	0.821	DUAL-S
frank	frank	0.821	DUAL-S
draft	draft	0.821	DUAL-S
four	four	0.815	DUAL-S
louis	luis	0.814	DUAL-S
saint	saint	0.810	DUAL-S
train	train	0.810	DUAL-S
transport	transporte	0.809	DUAL-S
baseball	beisbol	0.797	DUAL-S
part	part	0.793	DUAL-S
park	park	0.793	DUAL-S
army	army	0.793	DUAL-S
star	star	0.793	DUAL-S
arts	arts	0.793	DUAL-S
mark	mark	0.793	DUAL-S
dark	dark	0.793	DUAL-S
coach	coach	0.791	DUAL-S
transport	transportes	0.790	DUAL-S
more	more	0.789	DUAL-S
blue	blue	0.789	DUAL-S
true	true	0.789	DUAL-S
duke	duque	0.789	DUAL-S
duke	duke	0.789	DUAL-S
film	film	0.787	DUAL-S
born	born	0.787	DUAL-S
link	link	0.787	DUAL-S
best	best	0.787	DUAL-S
west	west	0.787	DUAL-S
short	short	0.787	DUAL-S
six	six	0.787	DUAL-S
lost	lost	0.787	DUAL-S
self	self	0.787	DUAL-S
test	test	0.787	DUAL-S
lord	lord	0.787	DUAL-S
fort	fort	0.787	DUAL-S
wiki	wiki	0.787	DUAL-S
chris	cris	0.787	DUAL-S
from	from	0.785	DUAL-S
last	last	0.785	DUAL-S
band	band	0.785	DUAL-S
black	black	0.785	DUAL-S
live	live	0.785	DUAL-S
track	track	0.785	DUAL-S
land	land	0.785	DUAL-S
bank	bank	0.785	DUAL-S
plan	plan	0.785	DUAL-S
camp	camp	0.785	DUAL-S
eight	eight	0.781	DUAL-S
peak	pico	0.781	DUAL-S
control	control	0.777	DUAL-S
defense	defensas	0.775	DUAL-S
main	main	0.770	DUAL-S
play	play	0.770	DUAL-S
street	street	0.768	DUAL-S
box	box	0.763	DUAL-S
stop	stop	0.763	DUAL-S
club	club	0.755	DUAL-S
much	much	0.755	DUAL-S
want	want	0.755	DUAL-S
mary	mary	0.755	DUAL-S
ground	ground	0.753	DUAL-S
copyright	copyright	0.753	DUAL-S
consensus	consensos	0.751	DUAL-S
press	prensas	0.749	DUAL-A
cross	cross	0.748	DUAL-A
road	road	0.748	DUAL-A
field	field	0.746	DUAL-A
