en	fr	combo
to	toux	1.000
to	tout	1.000
to	tous	1.000
for	forts	1.000
for	fort	1.000
be	bis	1.000
by	bye	1.000
or	ores	1.000
or	hors	1.000
we	ouïe	1.000
we	oui	1.000
me	mit	1.000
me	mis	1.000
me	mie	1.000
do	doux	1.000
she	chie	1.000
new	nous	1.000
see	sis	1.000
see	si	1.000
see	scie	1.000
two	toux	1.000
two	tout	1.000
two	tous	1.000
any	haie nient	1.000
said	cède	1.000
very	vais rient	1.000
too	toux	1.000
too	tout	1.000
too	tous	1.000
many	mets nient	1.000
around	round	1.000
feel	files	1.000
feel	file	1.000
feel	fil	1.000
set	sets	1.000
set	sept	1.000
set	cette	1.000
group	groupes	1.000
group	groupe	1.000
read	rides	1.000
read	ride	1.000
mean	mines	1.000
mean	mine	1.000
tell	tels	1.000
tell	telles	1.000
tell	telle	1.000
seen	seine	1.000
call	cols	1.000
call	collent	1.000
call	colle	1.000
men	mènent	1.000
men	mène	1.000
less	laisses	1.000
less	laissent	1.000
less	laisse	1.000
order	hordes	1.000
order	horde	1.000
says	seize	1.000
least	listes	1.000
least	liste	1.000
least	list	1.000
talk	toc	1.000
court	quote	1.000
court	cotes	1.000
court	cote	1.000
true	trous	1.000
true	trou	1.000
air	ère	1.000
air	airs	1.000
air	aires	1.000
due	doux	1.000
buy	bye	1.000
red	raids	1.000
red	raide	1.000
red	raid	1.000
check	tchèques	1.000
check	tchèque	1.000
form	formes	1.000
form	forment	1.000
form	forme	1.000
west	ouest	1.000
former	formes	1.000
former	forment	1.000
former	forme	1.000
ready	raies dits	1.000
meet	mythes	1.000
meet	mythe	1.000
re	riz	1.000
re	rit	1.000
re	ris	1.000
rest	restes	1.000
rest	restent	1.000
rest	reste	1.000
sex	sexes	1.000
sex	sexe	1.000
knew	nous	1.000
share	chères	1.000
share	chère	1.000
share	chers	1.000
test	tests	1.000
test	teste	1.000
movie	mous vies	1.000
press	presse	1.000
role	roll	1.000
cool	coulent	1.000
cool	coule	1.000
eat	hit	1.000
fall	folles	1.000
fall	folle	1.000
fall	fol	1.000
league	ligues	1.000
league	ligue	1.000
key	qui	1.000
led	laide	1.000
lord	lords	1.000
born	bornes	1.000
born	borne	1.000
born	bonnes	1.000
met	mettent	1.000
met	mette	1.000
super	soupe	1.000
daughter	dort	1.000
daughter	dors	1.000
sea	sis	1.000
sea	si	1.000
sea	scie	1.000
sleep	slip	1.000
ball	bol	1.000
piece	pisse	1.000
peace	pisse	1.000
beat	bits	1.000
beat	bites	1.000
beat	bite	1.000
pressure	prêche	1.000
cross	crosse	1.000
sort	sortes	1.000
sort	sortent	1.000
sort	sorte	1.000
fair	fers	1.000
fair	fer	1.000
fair	faire	1.000
sell	sels	1.000
sell	selles	1.000
sell	selle	1.000
scene	seine	1.000
rule	roulent	1.000
rule	roule	1.000
bought	bottes	1.000
bought	botte	1.000
caught	quote	1.000
caught	cotes	1.000
caught	cote	1.000
peter	pires	1.000
peter	pire	1.000
cell	sels	1.000
cell	selles	1.000
cell	selle	1.000
truly	trous lies	1.000
tree	tri	1.000
vs	vies ès	1.000
fresh	fraîches	1.000
fresh	fraîche	1.000
seat	sites	1.000
seat	site	1.000
seat	citent	1.000
bet	bêtes	1.000
bet	bête	1.000
ed	aides	1.000
ed	aident	1.000
ed	aide	1.000
nor	nord	1.000
prove	prouvent	1.000
prove	prouve	1.000
boss	bosses	1.000
boss	bossent	1.000
boss	bosse	1.000
net	nettes	1.000
net	nette	1.000
net	nets	1.000
corner	cornes	1.000
corner	corne	1.000
lee	lits	1.000
lee	lit	1.000
lee	lis	1.000
port	potes	1.000
port	pote	1.000
sport	spots	1.000
sport	spot	1.000
stress	stresse	1.000
tea	tee	1.000
pair	pères	1.000
pair	père	1.000
pair	pers	1.000
steel	styles	1.000
steel	style	1.000
enemy	ennemies	1.000
debt	dettes	1.000
debt	dette	1.000
supreme	soupe rimes	1.000
express	expresse	1.000
entry	haines tri	1.000
ms	aiment ès	1.000
pool	poules	1.000
pool	poule	1.000
route	routes	1.000
leg	legs	1.000
sector	sectes	1.000
sector	secte	1.000
mm	aiment aimes	1.000
meat	mythes	1.000
meat	mythe	1.000
cream	crimes	1.000
cream	crime	1.000
seek	sic	1.000
bell	belles	1.000
bell	belle	1.000
bell	bel	1.000
sees	six	1.000
em	aimes	1.000
em	aiment	1.000
em	aime	1.000
mess	messes	1.000
mess	messe	1.000
arrest	restes	1.000
arrest	restent	1.000
arrest	reste	1.000
error	ère	1.000
error	airs	1.000
error	aires	1.000
peak	piques	1.000
peak	pique	1.000
peak	pics	1.000
fee	fit	1.000
fee	fis	1.000
fee	fie	1.000
smell	semelle	1.000
meal	milles	1.000
meal	mille	1.000
meal	mil	1.000
technique	techniques	1.000
fort	fortes	1.000
fort	forte	1.000
pet	pète	1.000
deeply	dits pli	1.000
sexy	secs sis	1.000
root	routes	1.000
root	route	1.000
steal	styles	1.000
steal	style	1.000
recall	rient collent	1.000
pen	peines	1.000
pen	peine	1.000
pp	pipi	1.000
gene	jean	1.000
gene	gin	1.000
ought	hot	1.000
blues	blouse	1.000
reader	rides	1.000
reader	ride	1.000
boom	boum	1.000
knee	nient	1.000
knee	nie	1.000
knee	nids	1.000
eve	ive	1.000
dare	der	1.000
sec	secs	1.000
seal	sil	1.000
seal	cils	1.000
fool	full	1.000
fool	foules	1.000
fool	foule	1.000
jet	jets	1.000
loop	loupe	1.000
mall	molle	1.000
cm	sis aiment	1.000
corps	cor	1.000
dawn	donnes	1.000
dawn	donnent	1.000
dawn	donne	1.000
cooper	coupes	1.000
cooper	coupent	1.000
cooper	coupe	1.000
terror	terres	1.000
terror	terre	1.000
terror	ter	1.000
shoe	choux	1.000
shoe	chou	1.000
terry	tait rient	1.000
chef	chefs	1.000
sue	sous	1.000
sue	sou	1.000
sue	saoul	1.000
excess	ex ès	1.000
flesh	flèches	1.000
flesh	flèche	1.000
corn	cornes	1.000
corn	corne	1.000
corn	conne	1.000
clue	clous	1.000
clue	clou	1.000
bless	blesse	1.000
lease	lys	1.000
lease	lisses	1.000
lease	lisse	1.000
flew	floue	1.000
flew	flou	1.000
cc	sis scie	1.000
soup	soupe	1.000
lesser	laisses	1.000
lesser	laissent	1.000
lesser	laisse	1.000
ski	skis	1.000
rev	rêves	1.000
