tier	combo	coverage	coherence	uses_filler	novel	en	fr
S	1.0	1.0	0.164	0	0	get	guette
S	1.0	1.0	0.206	0	0	she	chie
S	1.0	0.67	0.644	0	0	new	nous
S	1.0	1.0	0.607	0	0	see	si
S	1.0	1.0	0.626	0	0	two	tout
S	1.0	1.0	0.0	0	0	any	henni
S	1.0	1.0	0.29	0	0	said	cède
S	1.0	1.0	0.626	0	0	too	tout
S	1.0	1.0	0.359	0	0	feel	file
S	1.0	0.67	0.2	0	0	ever	ève
S	1.0	1.0	0.114	0	0	free	frit
S	1.0	1.0	0.576	0	0	set	cette
S	1.0	1.0	0.637	0	0	group	groupe
S	1.0	1.0	0.592	0	0	mean	mine
S	1.0	1.0	0.487	0	0	tell	tels
S	1.0	1.0	0.392	0	0	call	col
S	1.0	1.0	0.347	0	0	men	mène
S	1.0	1.0	0.27	0	0	less	laisse
S	1.0	1.0	0.359	0	0	says	seize
S	1.0	1.0	0.556	0	0	least	liste
S	1.0	1.0	0.24	0	0	talk	toc
S	1.0	1.0	0.43	0	0	true	trou
S	1.0	0.67	0.233	0	0	due	doux
S	1.0	1.0	0.0	0	0	police	pelisse
S	1.0	1.0	0.294	0	0	red	raid
S	1.0	1.0	0.309	0	0	check	tchèque
S	1.0	1.0	0.526	0	0	west	ouest
S	1.0	1.0	0.047	0	0	meet	mites
S	1.0	1.0	0.41	0	0	rest	reste
S	1.0	1.0	0.288	0	0	sex	sexes
S	1.0	0.67	0.644	0	0	knew	nous
S	1.0	1.0	0.333	0	0	test	test
S	1.0	1.0	0.27	0	0	press	presse
S	1.0	1.0	0.17	0	0	cool	coule
S	1.0	1.0	0.263	0	0	fall	folles
S	1.0	1.0	0.497	0	0	league	ligue
S	1.0	1.0	0.108	0	0	step	steppes
S	1.0	1.0	0.709	1	0	key	qui
S	1.0	1.0	0.347	0	0	led	laide
S	1.0	1.0	0.58	0	0	lord	lord
S	1.0	1.0	0.33	0	0	met	mette
S	1.0	1.0	0.101	0	0	seem	cime
S	1.0	0.75	0.17	0	0	super	soupe
S	1.0	1.0	0.607	0	0	sea	si
S	1.0	1.0	0.347	0	0	sleep	slip
S	1.0	1.0	0.357	0	0	ball	bol
S	1.0	1.0	0.277	0	0	piece	pisse
S	1.0	1.0	0.17	0	0	except	excepte
S	1.0	1.0	0.277	0	0	peace	pisse
S	1.0	1.0	0.41	0	0	beat	bit
S	1.0	1.0	0.466	0	0	text	textes
S	1.0	1.0	0.49	0	0	cross	cross
S	1.0	1.0	0.369	0	0	sell	celle
S	1.0	1.0	0.27	0	0	rule	roule
S	1.0	1.0	0.319	0	0	bought	bottes
S	1.0	1.0	0.367	0	0	caught	cote
S	1.0	1.0	0.369	0	0	cell	celle
S	1.0	1.0	0.0	0	0	queen	couine
S	1.0	1.0	0.313	0	0	tree	tri
S	1.0	1.0	0.231	0	0	fresh	fraîches
S	1.0	1.0	0.333	0	0	seat	site
