word	variant	zipf
égaient omis	égaient omise	2.24
égaient omis	égaient omi	2.49
égaient omis	égaient omises	1.96
écot in	écot ines	2.85
écot in	écot ina	3.17
écot in	écot ine	2.72
écot in	écot inés	2.22
écot in	écot inez	2.37
écot in	écot ins	3.15
égouts tic	égouts tice	2.71
égouts tic	égouts tics	2.92
égouts tic	égout tic	3.37
adrets aise	adrets aisé	3.62
adrets aise	adrets aises	2.78
hissent éthique	hissent éthiques	3.49
évoquent aide	évoquent aider	5.09
évoquent aide	évoquent aida	3.17
évoquent aide	évoquent aidé	4.33
évoquent aide	évoquent aidez	3.94
évoquent aide	évoquent aident	3.83
évoquent aide	évoquent aidait	3.21
évoquent aide	évoquent aides	4.39
évoquent aide	évoquent aidant	3.67
amènent aide	amènent aidez	3.94
amènent aide	amènent aidant	3.67
amènent aide	amènent aider	5.09
amènent aide	amènent aidait	3.21
amènent aide	amènent aident	3.83
amènent aide	amènent aidé	4.33
amènent aide	amènent aides	4.39
amènent aide	amènent aida	3.17
hennit omis	hennit omises	1.96
hennit omis	hennit omise	2.24
hennit omis	hennit omi	2.49
haie nient	haies nient	3.49
hérissent aide	hérissent aides	4.39
hérissent aide	hérissent aidait	3.21
hérissent aide	hérissent aidant	3.67
hérissent aide	hérissent aident	3.83
hérissent aide	hérissent aider	5.09
hérissent aide	hérissent aidé	4.33
hérissent aide	hérissent aida	3.17
hérissent aide	hérissent aidez	3.94
isolent aide	isolent aidé	4.33
isolent aide	isolent aidez	3.94
isolent aide	isolent aidant	3.67
isolent aide	isolent aides	4.39
isolent aide	isolent aident	3.83
isolent aide	isolent aidait	3.21
isolent aide	isolent aida	3.17
isolent aide	isolent aider	5.09
étain dites	étains dites	1.55
étain dites	étain dite	4.44
étain digne	étains digne	1.55
étain digne	étain dignes	3.73
pays bol	pays bole	2.03
pays bol	pay bol	3.38
pays bol	pays bolas	1.89
pays bol	pays bols	3.05
pays bol	pays bola	2.53
pays bol	pays bolées	0.00
pays bol	pays bolée	1.59
bas quitte	basée quitte	4.26
bas quitte	base quitte	5.30
bas quitte	basé quitte	4.36
bas quitte	basant quitte	3.60
bas quitte	ba quitte	3.97
bas quitte	bas quittant	3.57
bas quitte	bas quitter	4.74
bas quitte	basées quitte	3.69
bas quitte	bas quitté	4.54
bas quitte	basés quitte	3.74
bas quitte	bas quittait	3.34
bas quitte	bas quittes	3.28
bas quitte	bas quitta	3.48
bas quitte	bas quittez	3.27
bas quitte	bas quittent	3.82
bas quitte	bases quitte	4.47
