phrase	ipa	segs	count	score
ceux qui	søki	4	8	1.0408
tas de	ta-də-	4	3	0.9841
rendez vous	ɹɑ̃devu	6	4	0.9478
étendue de	etɑ̃dydə-	7	3	0.9409
précis du	pɹesidy-	7	9	0.9389
âgée de	aʒedə-	5	3	0.9284
obligée de	ɔbliʒedə-	8	3	0.9238
honneurs de	ɔnœɹdə-	6	4	0.9075
chaussée d	ʃosede	6	10	0.9061
soin de	swɛ̃də-	5	9	0.9012
souhaite dit	suɛtdi	6	3	0.8981
tremblement de	tɹɑ̃bləmɑ̃də-	10	7	0.8968
allées de	aledə-	5	15	0.8944
siècle de	sjɛkldə-	7	11	0.8904
appartenait à	apaɹtənɛa	9	4	0.8903
nerf de	nɛɹdə-	5	3	0.8872
fernando d	fɛɹnɑ̃dode	9	3	0.8555
comte de	kɔ̃tdə-	5	12	0.8519
pics en	pikɑ̃	4	3	0.8514
lang en	lɑ̃ɡɑ̃	4	3	0.8514
c est	seɛ	3	97	0.8485
bout de	budə-	4	14	0.8137
coups de	kudə-	4	16	0.8121
sujet de	syʒɛdə-	6	3	0.796
meilleur des	mɛjœɹde-	7	10	0.7937
effets et	efɛe	4	4	0.7914
oeuvres de	œvɹdə-	5	5	0.7822
soixante et	swasɑ̃te	7	5	0.7659
entendu dire	ɑ̃tɑ̃dydiɹ	8	5	0.7582
séparer de	sepaɹedə-	8	4	0.7564
auto da	otoda	5	8	0.7435
foule de	fuldə-	5	3	0.734
lieu de	ljødə-	5	6	0.7267
arrivent à	aɹiva	5	3	0.7224
android iphone	ɑ̃dɹoidifɔn	10	3	0.7125
venu passer	vənypase	8	5	0.7111
duc de	dykdə-	5	5	0.7068
quart d	kaɹde	5	3	0.7062
oblige me	ɔbliʒmə-	7	9	0.7062
tandis que	tɑ̃dikə	6	5	0.7057
scores top	skoɹtɔp	7	6	0.7017
parole et	paɹɔle	6	7	0.6997
café de	kafedə-	6	9	0.6976
plupart des	plypaɹde-	8	4	0.6703
révérend père	ɹeveɹɑ̃pɛɹ	9	13	0.6656
app id	apid	4	3	0.6532
tous les	tusle-	5	50	0.6525
don t	dɔ̃te	4	69	0.6522
carnaval à	kaɹnavala	9	8	0.6417
entrer dans	ɑ̃tɹedɑ̃	6	4	0.6379
assure you	asyɹju	6	64	0.6366
auprès de	opɹɛdə-	6	11	0.6312
champs élysées	ʃɑ̃elize	7	34	0.6309
pg logo	peʒeloɡo	8	6	0.6289
dégoûté de	deɡutedə-	8	3	0.6274
molière s	moljɛɹɛs	8	3	0.6259
chargés de	ʃaɹʒedə-	7	6	0.6235
aviez pas	avjepa	6	7	0.622
chef d	ʃɛfde	5	3	0.6175
faubourg saint	fobuɹsɛ̃	7	24	0.6129
tournant vers	tuɹnɑ̃vɛɹ	8	3	0.6075
celle de	sɛldə-	5	5	0.6018
aujourd hui	oʒuɹyi	6	8	0.6007
bois de	bwadə-	5	8	0.599
princesse de	pɹɛ̃sɛsdə-	8	3	0.5898
huit jours	yitʒuɹ	6	4	0.587
philippe du	filipdy-	7	3	0.584
toutes les	tutle-	5	19	0.5821
pitié de	pitjedə-	7	3	0.5813
text class	tɛkstklas	9	3	0.5795
j ai	ʒie	3	77	0.5722
pont du	pɔ̃dy-	4	10	0.5655
tel que	tɛlkə	5	5	0.5593
pensez vous	pɑ̃sevu	6	3	0.5535
proportion as	pɹopɔɹsjɔ̃as	11	6	0.5492
plaire à	plɛɹa	5	3	0.5489
nom de	nɔ̃də-	4	4	0.546
jusqu à	ʒyska	5	14	0.5446
tant de	tɑ̃də-	4	11	0.5436
venait d	vənɛde	6	4	0.5428
voulez vous	vulevu	6	4	0.54
patrie des	patɹide-	7	3	0.5381
passer le	paselə-	6	8	0.5274
milieu de	miljødə-	7	5	0.5251
personne ne	pɛɹsɔnnə-	8	10	0.516
parmi les	paɹmile-	7	3	0.5131
relative to	ɹəlativtu	9	12	0.5123
histoire de	istwaɹdə-	8	7	0.5119
milieu des	miljøde-	7	5	0.5067
servir de	sɛɹviɹdə-	8	3	0.5054
dès qu	dɛk	3	5	0.5049
mourir de	muɹiɹdə-	7	3	0.5033
entra dans	ɑ̃tɹadɑ̃	6	6	0.4988
espagne et	ɛspaɲe	6	4	0.4977
hôtel de	otɛldə-	6	12	0.4943
qu il	kil	3	139	0.4912
pourrait bien	puɹɛbjɛ̃	7	3	0.4897
vaut pas	vopa	4	4	0.489
allusion to	alyzjɔ̃tu	8	6	0.4887
gouverneur de	ɡuvɛɹnœɹdə-	10	6	0.4872
mélanges année	melɑ̃ʒane	8	7	0.4834
côtes de	kotdə-	5	3	0.4822
su que	sykə	4	3	0.4814
quartiers et	kaɹtjee	7	3	0.4795
côtes d	kotde	5	3	0.465
chapelle en	ʃapɛlɑ̃	6	3	0.4627
château renaud	ʃatoɹəno	8	141	0.4622
bel auto	bɛloto	6	3	0.4615
étonné de	etɔnedə-	7	4	0.4596
partie de	paɹtidə-	7	5	0.4595
insensible to	ɛ̃sɑ̃sibltu	9	4	0.4593
li a	lia	3	21	0.4529
alexander vi	alɛksɑ̃devi	10	8	0.452
croyez vous	kɹwajevu	8	3	0.4482
fils de	fildə-	5	5	0.4472
hors de	ɔɹdə-	4	3	0.4462
épée au	epeo	4	4	0.4447
désespoir et	dezɛspwaɹe	10	3	0.4444
personnes qui	pɛɹsɔnki	8	3	0.4437
mondes possibles	mɔ̃dpɔsibl	9	5	0.4422
âge et	aʒe	3	3	0.4387
serait ce	səɹɛsə-	6	3	0.4382
bah said	basɛd	5	9	0.4377
peu de	pødə-	4	20	0.4348
boulevard de	bulvaɹdə-	8	5	0.4333
chassé d	ʃasede	6	4	0.4324
henri iv	ɑ̃ɹiiv	5	4	0.4323
cailloux et	kajue	5	3	0.431
êtes vous	ɛtvu	4	10	0.4301
hors du	ɔɹdy-	4	3	0.4256
ancien maître	ɑ̃sjɛ̃mɛtɹ	8	3	0.424
madame de	madamdə-	7	327	0.4236
portugal et	pɔɹtyɡale	9	4	0.4201
prend son	pɹɑ̃sɔ̃	5	3	0.4179
quinze jours	kɛ̃zʒuɹ	6	5	0.4169
sub lieutenant	sœbljøtnɑ̃	9	3	0.4112
cinquante mille	sɛ̃kɑ̃tmil	8	5	0.4112
cheval rouge	ʃəvalɹuʒ	8	3	0.4092
angleterre ce	ɑ̃ɡlətɛɹsə-	9	3	0.4088
attend to	atɑ̃tu	5	9	0.4079
dix mille	dismil	6	9	0.4074
toute la	tutla-	5	13	0.4067
avoue que	avukə	5	3	0.4056
vrai que	vɹɛkə	5	5	0.4023
singes et	sɛ̃ʒe	4	5	0.3977
hôtel des	otɛlde-	6	10	0.3974
peut être	pøɛtɹ	5	14	0.3963
excuse me	ɛkskyzmə-	8	36	0.3912
permit me	pɛɹmimə-	7	17	0.3912
continue to	kɔ̃tinytu	8	9	0.3904
environ trois	ɑ̃viɹɔ̃tɹwa	9	3	0.3896
obligations to	ɔbliɡasjɔ̃tu	11	4	0.3847
trente mille	tɹɑ̃tmil	7	6	0.3846
avenue des	avnyde-	6	7	0.3836
donné un	dɔneœ̃	5	3	0.3833
rita s	ɹitaɛs	6	8	0.3829
rouge et	ɹuʒe	4	3	0.3827
impression on	ɛ̃pɹɛsjɔ̃ɔ̃	8	11	0.3815
physique et	fizike	6	3	0.3752
cinq ou	sɛ̃ku	4	5	0.3744
district doctor	distɹiktdɔktɔɹ	14	3	0.374
mr president	məsjøpɹəzid	11	5	0.3708
combien il	kɔ̃bjɛ̃il	7	3	0.3685
présent à	pɹezɑ̃a	6	4	0.3681
depuis le	dəpyilə-	7	3	0.3665
mit à	mia	3	7	0.3642
aria label	aɹjalabɛl	9	9	0.3619
davantage il	davɑ̃taʒil	9	3	0.3595
quoique je	kwakʒə-	6	4	0.3561
jeune amélie	ʒønameli	8	18	0.3553
mener en	məneɑ̃	5	3	0.3542
voyez tome	vwajetɔm	8	21	0.3534
mettre à	mɛtɹa	5	4	0.3526
url content	yɛɹɛlkɔ̃tɑ̃	9	3	0.3476
excursion to	ɛkskyɹsjɔ̃tu	11	3	0.343
pieds de	pjedə-	5	5	0.3415
espèce de	ɛspɛsdə-	7	3	0.3412
url go	yɛɹɛlɡo	7	3	0.3375
vent to	vɑ̃tu	4	5	0.3371
champ de	ʃɑ̃də-	4	3	0.3355
alors la	alɔɹla-	6	3	0.3347
v l	veɛl	4	3	0.3344
rue de	ɹydə-	4	35	0.3343
honnête homme	ɔnɛtɔm	6	4	0.3338
due to	dytu	4	13	0.3319
paypal com	pɛpalkɔm	8	3	0.3289
pied dans	pjedɑ̃	5	4	0.3279
ma foi	ma-fwa	5	35	0.3278
né à	nea	3	5	0.3276
sang froid	sɑ̃fɹwa	6	4	0.3266
champ à	ʃɑ̃a	3	3	0.3262
chez le	ʃelə-	4	11	0.3235
hélas dit	elasdi	6	7	0.3234
eu le	ylə-	3	6	0.3231
mort en	mɔɹɑ̃	4	7	0.3226
sur le	syɹlə-	5	40	0.3177
objection to	ɔbʒɛksjɔ̃tu	10	4	0.3153
jésuites du	ʒezyitdy-	8	3	0.3153
fb app	ɛfbeap	6	3	0.3149
fin du	fɛ̃dy-	4	3	0.3148
suite des	syitde-	6	3	0.3141
profit by	pɹofibi	7	9	0.3112
autant que	otɑ̃kə	5	3	0.3095
galères je	ɡalɛɹʒə-	7	3	0.3082
propose to	pɹopɔztu	8	9	0.3081
addition to	adisjɔ̃tu	8	3	0.3077
année le	anelə-	5	4	0.3071
valet de	valɛdə-	6	26	0.3066
options a	ɔpsjɔ̃a	6	3	0.3016
li li	lili	4	18	0.3014
lions den	ljɔ̃dɛn	6	7	0.3006
page b	paʒbe	5	10	0.3
mena dans	mənadɑ̃	6	3	0.2994
argent et	aɹʒɑ̃e	5	4	0.2984
y a	iɡɹɛka	6	43	0.2977
m de	ɛmdə-	4	423	0.2965
empereur ivan	ɑ̃pɹœɹivɑ̃	8	3	0.2951
robert le	ɹobɛɹlə-	7	3	0.2939
porta del	pɔɹtadɛl	8	5	0.2931
palais de	palɛdə-	6	7	0.2921
esprit et	ɛspɹie	6	4	0.2916
oui dit	widi	4	5	0.2892
coup d	kude	4	3	0.2861
v h	veaʃ	4	3	0.2857
moins de	mwɛ̃də-	5	5	0.2798
cet homme	sɛtɔm	5	9	0.2751
elles sont	ɛlsɔ̃	4	3	0.2746
sans doute	sɑ̃dut	5	14	0.2743
auprès du	opɹɛdy-	6	5	0.2737
avais pas	avɛpa	5	5	0.2729
sommes tous	sɔmtus	6	4	0.2712
fontaine no	fɔ̃tɛnno	7	4	0.271
driver to	dɹajvœɹtu	9	4	0.2696
cure you	kyɹju	5	3	0.2691
corps de	kɔɹdə-	5	3	0.2671
pieds et	pjee	4	4	0.2665
arriva à	aɹivaa	6	4	0.2654
messieurs dit	mesjødi	7	4	0.2647
partie du	paɹtidy-	7	3	0.263
chez les	ʃele-	4	9	0.2629
lots for	lofɔɹ	5	3	0.262
impossible to	ɛ̃pɔsibltu	9	45	0.2612
social position	sosjalpozisjɔ̃	13	4	0.2592
aussitôt il	ositoil	7	4	0.2591
pains to	pɛ̃tu	4	4	0.259
quinze ans	kɛ̃zɑ̃	4	3	0.2578
vois pas	vwapa	5	3	0.2574
ta ta	ta-ta-	4	3	0.2573
vers la	vɛɹla-	5	5	0.2571
louis xviii	lwiiksvjji	10	42	0.2566
per cent	pɛɹsɑ̃	5	10	0.2557
xv b	iksvebe	7	5	0.2529
aventures et	avɑ̃tyɹe	7	3	0.2528
âme de	amdə-	4	3	0.2514
douze quartiers	duzkaɹtje	9	3	0.2514
pardon me	paɹdɔ̃mə-	7	25	0.2512
plaisir de	plɛziɹdə-	8	5	0.2496
déjà dans	deʒadɑ̃	6	4	0.2491
buy a	byia	4	4	0.2476
introduction to	ɛ̃tɹodyksjɔ̃tu	12	7	0.2468
card to	kaɹtu	5	4	0.2465
beaucoup de	bokudə-	6	6	0.2461
vicomte albert	vikɔ̃talbɛɹ	10	3	0.2461
dans le	dɑ̃lə-	4	72	0.2436
cost me	kɔstmə-	6	8	0.2427
couple as	kuplas	6	3	0.2421
sais rien	sɛɹiɛ̃	5	3	0.2418
pages a	paʒa	4	3	0.2413
