en	fr	certifications	example_loop
succeed	secs ides	10	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
success	secs ace	8	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
foresee	foncé	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresees	fonceuse	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
pleat	plisse	6	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
clack	claque	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clam	clame	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
myself	mas elfes	5	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
yourself	ions elfes	5	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
lender	lin des	5	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders
lenders	lin dos	5	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders
southwest	cent ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
northwest	nœud ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
cross	crosse	4	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
crosse	cross	4	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
existed	exit aide	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
exit art	existantes	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
feel	files	4	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
feeler	filer	4	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
fortunate	faut chaînette	4	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
fortunately	faut chenet lis	4	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
founders	fanent aise	4	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founding	fanent in	4	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
meanie	mini	4	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
meany	minis	4	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
peak	piquent	4	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ en:peake
peaky	piquer	4	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ en:peake
plea	pli	4	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleas
plea	plis	4	en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleas
pleader	plaider	4	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
possessed	paix est	4	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
pressie	précis	4	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
quantities	quad dix	4	en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
quantity	quad tee	4	en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
register	raids ester	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
registered	raids stade	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
setter	synthé	4	en:set ≈ fr:sets ~ en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters ~ fr:setter
setters	synthèse	4	en:set ≈ fr:sets ~ en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters ~ fr:setter
soupy	souper	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
soup	soupe	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
stalky	stocker	4	en:stalk ≈ fr:stockent ~ fr:stocker ≈ en:stalky
test	testent	4	en:test ≈ fr:testent ~ en:testa ≈ fr:tester
testa	tester	4	en:test ≈ fr:testent ~ en:testa ≈ fr:tester
traders	trait aise	4	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
trading	trait in	4	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
true	trous	4	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ fr:wahre
truly	trous lies	4	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ fr:wahre
poof	pouf	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
poop	poupe	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
pressies	précise	3	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
stalk	stockent	3	en:stalk ≈ fr:stockent ~ fr:stocker ≈ en:stalky
bell	bel	2	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
bellies	belize	2	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
classroom	clans rhume	2	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
classes	clans aise	2	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
countries	khan treize	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
country	khan tri	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
destroys	dissent rose	2	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroyed	dissent rhodes	2	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
exclusion	exclus haine	2	en:exclusion ≈ fr:exclus haine ~ en:excluding ≈ fr:exclus in ~ fr:exclues
excluding	exclus in	2	en:exclusion ≈ fr:exclus haine ~ en:excluding ≈ fr:exclus in ~ fr:exclues
extending	axent haines in	2	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extended	axent haines aide	2	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extensively	axent haines flux	2	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
extensive	axent haines ive	2	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
