score	sound	cos	hops	seed	endpoint	chain
0.9360	0.955	0.020	6	leadership	chips	en:leadership ≈ fr:lient chipe ~ fr:freinent chipe ≈ en:friendship ~ en:friendships ≈ fr:freinent chips ~ fr:chips
0.9327	0.928	-0.005	6	routers	dresse	en:routers ≈ fr:ruent aise ~ fr:adrets aise ≈ en:addresses = fr:adresses ≈ en:dress ~ fr:dresse
0.9293	0.955	0.027	5	sandwich	enseignants	en:sandwich ~ en:sandwiches ≈ fr:sain dit chaise ~ fr:dit chaise ≈ en:teachers ~ fr:enseignants
0.9227	0.933	0.011	6	rooters	bride	en:rooters ~ en:root ≈ fr:routes ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.9133	0.955	0.044	6	veteran	cuisinier	en:veteran ≈ fr:fait reine ~ fr:peut reine ≈ en:patron ~ fr:chefs ≈ en:chef = fr:cuisinier
0.8942	0.954	0.063	6	stellar	pain digne	en:stellar ≈ fr:stylé ~ en:pen ≈ fr:peine = en:penalty ≈ fr:pain haleter ~ fr:pain digne
0.8940	0.895	0.001	6	cluster	calories	en:cluster ≈ fr:clés tes ~ en:keys ≈ fr:crises ~ fr:crise ≈ en:calories ~ fr:calories
0.8933	0.946	0.056	6	rooter	bride	en:rooter ~ en:root ≈ fr:routes ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.8884	0.954	0.069	4	beef	bee	en:beef ≈ fr:biffent ~ fr:biffer ≈ en:beefy ~ fr:bee
0.8809	0.903	0.024	5	drives	grave	en:drives ~ en:drive ≈ fr:drap ive ~ fr:gré ive ≈ en:grave ~ fr:grave
0.8799	0.937	0.061	6	rooting	bride	en:rooting ~ en:root ≈ fr:routes ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.8770	0.954	0.081	4	porgy	pizza	en:porgy ≈ fr:pot chie ~ fr:peut ses ≈ en:pizza ~ fr:pizza
0.8659	0.969	0.106	5	leapt	libyens	en:leapt ~ en:leap ≈ fr:lippe ~ en:lippy ≈ fr:libye ~ fr:libyens
0.8652	0.989	0.125	5	fries	free	en:fries ~ fr:frites ≈ en:frit ~ fr:frit ≈ en:free ~ fr:free
0.8637	0.916	0.057	6	arrested	tweet	en:arrested ≈ fr:hérissent aide ~ fr:tissent aide ≈ en:twisted ~ fr:twist ≈ en:tweet ~ fr:tweet
0.8629	0.971	0.111	6	sheep	chips	en:sheep ≈ fr:chipe ~ fr:freinent chipe ≈ en:friendship ~ en:friendships ≈ fr:freinent chips ~ fr:chips
0.8612	0.941	0.085	5	sensors	sweet	en:sensors ~ en:sensor ≈ fr:sain ses ~ fr:souhaites ≈ en:sweet ~ fr:sweet
0.8609	0.860	-0.001	3	beep	bishop	en:beep = fr:bip ≈ en:bishop ~ fr:bishop
0.8608	0.901	0.045	6	breakfast	finement	en:breakfast ≈ fr:braquent est ~ fr:faon est ≈ en:finest ~ en:fin ≈ fr:fines ~ fr:finement
0.8599	0.893	0.037	6	bags	sectes	en:bags = fr:sacs ≈ en:suck ~ en:sucked ≈ fr:secte ~ en:sect ≈ fr:sectes
0.8598	0.963	0.107	5	settlers	logiciel	en:settlers ~ en:settler ≈ fr:sait les ~ fr:savent ouais ≈ en:software ~ fr:logiciel
0.8597	0.912	0.057	6	teaching	sandwich	en:teaching ~ en:teaches ≈ fr:dit chaise ~ fr:sain dit chaise ≈ en:sandwiches ~ en:sandwich ≈ fr:sandwich
0.8583	0.969	0.114	5	leapt	libyen	en:leapt ~ en:leap ≈ fr:lippe ~ en:lippy ≈ fr:libye ~ fr:libyen
0.8582	0.934	0.081	6	costume	cassette	en:costume ~ fr:costume ≈ en:costing ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:cassette
0.8571	0.968	0.115	4	deport	teddy	en:deport ≈ fr:dépote ~ fr:dédie ≈ en:teddy ~ fr:teddy
0.8570	0.950	0.098	6	stellar	pain	en:stellar ≈ fr:stylé ~ en:pen ≈ fr:peine = en:penalty ≈ fr:pain haleter ~ fr:pain
0.8551	0.913	0.063	6	cardboard	ski	en:cardboard ≈ fr:cas botte ~ fr:case ≈ en:skies ~ fr:skies ≈ en:ski ~ fr:ski
0.8542	0.986	0.134	5	fries	gratuit	en:fries ~ fr:frites ≈ en:frit ~ fr:frit ≈ en:free ~ fr:gratuit
0.8540	0.933	0.085	6	debt inner	sexes	en:debt inner ~ en:debt ≈ fr:dettes ~ en:seas ≈ fr:six ~ en:six ≈ fr:sexes
0.8540	0.957	0.108	6	lift	libye	en:lift ~ fr:lift ≈ en:leaped ~ en:leap ≈ fr:lippe ~ en:lippy ≈ fr:libye
0.8539	0.979	0.128	3	beauty	beurre	en:beauty ~ fr:beauté ≈ en:butter ~ fr:beurre
0.8522	0.890	0.042	6	bags	secte	en:bags = fr:sacs ≈ en:suck ~ en:sucked ≈ fr:sectes ~ en:sect ≈ fr:secte
0.8486	0.933	0.090	5	cookies	kiwi	en:cookies ~ en:cookie ≈ fr:kiki ~ fr:kiwis ≈ en:kiwi ~ fr:kiwi
0.8479	0.897	0.055	6	cholesterol	rôles	en:cholesterol ≈ fr:collais troll ~ en:troll ≈ fr:roll ~ en:roll ≈ fr:rôle ~ fr:rôles
0.8478	0.910	0.068	6	teach	sandwich	en:teach ~ en:teaches ≈ fr:dit chaise ~ fr:sain dit chaise ≈ en:sandwiches ~ en:sandwich ≈ fr:sandwich
0.8457	0.865	0.022	6	deed egg	symptômes	en:deed egg ~ en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ en:set um ≈ fr:symptômes
0.8456	0.941	0.101	6	cheque	shake	en:cheque ≈ fr:tchèque ~ fr:tchèques ≈ en:check = fr:chèque ≈ en:shake ~ fr:shake
0.8453	0.863	0.021	5	boiled	majordome	en:boiled ~ en:boil ≈ fr:ball ~ fr:balle ≈ en:butler = fr:majordome
0.8445	0.963	0.123	5	lectures	fracture	en:lectures ~ en:lecture ≈ fr:liguent chez ~ fr:traquent chez ≈ en:fracture ~ fr:fracture
0.8425	0.886	0.049	6	plate	strictes lies	en:plate ~ fr:plate ≈ en:polite = fr:polis ≈ en:purely ~ en:strictly ≈ fr:strictes lies
0.8423	0.889	0.053	5	drives	funèbre	en:drives ~ en:drive ≈ fr:drap ive ~ fr:gré ive ≈ en:grave ~ fr:funèbre
0.8416	0.917	0.082	5	connects	trousses	en:connects = fr:relie ≈ en:really ~ en:truly ≈ fr:trous lies ~ fr:trousses
0.8415	0.945	0.110	6	genesis	jeans	en:genesis ≈ fr:djinns hisse ~ fr:djinns ≈ en:jean ~ fr:jean ≈ en:jeans ~ fr:jeans
0.8412	0.951	0.115	6	bees	leaders	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise ~ fr:lient aise ≈ en:leaders ~ fr:leaders
0.8407	0.952	0.117	6	stellar	douleur	en:stellar ≈ fr:stylé ~ en:pen ≈ fr:peine = en:penalty ≈ fr:pain haleter ~ fr:douleur
0.8407	0.909	0.075	6	cardboard	skier	en:cardboard ≈ fr:cas botte ~ fr:case ≈ en:skies ~ fr:skies ≈ en:ski ~ fr:skier
0.8407	0.953	0.118	5	sweat	suédois	en:sweat ~ en:sweating ≈ fr:souhait in ~ fr:souhaite ≈ en:swede = fr:suédois
0.8402	0.877	0.042	6	platform	strictes lies	en:platform = fr:plate ≈ en:polite = fr:polis ≈ en:purely ~ en:strictly ≈ fr:strictes lies
0.8396	0.893	0.060	6	podcast	forteresse	en:podcast ≈ fr:pot caste ~ fr:pot reps ≈ en:portraits ~ fr:portrait ≈ en:fortress ~ fr:forteresse
0.8395	0.933	0.100	2	autumn eater	rémunération	en:autumn eater ≈ fr:indemnités ~ fr:rémunération
0.8388	0.952	0.119	5	merged	enseignante	en:merged ~ en:merger ≈ fr:met chez ~ fr:dit chez ≈ en:teacher ~ fr:enseignante
0.8386	0.981	0.145	5	jeep	boss	en:jeep ~ fr:jeep ≈ en:jefe ~ fr:bosse ≈ en:boss ~ fr:boss
0.8381	0.953	0.121	6	censorship	chips	en:censorship ≈ fr:saines chipe ~ fr:freinent chipe ≈ en:friendship ~ en:friendships ≈ fr:freinent chips ~ fr:chips
0.8372	0.921	0.091	6	lenses	root	en:lenses ≈ fr:laines aise ~ fr:ruent aise ≈ en:routers ~ fr:routes ≈ en:root ~ fr:root
0.8372	0.879	0.048	6	revenue	roses	en:revenue = fr:recettes ≈ en:russet ~ en:russell ≈ fr:rôles ~ en:roles ≈ fr:roses
0.8364	0.942	0.112	5	selling	storm	en:selling ~ en:sell ≈ fr:selle ~ fr:tome ≈ en:storm ~ fr:storm
0.8345	0.984	0.152	5	fries	gratuits	en:fries ~ fr:frites ≈ en:frit ~ fr:frit ≈ en:free ~ fr:gratuits
0.8324	0.930	0.105	2	endure	ion	en:endure ≈ fr:haines ion ~ fr:ion
0.8320	0.960	0.133	5	lectures	fractures	en:lectures ~ en:lecture ≈ fr:liguent chez ~ fr:traquent chez ≈ en:fracture ~ fr:fractures
0.8309	0.916	0.093	6	fruits	bride	en:fruits ~ en:fruit ≈ fr:routes ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.8291	0.897	0.076	6	cholesterol	rôle	en:cholesterol ≈ fr:collais troll ~ en:troll ≈ fr:roll ~ en:roll ≈ fr:rôles ~ fr:rôle
0.8289	0.943	0.121	6	poop	crosse	en:poop = fr:crotte ≈ en:crossed ~ en:crosse ≈ fr:cross ~ en:cross ≈ fr:crosse
0.8285	0.908	0.088	6	taught	sandwich	en:taught ~ en:teaches ≈ fr:dit chaise ~ fr:sain dit chaise ≈ en:sandwiches ~ en:sandwich ≈ fr:sandwich
0.8274	0.861	0.039	5	slavery	ray	en:slavery ~ fr:slaves ≈ en:slice ~ fr:rez ≈ en:ray ~ fr:ray
0.8273	0.938	0.118	4	density	refusé	en:density ≈ fr:tain cité ~ fr:tain aède ≈ en:denied = fr:refusé
0.8260	0.951	0.131	6	retailer	rift	en:retailer ≈ fr:rient ailé ~ fr:rient rive ≈ en:retrieve ~ en:retrieved ≈ fr:rient rift ~ fr:rift
0.8256	0.955	0.135	2	prawn add	promenades	en:prawn add ≈ fr:promenade ~ fr:promenades
0.8248	0.939	0.122	6	steak	stores	en:steak ~ fr:steak ≈ en:stalk ~ en:stalky ≈ fr:stocker = en:store ≈ fr:stores
0.8243	0.934	0.117	6	pest	paz	en:pest ≈ fr:pestes ~ fr:peste ≈ en:pissed ~ fr:pisse ≈ en:peace ~ fr:paz
0.8238	0.895	0.080	6	cop	lynx	en:cop ~ en:policeman ≈ fr:polis mène ~ fr:polis ≈ en:poorly ~ en:lacks ≈ fr:lynx
0.8231	0.884	0.069	6	pentagon	dressage	en:pentagon ≈ fr:peinent gaine ~ fr:gagne ≈ en:gown ~ fr:dresse ≈ en:dress ~ fr:dressage
0.8229	0.901	0.087	6	increases	crack	en:increases ~ en:increased ≈ fr:christ ~ en:christ ≈ fr:crasse ~ en:cruck ≈ fr:crack
0.8229	0.988	0.167	6	debt	seize	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize
0.8223	0.924	0.110	6	costs	type	en:costs ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:cassette = en:tape ≈ fr:type
0.8222	0.965	0.148	6	queen	coût	en:queen ≈ fr:couinent ~ fr:coudes ≈ en:cooed ~ en:coot ≈ fr:coûte ~ fr:coût
0.8209	0.888	0.076	6	fruit	bride	en:fruit ~ en:fruits ≈ fr:route ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.8207	0.885	0.073	6	serum	sermon	en:serum ≈ fr:serbe ~ fr:serbie ≈ en:ceremony ~ en:ceremonies ≈ fr:sermon aise ~ fr:sermon
0.8205	0.923	0.111	5	naive	coutures	en:naive ~ fr:naïf ≈ en:knife = fr:couteau ≈ en:couture ~ fr:coutures
0.8202	0.922	0.110	6	costing	type	en:costing ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:cassette = en:tape ≈ fr:type
0.8183	0.920	0.111	6	rate	bride	en:rate ~ fr:rate ≈ en:route ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.8183	0.926	0.116	6	roses	rôles	en:roses ~ fr:roses ≈ en:roles ~ en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
0.8176	0.952	0.141	4	particle	majordome	en:particle ≈ fr:bat quel ~ fr:bat les ≈ en:butler = fr:majordome
0.8174	0.909	0.101	6	teachers	sandwichs	en:teachers ≈ fr:dit chaise ~ fr:sain dit chaise ≈ en:sandwiches ~ fr:sandwich ≈ en:sandwich = fr:sandwichs
0.8174	0.948	0.138	6	bees	dirigeants	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise ~ fr:lient aise ≈ en:leaders ~ fr:dirigeants
0.8173	0.963	0.151	5	settlers	logiciels	en:settlers ~ en:settler ≈ fr:sait les ~ fr:savent ouais ≈ en:software ~ fr:logiciels
0.8172	0.963	0.151	6	sketch	ski	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:skient chaise ~ fr:skient ≈ en:ski ~ fr:ski
0.8170	0.879	0.071	6	prizes	blindage	en:prizes ≈ fr:bras aise ~ en:arm ≈ fr:arme ~ fr:armes ≈ en:armor = fr:blindage
0.8167	0.945	0.136	2	disgusting	casting	en:disgusting ≈ fr:dis casting ~ fr:casting
0.8167	0.919	0.111	6	murder	routes	en:murder ~ en:murders ≈ fr:met aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:routes
0.8164	0.942	0.133	5	cells	storm	en:cells ~ en:cell ≈ fr:selle ~ fr:tome ≈ en:storm ~ fr:storm
