en	fr	old_combo	prosody	meaning	tier
Humpty Dumpty	un petit un petit	0.549	0.745	0.486	GOLD
Humpty Dumpty sat on a wall	un petit un petit et on éole	0.521	0.788	0.365	A
Hickory dickory dock	écris critiques	0.608	0.758	0.099	A
Jack and Jill	chacun des il	0.453	0.813	0.386	A
Jack and Jill went up the hill	chacun des loin types elle	0.483	0.815	0.227	A
little Jack Horner	lord licorne	0.580	0.728	0.416	A
twinkle twinkle little star	soin collent un gauloises tard	0.479	0.779	0.336	A
hey diddle diddle	et est elles est elle	0.498	0.802	0.215	A
the cat and the fiddle	débat n devaient elle	0.515	0.854	0.197	A
rain rain go away	rien rien corée	0.520	0.673	0.131	A
Jack be nimble	déclin un bel	0.495	0.795	0.377	A
old mother Hubbard	osent mais apte	0.468	0.815	0.200	A
little Miss Muffet	déroulement met êtes	0.478	0.795	0.364	A
Mary had a little lamb	médias linoléum	0.450	0.818	-0.063	A
rock a bye baby	rentabilité	0.463	0.720	0.235	A
pat a cake pat a cake	peut équipement équipe	0.466	0.806	0.133	A
of the	aux de	0.460	0.771	0.737	GOLD
in the	un de	0.552	0.726	0.619	GOLD
to the	taux a	0.512	0.887	0.525	GOLD
to be	tenu	0.608	0.787	0.553	GOLD
it was	est rose	0.468	0.754	0.496	GOLD
and the	n de	0.597	0.775	0.631	GOLD
it is	grise	0.498	0.750	0.459	GOLD
of his	aux aise	0.525	0.822	0.609	GOLD
on the	on ne	0.552	0.731	0.404	A
from the	frein de	0.674	0.665	0.730	A
at the	et de	0.524	0.771	0.684	GOLD
by the	bas est	0.637	0.877	0.617	GOLD
with the	ouais se	0.570	0.778	0.522	GOLD
for the	front	0.486	0.798	0.447	A
had been	est bonne	0.502	0.845	0.455	GOLD
that the	et de	0.466	0.744	0.746	GOLD
he was	louise	0.478	0.831	0.411	A
that he	d qui	0.490	0.848	0.613	GOLD
of my	aux ma	0.479	0.745	0.806	GOLD
in his	on use	0.496	0.770	0.399	A
he had	liquide	0.458	0.819	0.278	A
upon the	pan de	0.530	0.737	0.618	GOLD
have been	aux fine	0.464	0.821	0.479	GOLD
all the	hors a	0.482	0.820	0.530	GOLD
the whale	cellules	0.474	0.768	0.077	A
to me	tenu	0.638	0.842	0.587	GOLD
as the	aux de	0.482	0.726	0.667	GOLD
one of	on ève	0.507	0.804	0.478	GOLD
the same	ces aimes	0.572	0.825	0.582	GOLD
could not	con as	0.517	0.848	0.338	A
to his	taxe	0.494	0.757	0.244	A
did not	d notes	0.578	0.919	0.211	A
out of	arrive	0.637	0.715	0.584	GOLD
she was	chili	0.594	0.799	0.221	A
and then	un jeune	0.483	0.805	0.440	A
she had	viande	0.476	0.750	0.444	A
in my	on ma	0.555	0.683	0.666	A
but the	bout de	0.588	0.764	0.602	GOLD
do not	don a	0.503	0.881	0.747	GOLD
there was	service	0.495	0.813	0.330	A
there is	terrain	0.496	0.652	0.357	A
was the	ouais se	0.590	0.774	0.520	GOLD
mr darcy	mais stars et	0.561	0.841	0.420	A
is the	aux de	0.467	0.704	0.570	GOLD
of this	as s	0.461	0.890	0.535	GOLD
as to	aux tout	0.623	0.900	0.695	GOLD
to her	tenait	0.621	0.751	0.397	A
you have	grave	0.454	0.798	0.247	A
that it	d hôte	0.474	0.831	0.417	A
and that	en dites	0.500	0.815	0.665	GOLD
was not	les notes	0.489	0.870	0.298	A
of it	aux êtes	0.533	0.897	0.735	GOLD
the first	déteste	0.572	0.875	0.393	A
the most	chimiste	0.544	0.801	0.262	A
the ship	rechute	0.458	0.823	0.344	A
in this	ils s	0.478	0.854	0.514	GOLD
you are	voire	0.478	0.694	0.599	A
the sea	ceci	0.755	0.932	0.458	GOLD
to my	tenant	0.622	0.786	0.302	A
as he	aux qui	0.467	0.812	0.694	GOLD
you will	nouvel	0.474	0.861	0.405	A
would be	vous dit	0.494	0.846	0.489	GOLD
that she	et j	0.478	0.762	0.526	GOLD
that you	d où	0.497	0.844	0.468	GOLD
with his	les use	0.481	0.776	0.460	GOLD
of all	aux elle	0.518	0.868	0.600	GOLD
he is	crise	0.476	0.808	0.294	A
that is	d use	0.486	0.870	0.417	A
to have	trêve	0.569	0.802	0.503	GOLD
is not	n êtes	0.494	0.896	0.774	GOLD
to see	t et	0.525	0.851	0.443	A
and in	en donne	0.540	0.840	0.474	GOLD
if you	et roue	0.459	0.763	0.379	A
me to	but où	0.645	0.918	0.563	GOLD
of that	as hâte	0.461	0.890	0.520	GOLD
to him	terme	0.604	0.783	0.539	GOLD
at last	et liste	0.596	0.890	0.408	A
over the	aux me	0.561	0.708	0.548	GOLD
the whole	local	0.458	0.755	0.395	A
said he	saint qui	0.622	0.886	0.366	A
would have	on caves	0.486	0.741	0.191	A
as if	aux if	0.543	0.906	0.729	GOLD
him to	en tout	0.605	0.706	0.578	GOLD
must be	met but	0.480	0.857	0.391	A
my dear	major	0.647	0.638	0.410	A
of their	as air	0.564	0.791	0.357	A
when the	un de	0.531	0.654	0.563	A
his own	les aune	0.565	0.827	0.430	A
will be	libye	0.562	0.910	0.243	A
has been	les mine	0.533	0.788	0.505	GOLD
at all	europe	0.474	0.685	0.149	A
and his	en dise	0.552	0.829	0.654	GOLD
and he	en dit	0.573	0.810	0.619	GOLD
do you	durée	0.474	0.778	0.284	A
it and	errante	0.461	0.692	0.630	A
me and	merde	0.527	0.769	0.619	GOLD
but it	but if	0.501	0.899	0.587	GOLD
should be	chauds but	0.487	0.865	0.454	GOLD
through the	trous a	0.513	0.796	0.395	A
and as	en dise	0.552	0.865	0.736	GOLD
so that	sceaux as	0.594	0.871	0.490	GOLD
which he	laid j	0.520	0.913	0.623	GOLD
more than	maures n	0.744	0.895	0.497	GOLD
the room	groupe	0.450	0.696	0.377	A
part of	parent if	0.455	0.725	0.258	A
may be	midi	0.630	0.830	0.502	GOLD
and so	in saut	0.462	0.846	0.653	GOLD
as it	aux êtes	0.540	0.902	0.752	GOLD
