seed	hops	quality	loop
amended	4	0.945	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
bell	4	0.957	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
bell	4	0.957	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellis
clack	3	0.969	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clack	4	0.953	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam ~ fr:clo
clam	4	0.952	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ fr:clo
clam	4	0.952	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ en:clo
claque	4	0.959	en:claque ~ fr:claque ≈ en:clack ~ en:clam ≈ fr:clame
classroom	4	0.916	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
classroom	4	0.914	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:clase
countries	4	0.914	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
countries	4	0.908	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country ~ en:ülker
cross	3	0.992	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
cross	3	0.987	en:cross ≈ fr:crosse ~ fr:cross ≈ en:crosse
crosse	3	0.992	en:crosse ≈ fr:cross ~ en:cross ≈ fr:crosse
crosse	3	0.987	en:crosse ≈ fr:cross ~ fr:crosse ≈ en:cross
destroys	4	0.910	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroys	4	0.909	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruits
exclusion	4	0.880	en:exclusion ≈ fr:exclus haine ~ en:excluding ≈ fr:exclus in ~ fr:exclues
exclusion	4	0.878	en:exclusion ≈ fr:exclus haine ~ en:excluding ≈ fr:exclus in ~ fr:exclus
existed	3	0.866	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
existed	4	0.885	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes ~ fr:existant
exit art	4	0.905	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide ~ en:exit
exit art	4	0.899	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide ~ en:exiting
extending	3	0.931	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extending	4	0.937	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended ~ en:extends
extensively	3	0.911	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
extensively	4	0.933	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive ~ fr:extensive
fastest	3	0.886	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
fastest	4	0.883	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster ~ en:fast
feel	4	0.954	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
feel	4	0.950	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ fr:ressentir
feeler	3	0.982	en:feeler ≈ fr:filer ~ fr:files ≈ en:feel
feeler	4	0.982	en:feeler ≈ fr:filer ~ fr:files ≈ en:feel ~ en:feels
footballer	3	0.963	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
footballer	4	0.952	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football ~ fr:voetbal
foresaw	4	0.915	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresaw	4	0.906	en:foresaw ~ en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee
foresee	3	0.939	en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresee	4	0.917	en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees ~ en:foreseeable
foresees	3	0.939	en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee
foresees	4	0.919	en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee ~ en:foretold
fortunate	4	0.941	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
fortunate	4	0.941	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ en:fortunato
fortunately	3	0.961	en:fortunately ≈ fr:faut chenet lis ~ fr:faut chaînette ≈ en:fortunate
fortunately	4	0.963	en:fortunately ≈ fr:faut chenet lis ~ fr:faut chaînette ≈ en:fortunate ~ fr:fortunato
founded	4	0.887	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founded	5	0.899	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding = fr:fondatrice
founders	3	0.880	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founders	4	0.901	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding ~ en:founded
friendship	3	0.940	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
friendship	4	0.954	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships ~ fr:amitiés
himself	3	0.935	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
himself	4	0.913	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
installed	3	0.923	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
installed	4	0.936	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install ~ fr:installe
kindness	4	0.911	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
kindness	4	0.901	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly ~ fr:gentiment
leg	4	0.959	en:leg ≈ fr:legs ~ fr:kaki ≈ en:kaki ~ fr:noga
leg	4	0.959	en:leg ≈ fr:legs ~ fr:kaki ≈ en:kaki ~ en:noga
lender	3	0.953	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders
lender	4	0.952	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lenders	3	0.953	en:lenders ≈ fr:lin dos ~ fr:lin des ≈ en:lender
lenders	4	0.952	en:lenders ≈ fr:lin dos ~ fr:lin des ≈ en:lender = fr:prêteurs
