seed	hops	mean_quality	min_quality	min_sound_edge	max_sound_edge	tier	loop
pp	3	0.9833	0.95	1.0	1.0	S+	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
feeler	3	0.9733	0.92	1.0	1.0	S+	en:feeler ≈ fr:filer ~ fr:files ≈ en:feel
meanie	3	0.9733	0.92	1.0	1.0	S+	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
meany	3	0.9733	0.92	1.0	1.0	S+	en:meany ≈ fr:minis ~ fr:mini ≈ en:meanie
pieced	3	0.9733	0.92	1.0	1.0	S+	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
poop	3	0.9733	0.92	1.0	1.0	S+	en:poop ≈ fr:poupe ~ fr:pouf ≈ en:poof
poop	3	0.9733	0.92	1.0	1.0	S+	en:poop ≈ fr:poupes ~ fr:pouffe ≈ en:poof
less	4	0.9675	0.92	1.0	1.0	S+	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser = fr:moindre
paste	4	0.9675	0.92	1.0	1.0	S+	en:paste = fr:coller ≈ en:caller ~ en:call ≈ fr:colle
paste	4	0.9675	0.92	1.0	1.0	S+	en:paste = fr:colle ≈ en:call ~ en:caller ≈ fr:coller
pp	4	0.9675	0.92	1.0	1.0	S+	en:pp ≈ fr:pipi = en:pee ≈ fr:pis ~ en:pis
troop	4	0.9675	0.92	1.0	1.0	S+	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes = en:troops
feel	4	0.96	0.92	1.0	1.0	S+	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
meanie	4	0.96	0.92	1.0	1.0	S+	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany ~ fr:meher
meany	4	0.96	0.92	1.0	1.0	S+	en:meany ≈ fr:minis ~ fr:mini ≈ en:meanie ~ en:mey
mini	4	0.96	0.92	1.0	1.0	S+	en:mini ~ fr:mini ≈ en:meanie ~ en:meany ≈ fr:minis
mini	4	0.96	0.92	1.0	1.0	S+	en:mini ~ fr:minis ≈ en:meany ~ en:meanie ≈ fr:mini
petit	4	0.96	0.92	1.0	1.0	S+	en:petit ≈ fr:petit ~ en:petite ≈ fr:petites ~ fr:petite
pieced	4	0.96	0.92	1.0	1.0	S+	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece ~ fr:piece
true	4	0.96	0.92	1.0	1.0	S+	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ en:wahre
truly	4	0.96	0.92	1.0	1.0	S+	en:truly ≈ fr:trous lies ~ fr:trous ≈ en:true ~ en:wahre
truly	4	0.96	0.92	1.0	1.0	S+	en:truly ≈ fr:trous lies ~ fr:trous ≈ en:true ~ fr:wahre
poo	5	0.958	0.92	1.0	1.0	S+	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
poo	5	0.958	0.92	1.0	1.0	S+	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:caca
troops	5	0.958	0.92	1.0	1.0	S+	en:troops = fr:troupes ≈ en:troupe ~ fr:troupe ≈ en:troop ~ en:truppe
troops	5	0.958	0.92	1.0	1.0	S+	en:troops = fr:troupes ≈ en:troupe ~ fr:troupe ≈ en:troop ~ fr:truppe
feels	5	0.952	0.92	1.0	1.0	S+	en:feels ~ en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feltre
feels	5	0.952	0.92	1.0	1.0	S+	en:feels ~ en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ fr:ressentir
reads	5	0.952	0.92	1.0	1.0	S+	en:reads ~ en:read ≈ fr:rides ~ fr:ride ≈ en:reader ~ en:reading
reads	5	0.952	0.92	1.0	1.0	S+	en:reads ~ en:read ≈ fr:ride ~ fr:rides ≈ en:reader ~ en:reading
trues	5	0.952	0.92	1.0	1.0	S+	en:trues ~ en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ en:wahre
stalk	3	0.9653	0.92	0.976	1.0	S+	en:stalk ≈ fr:stockent ~ fr:stocker ≈ en:stalky
stalky	3	0.9653	0.92	0.976	1.0	S+	en:stalky ≈ fr:stocker ~ fr:stockent ≈ en:stalk
stalky	3	0.9653	0.92	0.976	1.0	S+	en:stalky ≈ fr:stocker ~ fr:stocke ≈ en:stalk
stalk	4	0.954	0.92	0.976	1.0	S+	en:stalk ≈ fr:stockent ~ fr:stocker ≈ en:stalky ~ en:tagore
possess	4	0.949	0.92	0.976	0.98	S+	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
possess	4	0.949	0.92	0.976	0.98	S+	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possessory
seas	5	0.9472	0.92	0.976	1.0	S+	en:seas ~ en:seizes ≈ fr:scies aise ~ fr:scies ≈ en:si ~ fr:sse
stock	5	0.9472	0.92	0.976	1.0	S+	en:stock ~ fr:stock ≈ en:stalk ~ en:stalky ≈ fr:stocker ~ fr:stocke
stock	5	0.9472	0.92	0.976	1.0	S+	en:stock ~ fr:stock ≈ en:stalk ~ en:stalky ≈ fr:stocker ~ en:saham
