en	fr	pair_score	passages	best_subchain_quality	mean_subchain_quality	min_hops	density_score	example
rooters	ruent aise	0.952	97	0.942	0.9199	2	89.23	en:rooter ~ en:rooters ≈ fr:ruent aise
method	met aide	0.929	93	0.956	0.9238	3	85.91	en:metered ≈ fr:méthode ~ en:method ≈ fr:met aide
pleaded	plient aide	0.96	86	0.953	0.9357	2	80.47	≈ en:pleat ~ en:pleaded ≈ fr:plient aide
tech	teck	1.0	81	0.99	0.9685	2	78.45	~ fr:tics en:teak = fr:teck ≈ en:tech
si	scient	1.0	81	0.97	0.9582	3	77.61	en:sea ≈ fr:si ~ en:si ≈ fr:scient
metered	méthode	0.952	83	0.956	0.9234	2	76.65	en:metered ≈ fr:méthode ~ en:method
distracted	dis traquent aide	0.954	80	0.951	0.9322	2	74.58	en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide
retailer	rient ailé	0.983	74	0.978	0.9665	2	71.52	en:retailers ~ en:retailer ≈ fr:rient ailé
root	routes	1.0	75	0.978	0.9173	2	68.79	en:root ≈ fr:routes ~ fr:route
piece	pisse	1.0	69	0.988	0.9636	2	66.49	en:piece ≈ fr:pisse ~ fr:pisses
root	route	1.0	70	1.0	0.9479	2	66.35	en:root ≈ fr:route ~ en:route ≈ fr:routes
branding	brin digne	0.918	68	0.935	0.9285	2	63.14	≈ en:branded ~ en:branding ≈ fr:brin digne
retailers	rient hélas	0.94	63	0.977	0.9676	2	60.96	≈ en:retailer ~ en:retailers ≈ fr:rient hélas
resell	ries elle	0.976	64	0.962	0.9473	2	60.63	en:reseal ~ en:resell ≈ fr:ries elle
lecture	liguent chez	0.94	64	0.966	0.9343	2	59.79	en:feature ≈ fr:fient chez ~ fr:liguent chez ≈ en:lecture
branded	prennent aide	0.915	63	0.935	0.9267	2	58.38	en:fitted ≈ fr:fait aide ~ fr:prennent aide ≈ en:branded
should	shoot	0.927	61	0.983	0.9539	2	58.19	en:should ≈ fr:shoot ~ en:shoot ≈ fr:shoote
sex	sexes	1.0	60	0.982	0.9594	2	57.56	≈ fr:sexe ~ fr:sexes ≈ en:sex
enters	aident aise	0.929	61	0.947	0.9199	2	56.11	≈ en:entry ~ en:enters ≈ fr:aident aise
lectures	liguent chaise	0.932	60	0.949	0.928	2	55.68	en:lecture ~ en:lectures ≈ fr:liguent chaise
gravel	gras elle	0.911	59	0.961	0.9242	2	54.53	en:gravel ≈ fr:gras elle ~ fr:pissent elle
reseal	ries il	0.956	57	0.957	0.9483	2	54.05	en:cs ≈ fr:sis ès ~ fr:ries il ≈ en:reseal
lesson	laids haine	0.952	57	0.96	0.9456	2	53.9	en:lesson ≈ fr:laids haine ~ fr:haine
pen	peine	1.0	56	0.968	0.9551	2	53.48	en:penalty = fr:peine ≈ en:pen
presses	précise	0.967	55	0.979	0.9544	3	52.49	~ en:pressie fr:précis ~ fr:précise ≈ en:presses
