word	mate	mate_homophone	shared
acc	cac	conic	2
acceptant	acceptent	accept	2
acceptant	acceptent	except	2
acceptation	acceptent	accept	2
acceptation	acceptent	except	2
accepter	acceptent	accept	3
accepter	acceptent	except	3
accepter	accepte	accept	2
accepter	accepte	acceptance	2
acceptez	acceptent	accept	3
acceptez	acceptent	except	3
acceptez	accepte	accept	2
acceptez	accepte	acceptance	2
acclamations	clap	clap	2
accord	corde	chord	2
accord	corde	cord	2
accord	corde	corder	2
adele	adèle	adele	2
adele	adèle	adèle	2
adorable	belle	bell	2
adorable	belle	belle	2
adorable	belle	bellied	2
adorable	belle	bellies	2
adorable	belle	belling	2
affecter	affectent	affect	2
affecter	affectent	affecting	2
affecter	affectent	effect	2
affecter	affectent	perfect	2
affecter	affecte	affect	2
affecter	affecte	effect	2
agressif	agressive	aggressive	3
agressifs	agressive	aggressive	3
agression	agressive	aggressive	2
agressions	agressive	aggressive	2
agressives	agressive	aggressive	3
agressivité	agressive	aggressive	3
alive	live	arrive	2
alive	live	life	2
alive	live	lives	2
alive	live	thrive	2
antiquaire	antique	antique	2
antiquité	antique	antique	2
antiquités	antique	antique	2
appendice	annexe	annex	2
approuvant	approuve	approve	2
approuvant	approuvent	approve	2
approuver	approuve	approve	3
approuver	approuvent	approve	3
approximation	rapprochements	rapprochement	2
approximation	rapprochement	rapprochement	2
aristocratie	gentry	gentry	2
arm	armes	armor	2
armement	armes	armor	5
armements	armes	armor	5
armer	armes	armor	3
artistes	artiste	artiste	2
arête	crête	caressed	2
arête	crête	correct	2
arête	crête	corrected	2
arête	crête	cred	2
arête	crête	crest	2
arête	crête	crête	2
arête	crête	grit	2
arête	crête	regret	2
arête	crest	crest	2
arête	crest	crête	2
ascendante	crescent	crescent	2
ass	fesse	face	3
ass	fesse	fess	3
ass	fesse	fez	3
ass	fesse	fits	3
ass	fesses	fess	3
ass	fesses	fez	3
assis	assise	sees	2
astuces	trucs	trick	2
attack	attaque	isaac	2
attester	attestent	attest	2
attester	atteste	artist	2
attester	atteste	attest	2
aurora	aurores	aurore	2
aurora	aurore	aurore	2
australien	australie	ought rally	3
australienne	australie	ought rally	3
australiens	australie	ought rally	3
authentifier	authentification	authentication	2
autoroute	route	root	2
autoroutes	route	root	2
avc	attaque	isaac	2
axes	axe	axe	2
babe	baby	babies	2
balais	brosse	broader	2
balles	bols	balls	2
ballons	bols	balls	2
balsam	baume	become	3
balsam	baume	bomb	3
balsam	baume	bum	3
bancaire	banque	banker	3
bancaire	banque	bock	3
bannie	banni	bonnie	2
bannie	bannis	bonnie	2
banques	banque	banker	3
banques	banque	bock	3
bar	barreau	borough	2
bar	barre	bizarre	2
bar	barre	br	2
barré	barre	bizarre	4
barré	barre	br	4
barré	barreau	borough	2
barrée	barre	bizarre	3
barrée	barre	br	3
bat	batte	bite	2
bat	batte	bout	2
bat	batte	but	2
baton	baguette	baguette	2
battements	batte	bite	2
battements	batte	bout	2
battements	batte	but	2
bay	baies	bye	2
bay	baie	bed	2
beep	bip	beep	2
beep	bip	beeps	2
beep	bip	blip	2
beep	bip	peep	2
beep	bips	beep	2
beep	bips	beeps	2
bennet	bennett	bennet	2
bennet	bennett	bennett	2
berry	baies	bye	2
berry	baie	bed	2
bienheureux	béni	beanie	2
bienheureux	béni	benny	2
bienheureux	bénisse	basis	2
billes	bols	balls	2
biographie	biographies	biography	2
biographique	biographies	biography	2
biographiques	biographies	biography	2
bleue	bleu	below	4
bleue	blues	blued	3
bleues	bleu	below	4
bleues	blues	blued	3
bleus	bleu	below	4
bleus	blues	blued	3
blocage	bloc	belong	2
blocage	bloc	belonged	2
blocage	bloc	belonging	2
blocage	bloc	belongs	2
blocage	bloc	black	2
blocage	bloc	blank	2
blocage	bloc	bloc	2
block	bloc	belong	2
block	bloc	belonged	2
block	bloc	belonging	2
block	bloc	belongs	2
block	bloc	black	2
block	bloc	blank	2
block	bloc	bloc	2
blog	blogue	blog	2
blogs	blogue	blog	2
bloquant	bloc	belong	2
bloquant	bloc	belonged	2
bloquant	bloc	belonging	2
bloquant	bloc	belongs	2
bloquant	bloc	black	2
bloquant	bloc	blank	2
bloquant	bloc	bloc	2
bloquer	bloc	belong	2
bloquer	bloc	belonged	2
bloquer	bloc	belonging	2
bloquer	bloc	belongs	2
bloquer	bloc	black	2
bloquer	bloc	blank	2
bloquer	bloc	bloc	2
blouses	blouse	blues	2
bluffer	bluff	bluff	2
blâmer	blâme	blamed	3
bone	bones	bone	2
border	bord	before	2
border	bord	boris	2
bordure	bord	before	3
bordure	bord	boris	3
bordures	bord	before	2
bordures	bord	boris	2
bouddhisme	bouddhiste	buddhist	3
bouddhisme	bouddhistes	buddhist	3
boules	bols	balls	2
boulon	bolt	bolt	2
boulons	bolt	bolt	2
bourgeois	bourgeoisie	bourgeoisie	2
bourgeoise	bourgeoisie	bourgeoisie	2
bretagne	bretonne	britain	4
breton	bretonne	britain	4
bretons	bretonne	britain	4
brillance	gloss	gloss	2
brillance	gloss	glossy	2
brillant	gloss	gloss	2
brillant	gloss	glossy	2
brosses	brosse	broader	2
broussailles	brosse	broader	2
brown	brunes	brune	5
brown	brune	brune	5
brown	brunette	brunette	4
brownie	brownies	brownies	2
brun	brunes	brune	5
brun	brune	brune	5
brun	brunette	brunette	4
bruns	brunes	brune	5
bruns	brune	brune	5
bruns	brunette	brunette	4
buisson	brousse	brews	4
buisson	brousse	bruise	4
buissons	brousse	brews	4
buissons	brousse	bruise	4
bush	brousse	brews	2
bush	brousse	bruise	2
butin	fesse	face	2
butin	fesse	fess	2
butin	fesse	fez	2
butin	fesse	fits	2
butin	fesses	fess	2
butin	fesses	fez	2
bâtit	bâti	bounty	2
bâtit	bâti	busty	2
bâtit	bâti	butty	2
bâton	baguette	baguette	2
béatrice	beatrice	beatrice	2
bébé	baby	babies	2
bénie	béni	beanie	3
bénie	béni	benny	3
bénie	bénisse	basis	2
bénin	bénigne	penning	4
bénir	béni	beanie	2
bénir	béni	benny	2
bénir	bénisse	basis	2
bénis	béni	beanie	3
bénis	béni	benny	3
bénis	bénisse	basis	2
cadets	cadette	cadet	2
cadets	cadet	cadre	2
cadets	cadet	carder	2
cafe	café	café	2
campement	camp	ca	3
campements	camp	ca	2
camping	camp	ca	2
camps	camp	ca	3
capes	caps	cap	2
caresser	caresse	caress	3
caresser	caresses	caress	3
caries	carie	catty	3
caries	carie	corrie	3
caries	carie	cutty	3
carnivore	carnivores	carnivore	3
carrefour	croix	croix	2
carrefour	crossover	crossover	2
casquettes	caps	cap	3
cavité	carie	catty	2
cavité	carie	corrie	2
cavité	carie	cutty	2
cavités	carie	catty	3
cavités	carie	corrie	3
cavités	carie	cutty	3
cci	sic	secret	2
cci	sic	seek	2
cci	sic	seeking	2
cci	sic	seeks	2
cci	sic	slick	2
cci	sic	speak	2
ced	edc	edc	2
cedric	cédric	cédric	2
cei	sic	secret	5
cei	sic	seek	5
cei	sic	seeking	5
cei	sic	seeks	5
cei	sic	slick	5
cei	sic	speak	5
cei	cis	cei	5
cell	cellules	cell	2
cell	cellules	cellular	2
cell	cellule	cell	2
cerisier	cerises	cerise	3
cerisier	cerises	cities	3
cerisier	cerises	series	3
cerisier	cerise	cerise	3
cerisier	cerise	cities	3
cerisier	cerise	series	3
cerisier	cerise	stories	3
certain	certaines	sentence	2
certain	certaines	sentences	2
certain	certaines	settling	2
certaine	certaines	sentence	2
certaine	certaines	sentences	2
certaine	certaines	settling	2
certains	certaines	sentence	2
certains	certaines	sentences	2
certains	certaines	settling	2
chad	tchad	chad	2
chad	tchad	chartered	2
chaine	chaîne	chen	2
chaine	chaîne	sean	2
chaine	chaîne	shane	2
chaine	chaîne	sharon	2
chaine	chaîne	shed	2
chaine	chaîne	shedding	2
charmes	charme	sharm	4
charmes	charm	sharm	3
cheikh	cheik	cheque	3
cherry	cerises	cerise	3
cherry	cerises	cities	3
cherry	cerises	series	3
cherry	cerise	cerise	3
cherry	cerise	cities	3
cherry	cerise	series	3
cherry	cerise	stories	3
chocs	choc	shook	3
choeur	chorale	chorale	4
chope	coupe	cooper	2
chope	coupe	coup	2
chope	coupe	coupe	2
chope	coupe	couper	2
chope	coupe	coupé	2
choquant	choc	shook	2
choquante	choc	shook	2
choquantes	choc	shook	2
choquer	choc	shook	3
chorales	chorale	chorale	3
chorégraphe	chorégraphie	choreography	2
christiane	christine	christine	2
chromé	chrome	chrome	2
chœur	chorale	chorale	4
chœurs	chorale	chorale	4
cic	sic	secret	6
cic	sic	seek	6
cic	sic	seeking	6
cic	sic	seeks	6
cic	sic	slick	6
cic	sic	speak	6
cic	cis	cei	4
cicatrice	scar	scar	2
cicatrices	scar	scar	2
ciels	ciel	yell	3
cieux	ciel	yell	3
cinéma	ciné	scene	3
cinéma	ciné	seen	3
cinémas	ciné	scene	3
cinémas	ciné	seen	3
ciseau	ciseaux	seas	2
ciseau	ciseaux	sees	2
ciseau	ciseaux	seesaw	2
ciseau	ciseaux	seize	2
citation	cite	cede	2
citation	cite	seat	2
citation	cite	seek	2
citation	citer	ct	2
citation	citer	seedy	2
citoyen	civiques	civic	2
citoyen	civique	civic	2
citoyenne	civiques	civic	3
citoyenne	civique	civic	3
citée	cité	seeder	2
citée	cité	seedy	2
citée	cité	sitar	2
citée	cité	sitter	2
civisme	civiques	civic	3
civisme	civique	civic	3
clamp	clip	clip	2
clamp	clip	clips	2
clc	sic	secret	5
clc	sic	seek	5
clc	sic	seeking	5
clc	sic	seeks	5
clc	sic	slick	5
clc	sic	speak	5
clc	cis	cei	4
cld	cid	cede	2
cld	cid	seed	2
cld	cid	seeder	2
clement	clément	claiming	2
cliquant	cliquez	quickly	2
cliquer	cliquez	quickly	2
clonage	clone	clone	3
clonage	clones	clone	3
cloner	clone	clone	3
cloner	clones	clone	3
codées	codé	cauda	2
codées	codé	corder	2
codés	codé	cauda	2
codés	codé	corder	2
collecter	collecte	collect	4
collecter	collecte	collector	4
collectif	collective	collective	2
collectifs	collective	collective	2
collection	collecte	collect	2
collection	collecte	collector	2
collectionner	collecte	collect	4
collectionner	collecte	collector	4
collet	col	call	4
collet	col	called	4
collet	col	cole	4
collet	col	hall	4
collet	col	haul	4
collier	col	call	4
collier	col	called	4
collier	col	cole	4
collier	col	hall	4
collier	col	haul	4
commandement	commande	commander	2
commandements	commande	commander	2
commandes	contrôles	controllers	2
commémoration	memorial	memorial	2
como	côme	coma	2
compact	compresse	compress	2
compact	compresses	compress	2
compact	pact	pact	2
compact	pacte	pact	2
compacte	compresse	compress	2
compacte	compresses	compress	2
compacte	pact	pact	2
compacte	pacte	pact	2
compactes	compresse	compress	2
compactes	compresses	compress	2
compactes	pact	pact	2
compactes	pacte	pact	2
compacts	compresse	compress	2
compacts	compresses	compress	2
compacts	pact	pact	2
compacts	pacte	pact	2
compresser	compresse	compress	3
compresser	compresses	compress	3
comprimer	compresse	compress	3
comprimer	compresses	compress	3
compétence	expertises	expenses	2
compétence	expertises	expertise	2
compétence	expertise	expertise	2
compétences	expertises	expenses	2
compétences	expertises	expertise	2
compétences	expertise	expertise	2
comédie	comique	comique	5
comédie	comic	comique	4
comédien	comique	comique	4
comédien	comic	comique	4
concéder	concède	corset	2
confesser	confesse	confess	4
confession	confesse	confess	3
consomme	consume	consumer	2
consomment	consume	consumer	2
consommer	consume	consumer	2
constant	constante	court art	2
constantes	constante	court art	2
constants	constante	court art	2
contestation	protester	protest	3
contestation	protester	protests	3
contingent	quotas	catarrh	3
contingents	quotas	catarrh	3
contrainte	stressé	stress	3
contrainte	stressé	stressed	3
contrainte	stressée	stress	2
contrainte	stressée	stressed	2
cookies	cookie	kookie	2
cookies	cookie	kooky	2
coordonné	coordonnées	coordinator	2
coordonnée	coordonnées	coordinator	2
coordonnés	coordonnées	coordinator	2
copier	copies	copy	3
copier	copie	copy	3
copier	copie	kopje	3
copiez	copies	copy	3
copiez	copie	copy	3
copiez	copie	kopje	3
cordoue	córdoba	cordoba	3
cordoue	córdoba	cordova	3
cordoue	córdoba	córdoba	3
cornéenne	cornée	cornea	3
correcteur	correcte	correct	2
correcteur	correct	correct	2
correcteurs	correctives	corrective	2
correctif	correctives	corrective	2
correction	correcte	correct	2
correction	correct	correct	2
corriger	correcte	correct	2
corriger	correct	correct	2
corrigez	correcte	correct	2
corrigez	correct	correct	2
coréen	corée	kauri	2
coréenne	corée	kauri	2
coréens	corée	kauri	2
cot	crèche	crèche	3
cotation	cotes	caught	4
cotation	cotes	court	4
cotation	cote	caught	4
cotation	cote	court	4
cotations	cotes	caught	2
cotations	cotes	court	2
couettes	couette	quest	3
coupage	couper	coupe	6
coupage	couper	couper	6
coupage	couper	coupé	6
coupage	coupez	coupe	5
coupage	coupez	couper	5
coupage	coupez	coupé	5
coupage	coupé	coupe	5
coupage	coupé	couper	5
coupage	coupé	coupé	5
coupage	coupe	cooper	5
coupage	coupe	coup	5
coupage	coupe	coupe	5
coupage	coupe	couper	5
coupage	coupe	coupé	5
coupures	coupes	cooper	2
