word	mate	shared
abattoir	abattoirs	2
abattoirs	abattoir	2
abbreviated	abridged	2
abdallah	abdullah	2
abdel	abdul	2
abdelaziz	abdulaziz	2
abdomen	abdominal	2
abdominal	abdomen	2
abdul	abdel	2
abdulaziz	abdelaziz	2
abdullah	abdallah	2
able	capable	2
abnormal	abnormality	4
abnormality	abnormal	4
abortion	abortions	2
abortions	abortion	2
abou	abu	2
abrasive	abrasives	2
abrasives	abrasive	2
abridged	abbreviated	2
abruzzi	abruzzo	2
abruzzo	abruzzi	2
absorb	absorbing	3
absorb	absorbent	2
absorbent	absorb	2
absorbent	absorbing	2
absorbing	absorb	3
absorbing	absorbent	2
abstract	abstraction	4
abstraction	abstract	4
absurd	absurdity	2
absurdity	absurd	2
abu	abou	2
academic	academics	2
academics	academic	2
acc	cac	2
accelerate	accelerating	4
accelerate	acceleration	3
accelerate	accelerated	3
accelerate	accelerates	2
accelerated	accelerating	7
accelerated	acceleration	7
accelerated	accelerate	3
accelerates	accelerate	2
accelerates	accelerating	2
accelerating	acceleration	7
accelerating	accelerated	7
accelerating	accelerate	4
accelerating	accelerates	2
acceleration	accelerating	7
acceleration	accelerated	7
acceleration	accelerate	3
accent	accented	7
accent	accentuated	7
accent	accents	4
accent	accentuation	2
accented	accentuated	7
accented	accent	7
accented	accents	4
accented	accentuation	2
accents	accented	4
accents	accentuated	4
accents	accent	4
accents	accentuation	2
accentuate	accentuates	3
accentuated	accented	7
accentuated	accent	7
accentuated	accents	4
accentuated	accentuation	2
accentuates	accentuate	3
accentuation	accented	2
accentuation	accents	2
accentuation	accentuated	2
accentuation	accent	2
accept	accepting	5
accept	accepts	4
accept	acceptance	3
acceptance	accepting	3
acceptance	accept	3
accepting	accept	5
accepting	acceptance	3
accepting	accepts	3
accepts	accept	4
accepts	accepting	3
accessories	accessory	2
accessory	accessories	2
accidental	accidentally	4
accidentally	accidental	4
accord	chord	2
account	comte	2
account	counting	2
account	count	2
accreditation	accreditations	2
accreditations	accreditation	2
accumulated	cumulative	3
accumulated	accumulation	3
accumulation	cumulative	3
accumulation	accumulated	3
accurate	correct	3
accurate	exact	3
accurate	exactly	3
acid	acids	3
acids	acid	3
acoustic	acoustics	2
acoustics	acoustic	2
acrobatic	acrobatics	2
acrobatics	acrobatic	2
act	acting	2
acting	act	2
activate	activating	2
activate	activation	2
activating	activate	2
activating	activation	2
activation	activating	2
activation	activate	2
active	actives	3
actives	active	3
actual	real	2
actuarial	actuary	2
actuary	actuarial	2
adapt	adapting	2
adaptability	adaptable	3
adaptability	adaptive	2
adaptable	adaptability	3
adaptable	adaptive	3
adapting	adapt	2
adaptive	adaptable	3
adaptive	adaptability	2
adelaide	adélaïde	2
adele	adèle	2
adequacy	adequate	4
adequate	adequacy	4
adjacent	adjoining	4
adjoining	adjacent	4
adjust	adjusting	2
adjust	adjustments	2
adjust	adjustment	2
adjusting	adjustment	4
adjusting	adjustments	3
adjusting	adjust	2
adjustment	adjusting	4
adjustment	adjustments	3
adjustment	adjust	2
adjustments	adjusting	3
adjustments	adjustment	3
adjustments	adjust	2
admin	administrator	3
administer	administers	2
administers	administer	2
administrator	admin	3
admire	admiring	3
admire	admires	2
admires	admire	2
admires	admiring	2
admiring	admire	3
admiring	admires	2
admissible	allowable	4
admissible	eligible	2
admissible	permissible	2
admission	admittance	2
admission	admissions	2
admissions	admittance	2
admissions	admission	2
admit	admitting	3
admit	admits	3
admits	admitting	3
admits	admit	3
admittance	admission	2
admittance	admissions	2
admitting	admit	3
admitting	admits	3
adolf	adolphe	3
adolf	adolph	3
adolph	adolphe	3
adolph	adolf	3
adolphe	adolph	3
adolphe	adolf	3
adopt	adopting	4
adopt	adopter	2
adopter	adopting	2
adopter	adopt	2
adopting	adopt	4
adopting	adopter	2
adorable	belle	2
adrian	adrien	2
adrien	adrian	2
adult	adults	2
adults	adult	2
advance	advanced	2
advanced	advance	2
adèle	adele	2
adélaïde	adelaide	2
aerobic	aerobics	2
aerobics	aerobic	2
aerodynamic	aerodynamics	2
aerodynamics	aerodynamic	2
aerospace	aérospatiale	2
aesthetic	aesthetics	2
aesthetics	aesthetic	2
affect	affects	3
affection	affections	2
affections	affection	2
affects	affect	3
affiliate	affiliates	4
affiliates	affiliate	4
affordability	affordable	2
affordable	affordability	2
afghan	afghans	4
afghan	afghani	4
afghani	afghans	4
afghani	afghan	4
afghans	afghan	4
afghans	afghani	4
africain	african	4
africain	africains	4
africain	africaines	4
africain	africans	4
africaines	africain	4
africaines	african	4
africaines	africains	4
africaines	africans	4
africains	africain	4
africains	african	4
africains	africaines	4
africains	africans	4
african	africain	4
african	africains	4
african	africaines	4
african	africans	4
africans	africain	4
africans	african	4
africans	africains	4
africans	africaines	4
aggregate	aggregates	2
aggregates	aggregate	2
aggression	aggressiveness	7
aggression	aggressive	6
aggression	aggressively	5
aggression	aggressions	3
aggressions	aggressive	3
aggressions	aggressiveness	3
aggressions	aggression	3
aggressive	aggression	6
aggressive	aggressiveness	6
aggressive	aggressively	5
aggressive	aggressions	3
aggressively	aggression	5
aggressively	aggressive	5
