src	dst	hops	quality	chain
abilities	avec	4	0.881	en:abilities ≈ fr:épilent hisse ~ fr:émettent ≈ en:met ~ fr:avec
abilities	rencontrée	4	0.878	en:abilities ≈ fr:épilent hisse ~ fr:émettent ≈ en:met = fr:rencontrée
abilities	émettent	2	0.891	en:abilities ≈ fr:épilent hisse ~ fr:émettent
about	cantine	6	0.866	en:about ≈ fr:épate ~ fr:épines ≈ en:eighteen ~ en:seventeen ≈ fr:sève cantine ~ fr:cantine
about	séchage	6	0.861	en:about ≈ fr:épate ~ fr:épines ≈ en:eighteen ~ en:seventeen ≈ fr:sève cantine ~ fr:séchage
about	sève cantine	5	0.868	en:about ≈ fr:épate ~ fr:épines ≈ en:eighteen ~ en:seventeen ≈ fr:sève cantine
accept	ère	6	0.868	en:accept = fr:acceptent ≈ en:except ~ fr:excepté ≈ en:exception ~ en:error ≈ fr:ère
accept	airs	6	0.868	en:accept = fr:acceptent ≈ en:except ~ fr:excepté ≈ en:exception ~ en:error ≈ fr:airs
accept	aires	6	0.868	en:accept = fr:acceptent ≈ en:except ~ fr:excepté ≈ en:exception ~ en:error ≈ fr:aires
accepts	ère	6	0.862	en:accepts ~ fr:acceptes ≈ en:except ~ fr:excepté ≈ en:exception ~ en:error ≈ fr:ère
accepts	airs	6	0.862	en:accepts ~ fr:acceptes ≈ en:except ~ fr:excepté ≈ en:exception ~ en:error ≈ fr:airs
accepts	aires	6	0.862	en:accepts ~ fr:acceptes ≈ en:except ~ fr:excepté ≈ en:exception ~ en:error ≈ fr:aires
access	montant	6	0.880	en:access ≈ fr:axis ~ en:plot ≈ fr:plate = en:platform ≈ fr:plat sommes ~ fr:montant
access	montante	6	0.880	en:access ≈ fr:axis ~ en:plot ≈ fr:plate = en:platform ≈ fr:plat sommes ~ fr:montante
access	montants	6	0.878	en:access ≈ fr:axis ~ en:plot ≈ fr:plate = en:platform ≈ fr:plat sommes ~ fr:montants
accessed	plat sommes	6	0.885	en:accessed ~ en:access ≈ fr:axis ~ en:plot ≈ fr:plate = en:platform ≈ fr:plat sommes
accessed	plateformes	6	0.874	en:accessed ~ en:access ≈ fr:axis ~ en:plot ≈ fr:plate = en:platform ≈ fr:plateformes
accessed	plateforme	6	0.874	en:accessed ~ en:access ≈ fr:axis ~ en:plot ≈ fr:plate = en:platform ≈ fr:plateforme
