en	fr	sound	meaning	cognate	tier
the	le	0.577	1.0	0	DUAL-B
for	pour	0.526	1.0	0	DUAL-B
utc	utc	0.458	1.0	1	DUAL-B
his	his	0.591	1.0	1	DUAL-B
not	non	0.528	1.0	0	DUAL-B
talk	talk	0.591	1.0	1	DUAL-B
one	un	0.450	1.0	0	DUAL-B
one	une	0.538	1.0	0	DUAL-B
new	nouveau	0.645	1.0	0	DUAL-A
new	nouvelle	0.596	1.0	0	DUAL-B
new	nouvelles	0.596	1.0	0	DUAL-B
new	nouveaux	0.645	1.0	0	DUAL-A
new	nouveautés	0.587	1.0	0	DUAL-B
page	pages	0.649	1.0	1	DUAL-A
page	page	0.649	1.0	1	DUAL-A
you	vous	0.572	1.0	0	DUAL-B
you	you	1.000	1.0	1	DUAL-S
article	article	0.524	1.0	1	DUAL-B
who	who	0.512	1.0	1	DUAL-B
all	all	0.512	1.0	1	DUAL-B
their	leur	0.546	1.0	0	DUAL-B
their	leurs	0.546	1.0	0	DUAL-B
people	personnes	0.458	1.0	0	DUAL-B
may	mai	0.618	1.0	0	DUAL-A
may	may	0.618	1.0	1	DUAL-A
after	after	0.492	1.0	1	DUAL-B
two	two	0.578	1.0	1	DUAL-B
score	score	0.787	1.0	1	DUAL-S
her	her	0.512	1.0	1	DUAL-B
she	she	0.512	1.0	1	DUAL-B
time	temps	0.565	1.0	0	DUAL-B
american	américaine	0.526	1.0	1	DUAL-B
american	américain	0.471	1.0	1	DUAL-B
american	américaines	0.526	1.0	0	DUAL-B
american	américains	0.471	1.0	1	DUAL-B
discussion	discussions	0.551	1.0	1	DUAL-B
discussion	discussion	0.551	1.0	1	DUAL-B
discussion	débat	0.463	1.0	0	DUAL-B
links	liens	0.517	1.0	1	DUAL-B
some	certains	0.499	1.0	0	DUAL-B
some	certaines	0.489	1.0	0	DUAL-B
school	ecole	0.513	1.0	0	DUAL-B
school	école	0.513	1.0	0	DUAL-B
world	monde	0.506	1.0	0	DUAL-B
during	durant	0.480	1.0	0	DUAL-B
out	out	0.733	1.0	1	DUAL-A
national	nationaux	0.475	1.0	1	DUAL-B
national	national	0.564	1.0	1	DUAL-B
national	nationale	0.564	1.0	1	DUAL-B
national	nationales	0.564	1.0	1	DUAL-B
wikipedia	wikipédia	0.695	1.0	1	DUAL-A
wikipedia	wikipedia	0.793	1.0	1	DUAL-S
year	annee	0.467	1.0	0	DUAL-B
most	most	0.760	1.0	1	DUAL-S
county	comté	0.536	1.0	0	DUAL-B
external	externe	0.685	1.0	1	DUAL-A
external	extérieurs	0.633	1.0	0	DUAL-A
external	extérieur	0.633	1.0	0	DUAL-A
external	extérieure	0.633	1.0	0	DUAL-A
external	externes	0.685	1.0	1	DUAL-A
will	will	0.591	1.0	1	DUAL-B
march	marche	0.660	1.0	1	DUAL-A
march	mars	0.546	1.0	0	DUAL-B
august	août	0.500	1.0	0	DUAL-B
film	film	0.787	1.0	1	DUAL-S
south	sud	0.477	1.0	0	DUAL-B
september	septembre	0.693	1.0	1	DUAL-A
october	octobre	0.512	1.0	1	DUAL-B
three	three	0.591	1.0	1	DUAL-B
war	guerre	0.524	1.0	0	DUAL-B
war	war	0.610	1.0	1	DUAL-A
under	under	0.576	1.0	1	DUAL-B
april	avril	0.488	1.0	1	DUAL-B
born	born	1.000	1.0	1	DUAL-S
december	décembre	0.487	1.0	1	DUAL-B
december	decembre	0.499	1.0	1	DUAL-B
link	lien	0.527	1.0	1	DUAL-B
later	ultérieur	0.499	1.0	0	DUAL-B
part	partie	0.634	1.0	1	DUAL-A
november	novembre	0.569	1.0	1	DUAL-B
list	liste	0.787	1.0	1	DUAL-S
list	listes	0.787	1.0	1	DUAL-S
please	please	0.648	1.0	1	DUAL-A
february	fevrier	0.543	1.0	0	DUAL-B
