on early	in lis	en	fr	0.94	0.952	0.803	1.24
set could	cessent cours	en	fr	0.938	0.966	0.777	1.24
edit needed east	était diront reste	en	fr	0.917	0.813	0.861	1.36
ex me	axes mis	en	fr	0.935	0.901	0.782	1.24
politics	politique	en	fr	0.905	0.812	0.935	1.12
worst were	août souhait	en	fr	0.942	0.911	0.759	1.24
art urging	avait chine	en	fr	0.911	0.748	0.909	1.24
es up	ès est	en	fr	0.926	0.828	0.788	1.24
best enter	baissent scène	en	fr	0.958	0.887	0.711	1.24
set be	cessent bis	en	fr	0.98	0.966	0.637	1.24
published pet east	publient paix type	en	fr	0.912	0.816	0.766	1.36
arrest ren	est reine	en	fr	0.976	0.667	0.893	1.24
produced were	près tout souhait	en	fr	0.952	0.906	0.857	1.3
set before	cessent but or	en	fr	0.941	0.96	0.797	1.3
et reset could for	êtes distinct court faut	en	fr	0.94	0.854	0.822	1.48
sheet art	chez date	en	fr	0.945	0.808	0.913	1.24
on limit	in limite	en	fr	0.922	0.892	0.842	1.24
split on early	flics in lis	en	fr	0.913	0.893	0.774	1.36
worst episode	août dépôt aurait	en	fr	0.919	0.825	0.837	1.3
at urgency	avait gènes est	en	fr	0.903	0.796	0.878	1.3
worst published pet east	août publient paix type	en	fr	0.915	0.817	0.789	1.48
arrest restless up	ès très flèches est	en	fr	0.934	0.786	0.799	1.42
alert bar	ils aident bas	en	fr	0.927	0.772	0.846	1.3
arrest unless et before	est rhin lès cessent pivot	en	fr	0.954	0.838	0.702	1.5
site of	chat œufs	en	fr	0.93	0.744	0.734	selfimprove
range of	rhin chef	en	fr	0.885	0.79	0.733	selfimprove
instead of	haines fait ève	en	fr	0.979	0.702	0.738	selfimprove
toward the	fort de	en	fr	0.883	0.945	0.844	selfimprove
edition of	son ève	en	fr	0.894	0.787	0.737	selfimprove
according to	accord nous	en	fr	0.912	0.951	0.876	selfimprove
series of	séries œufs	en	fr	1.0	0.737	0.783	selfimprove
hundreds of	in raids ève	en	fr	0.969	0.681	0.713	selfimprove
attempting to	étain ben tout	en	fr	0.892	0.793	0.741	selfimprove
consisting of	con sait neuf	en	fr	0.916	0.841	0.797	selfimprove
toward the	fort je	en	fr	0.883	0.945	0.844	selfimprove
attempting to	étain ben tous	en	fr	0.892	0.793	0.741	selfimprove
toward the	dehors de	en	fr	0.907	0.913	0.843	selfimprove
