tier	score	fr	en_phrase	fr_ipa
A	0.949	restaurer	red aura	ʁɛstɔʁe
A	0.943	statistiques	started eek	statistik
A	0.943	statistique	started eek	statistik
A	0.94	promenade	prawn add	pʁɔmnad
A	0.936	écosystème	accursed em	ekɔsistɛm
A	0.93	optique	ought eek	ɔptik
A	0.93	mystérieuse	meet arras	misteʁjøz
A	0.929	ethnique	en eek	ɛtnik
A	0.929	ethniques	en eek	ɛtnik
A	0.924	mystérieux	meet error	misteʁjø
A	0.922	indemnité	autumn eater	ɛ̃dɛmnite
A	0.922	indemnités	autumn eater	ɛ̃dɛmnite
A	0.922	obtiennent	ought yen	ɔptjɛ̃n
A	0.921	distance	deed arse	distɑ̃s
A	0.921	distingue	deed egg	distɛ̃ɡ
A	0.921	distances	deed arse	distɑ̃s
A	0.921	golden	gawd en	ɡɔldɛn
A	0.917	description	discreet your	dɛskʁipsjɔ̃
A	0.917	descriptions	discreet your	dɛskʁipsjɔ̃
A	0.915	positive	petit eve	pozitiv
A	0.915	positives	petit eve	pozitiv
A	0.915	distinctes	deed irked	distɛ̃kt
A	0.913	austérité	ought arena	osteʁite
A	0.912	optimiste	ought amassed	ɔptimist
A	0.911	restera	red error	ʁɛstəʁa
A	0.911	historien	eat aura	istɔʁjɛ̃
A	0.911	historiens	eat aura	istɔʁjɛ̃
A	0.911	nostalgie	naught agee	nɔstalʒi
A	0.907	industriel	edit riyal	ɛ̃dystʁijɛl
A	0.907	industrielle	edit riyal	ɛ̃dystʁijɛl
A	0.907	industriels	edit riyal	ɛ̃dystʁijɛl
A	0.907	industrielles	edit riyal	ɛ̃dystʁijɛl
A	0.906	resteront	red raw	ʁɛstəʁɔ̃
A	0.902	symptômes	set um	sɛ̃ptom
A	0.901	positif	petit if	pozitif
A	0.901	distinguer	dit eager	distɛ̃ɡe
A	0.901	positifs	petit if	pozitif
A	0.901	maintenance	men arse	mɛ̃tnɑ̃s
A	0.901	assistante	acid art	asistɑ̃t
S	0.966	tristesse	treat esse	tʁistɛs
S	0.96	système	seat em	sistɛm
S	0.96	systèmes	seat em	sistɛm
S	0.96	country	cooed rhea	kuntʁi
S	0.96	mystique	meet eek	mistik
S	0.952	historique	eat auric	istɔʁik
S	0.952	historiques	eat auric	istɔʁik
S	0.952	destiné	debt inner	dɛstine
S	0.952	destinée	debt inner	dɛstine
S	0.952	destinés	debt inner	dɛstine
S	0.952	destinées	debt inner	dɛstine
S	0.952	hostile	ought eel	ɔstil
S	0.952	hostiles	ought eel	ɔstil
S	0.949	plastique	plot eek	plastik
S	0.949	pathétique	petit eek	patetik
S	0.949	plastiques	plot eek	plastik
S	0.949	textile	ticked eel	tɛkstil
S	0.943	existence	exit arse	ɛɡzistɑ̃s
S	0.943	existantes	exit art	ɛɡzistɑ̃t
S	0.94	prisonniers	frisson ya	pʁizɔnje
S	0.94	prisonnier	frisson ya	pʁizɔnje
S	0.94	domestique	doormat eek	dɔmɛstik
S	0.94	domestiques	doormat eek	dɔmɛstik
S	0.94	moustache	moot ash	mustaʃ
S	0.935	australie	ought rally	ostʁali
S	0.935	pistolet	peat olla	pistɔlɛ
S	0.932	extrême	irked rim	ɛkstʁɛm
S	0.932	constater	court utter	kɔ̃state
S	0.932	constaté	court utter	kɔ̃state
S	0.932	substance	souped arse	sypstɑ̃s
S	0.932	extrêmes	irked rim	ɛkstʁɛm
S	0.932	substances	souped arse	sypstɑ̃s
S	0.931	constate	court art	kɔ̃stat
S	0.931	extra	irked rah	ɛkstʁa
S	0.928	dépression	debris your	depʁesjɔ̃
S	0.928	palestine	pallet in	palɛstin
S	0.928	pesticides	pet acid	pɛstisid
S	0.926	festival	fit evil	fɛstival
S	0.926	festivals	fit evil	fɛstival
S	0.924	médecine	mad in	medsin
S	0.921	question	get your	kɛstjɔ̃
S	0.921	questions	get your	kɛstjɔ̃
S	0.921	constante	court art	kɔ̃stɑ̃t
S	0.921	constance	court arse	kɔ̃stɑ̃s
S	0.921	justesse	shoot esse	ʒystɛs
S	0.921	postale	port earl	pɔstal
S	0.921	vestiges	vet ease	vɛstiʒ
S	0.921	instaurer	it aura	ɛ̃stɔʁe
S	0.919	toutefois	toot were	tutfwa
S	0.918	justifie	shoot iffy	ʒystifi
S	0.917	management	manners meant	manadʒmɛnt
S	0.915	esthétique	it attack	ɛstetik
S	0.915	pétition	petit your	petisjɔ̃
S	0.911	résistance	receipt arse	ʁezistɑ̃s
S	0.904	palestiniens	pallet inner	palɛstinjɛ̃
S	0.904	palestinien	pallet inner	palɛstinjɛ̃
S	0.901	justice	shoot ease	ʒystis
S	0.901	gestion	shit your	ʒɛstjɔ̃
S	0.901	installer	it olla	ɛ̃stale
S	0.901	extrait	irked raw	ɛkstʁɛ
S	0.901	installé	it olla	ɛ̃stale
S	0.901	extraits	irked raw	ɛkstʁɛ
S	0.901	installée	it olla	ɛ̃stale
S	0.901	installés	it olla	ɛ̃stale
S	0.901	gustave	coot of	ɡystav
