seed	hops	quality	loop
amended	4	0.945	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
beat	3	0.913	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	3	0.913	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
beater	5	0.885	en:beater ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beater	5	0.885	en:beater ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beaters	5	0.885	en:beaters ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beaters	5	0.885	en:beaters ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beating	5	0.893	en:beating ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beating	5	0.893	en:beating ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
bell	4	0.957	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
bell	4	0.957	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellis
bit	4	0.900	en:bit = fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
bit	4	0.890	en:bit ~ fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
bite	4	0.913	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bites
bite	4	0.913	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bittent
boot	4	0.815	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
boot	4	0.815	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
bootee	4	0.829	en:bootee ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
bootee	4	0.829	en:bootee ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
bris	5	0.899	en:bris ~ fr:bris ≈ en:breathe ~ en:breath ≈ fr:brèche ~ fr:bryk
buddy	5	0.920	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
buddy	5	0.920	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
call	3	0.905	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
call	3	0.861	en:call ≈ fr:cols ~ fr:colle ≈ en:calls
caller	4	0.921	en:caller ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
caller	4	0.888	en:caller ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
callers	4	0.914	en:callers ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
callers	4	0.881	en:callers ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
calling	4	0.926	en:calling ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
calling	4	0.893	en:calling ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
cease	4	0.853	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
cease	4	0.841	en:cease ~ fr:stoppes ≈ en:step = fr:step ≈ en:stop
check	3	0.938	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
check	3	0.938	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checks
checks	5	0.931	en:checks ~ en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked = fr:vérifiés
checks	5	0.931	en:checks ~ en:check ≈ fr:tchèque ~ fr:tchèques ≈ en:checked = fr:vérifiés
clack	3	0.969	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clack	4	0.953	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam ~ en:clo
clam	4	0.952	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ fr:clo
clam	4	0.952	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ en:clo
claque	4	0.959	en:claque ~ fr:claque ≈ en:clack ~ en:clam ≈ fr:clame
class	5	0.911	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
class	5	0.893	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy ~ fr:classe
classes	4	0.902	en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
classes	4	0.880	en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy ~ fr:classe
classroom	4	0.916	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
classroom	4	0.914	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ en:clase
clique	3	0.897	en:clique ≈ fr:clic ~ en:click ≈ fr:clique
clique	4	0.907	en:clique ≈ fr:clic ~ en:click ≈ fr:clique ~ fr:cliques
close	4	0.894	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
close	4	0.884	en:close ~ fr:close ≈ en:clause ~ fr:clauses ≈ en:closes
closed	4	0.879	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
closed	4	0.886	en:closed ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
closing	4	0.880	en:closing ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
closing	4	0.887	en:closing ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
coaches	4	0.862	en:coaches ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:coach
coaches	4	0.862	en:coaches ~ en:coach ≈ fr:catch ~ en:catch ≈ fr:coach
cooed	3	0.895	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
cooed	3	0.895	en:cooed ≈ fr:coudes ~ fr:coude ≈ en:coot
cooing	5	0.912	en:cooing ~ en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot ~ fr:cooder
cooing	5	0.912	en:cooing ~ en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot ~ en:cooder
correct	5	0.908	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
countries	4	0.914	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
countries	4	0.908	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country ~ fr:ülker
coup	4	0.901	en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
coup	4	0.891	en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon ~ fr:coupons
court	3	0.913	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
court	3	0.913	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
court arse	5	0.913	en:court arse ~ en:court ≈ fr:cotes ~ fr:cote ≈ en:courts ~ fr:court
court arse	5	0.913	en:court arse ~ en:court ≈ fr:cote ~ fr:cotes ≈ en:courts ~ fr:court
crass	6	0.933	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crass	6	0.932	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:cric
cross	3	0.992	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
cross	3	0.987	en:cross ≈ fr:crosse ~ fr:cross ≈ en:crosse
crosse	3	0.992	en:crosse ≈ fr:cross ~ en:cross ≈ fr:crosse
crosse	3	0.987	en:crosse ≈ fr:cross ~ fr:crosse ≈ en:cross
crossed	4	0.971	en:crossed ~ fr:crosse ≈ en:cross ~ fr:cross ≈ en:crosse
crossed	4	0.968	en:crossed ~ fr:crosse ≈ en:cross ~ en:crosse ≈ fr:cross
crowd	4	0.926	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
crowd	4	0.921	en:crowd = fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
cruck	4	0.921	en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
cruck	4	0.919	en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:cric
cruet	5	0.927	en:cruet ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:cric
cruet	5	0.917	en:cruet ~ en:cruck ≈ fr:crack = en:crack ≈ fr:craque ~ en:cric
destroys	4	0.910	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroys	4	0.909	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruits
dicks	5	0.910	en:dicks = fr:bites ≈ en:beats ~ en:beat ≈ fr:bite = en:dick
excluded	4	0.905	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclues ≈ en:exclude
excluded	4	0.904	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus ≈ en:exclude
excluding	4	0.858	en:excluding ~ fr:excluant ≈ en:exclusion ~ fr:exclus ≈ en:exclude
excluding	5	0.886	en:excluding ~ fr:excluant ≈ en:exclusion ~ fr:exclus ≈ en:exclude ~ fr:exclut
exclusion	3	0.817	en:exclusion ≈ fr:exclus haine ~ en:exclude ≈ fr:exclus
exclusion	3	0.817	en:exclusion ≈ fr:exclus haine ~ en:exclude ≈ fr:exclues
exist	4	0.881	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exist	4	0.887	en:exist = fr:existent ≈ en:exit ~ en:exit arse ≈ fr:existence
existed	3	0.866	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
existed	4	0.885	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes ~ fr:existant
exists	5	0.898	en:exists ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent ~ fr:existe
exists	5	0.894	en:exists ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent = en:exist
exit arse	5	0.889	en:exit arse ≈ fr:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exit
exit arse	6	0.903	en:exit arse ≈ fr:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exit ~ en:exiting
exit art	4	0.905	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide ~ en:exit
