count	en_chunk	fr_chunk	examples
372	st	st	least~listes; least~liste; least~list
244	ɹi	ɹi	very~vais rient; read~rides; read~ride
227	ɛk	ɛk	check~tchèques; check~tchèque; sex~sexes
199	ɛs	ɛs	less~laisses; less~laissent; less~laisse
191	ks	ks	sex~sexes; sex~sexe; express~expresse
184	ɛn	ɛn	any~haie nient; many~mets nient; men~mènent
183	tɹ	tɹ	true~trous; true~trou; truly~trous lies
170	ɹɛ	ɹɛ	red~raids; red~raide; red~raid
167	li	li	least~listes; least~liste; least~list
148	sɛ	sɛ	said~cède; set~sets; set~sept
141	pɹ	pɹ	press~presse; pressure~prêche; prove~prouvent
137	si	si	see~sis; see~si; see~scie
125	ɛks	ɛks	sex~sexes; sex~sexe; express~expresse
104	ɛst	ɛst	west~ouest; rest~restes; rest~restent
104	ti	ti	tea~tee; steel~styles; steel~style
102	tɛ	tɛ	tell~tels; tell~telles; tell~telle
99	kt	kt	sector~sectes; sector~secte; peeked~picte
90	pi	pi	piece~pisse; peace~pisse; peter~pires
89	sp	sp	sport~spots; sport~spot; express~expresse
83	lɛ	lɛ	less~laisses; less~laissent; less~laisse
83	pl	pl	deeply~dits pli; plea~plis; plea~plie
80	ɪd	ɛd	treated~trient aide; seated~scient aide; planted~planent aide
79	bi	bi	be~bis; beat~bits; beat~bites
79	ɛl	ɛl	tell~tels; tell~telles; tell~telle
79	ik	ik	seek~sic; peak~piques; peak~pique
79	dɪ	di	destroyed~dissent rhodes; designer~dis année; disagree~dis aigri
77	ɹɪ	ɹi	retrieve~rient rive; resource~ries os; richer~rient chez
76	kɹ	kɹ	cross~crosse; cream~crimes; cream~crime
75	ɹu	ɹu	group~groupes; group~groupe; true~trous
75	it	it	meet~mythes; meet~mythe; eat~hit
72	mɛ	mɛ	many~mets nient; men~mènent; men~mène
72	in	in	mean~mines; mean~mine; gene~jean
71	mi	mi	me~mit; me~mis; me~mie
71	ɛt	ɛt	set~sets; set~sept; set~cette
70	sk	sk	ski~skis; escort~escorte; scoot~scout
69	ɡɹ	ɡɹ	group~groupes; group~groupe; grief~griffes
68	kl	kl	clue~clous; clue~clou; clusters~classent aise
65	di	di	ready~raies dits; deeply~dits pli; moody~mous dits
64	iz	iz	freeze~frise; bees~bises; bees~bise
62	pɛ	pɛ	pet~pète; pen~peines; pen~peine
62	ən	ɛn	treason~tries haine; eastern~hissent haine; season~scies haine
61	ɪŋ	in	preaching~prient chine; expressing~exprès in; freezing~frits in
59	ɔl	ɔl	call~cols; call~collent; call~colle
59	əz	ɛz	creatures~crient chaise; letters~laid aise; losers~loues aise
58	ɛkt	ɛkt	sector~sectes; sector~secte; sect~secte
57	ɪk	ik	picture~piquent chez; exotic~exact hic; matrix~met rixe
57	əl	ɛl	mental~mènent elle; diesel~dis elle; metal~met elle
55	ɔt	ɔt	court~quote; court~cotes; court~cote
54	fɔ	fɔ	for~forts; for~fort; form~formes
54	kɔ	kɔ	call~cols; call~collent; call~colle
54	ɹɛs	ɹɛs	rest~restes; rest~restent; rest~reste
54	ɪn	ɛn	miniature~mènent chez; printed~prennent aide; instructor~haines tracter
53	ni	ni	any~haie nient; many~mets nient; technique~techniques
53	nd	nd	around~round; surrender~serein des; render~rhin des
53	ksp	ksp	express~expresse; expressing~exprès in; expose~exposent
53	ɛksp	ɛksp	express~expresse; expressing~exprès in; expose~exposent
53	ut	ut	route~routes; root~routes; root~route
52	ɪz	ɛz	lenses~laines aise; reaches~rient chaise; treaties~trient aise
51	stɹ	stɹ	stress~stresse; registry~raids stries; stressful~stressent elle
49	ɹa	ɹa	around~round; describe~dis crabe; prizes~bras aise
48	is	is	least~listes; least~liste; least~list
47	nt	nt	entry~haines tri; plenty~plain tee; center~sain tes
47	ɪs	is	destroyed~dissent rhodes; crystal~crissent elle; pistol~pissent elle
46	bɹ	bɹ	breed~bride; breeze~brise; celebrities~célèbrent hisse
