tier	score	en	fr	en_ipa	fr_ipa
S	1.0	group	groupes	ɡɹuːp	ɡʁup
S	1.0	group	groupe	ɡɹuːp	ɡʁup
S	1.0	air	airs	ɛɹ	ɛʁ
S	1.0	form	formes	fɔːɹm	fɔʁm
S	1.0	form	forme	fɔːɹm	fɔʁm
S	1.0	west	ouest	wɛst	wɛst
S	1.0	sex	sexes	sɛks	sɛks
S	1.0	sex	sexe	sɛks	sɛks
S	1.0	test	tests	tɛst	tɛst
S	1.0	press	presses	pɹɛs	pʁɛs
S	1.0	press	presse	pɹɛs	pʁɛs
S	1.0	league	ligues	liːɡ	liɡ
S	1.0	league	ligue	liːɡ	liɡ
S	1.0	lord	lords	lɔːɹd	lɔʁd
S	1.0	text	textes	tɛkst	tɛkst
S	1.0	text	texte	tɛkst	tɛkst
S	1.0	sort	sortes	sɔːɹt	sɔʁt
S	1.0	sort	sorte	sɔːɹt	sɔʁt
S	1.0	fresh	fraîches	fɹɛʃ	fʁɛʃ
S	1.0	fresh	fraîche	fɹɛʃ	fʁɛʃ
S	1.0	score	scores	skoːɹ	skoʁ
S	1.0	prove	prouve	pɹuːv	pʁuv
S	1.0	net	nets	nɛt	nɛt
S	1.0	enemy	ennemies	ɛnəmi	ɛnəmi
S	1.0	debt	dettes	dɛt	dɛt
S	1.0	debt	dette	dɛt	dɛt
S	1.0	express	expresse	ɛkspɹɛs	ɛkspʁɛs
S	1.0	peak	pics	piːk	pik
S	1.0	technique	techniques	tɛkniːk	tɛknik
S	1.0	boom	boum	buːm	bum
S	1.0	sec	secs	sɛk	sɛk
S	1.0	chef	chefs	ʃɛf	ʃɛf
S	1.0	soup	soupe	suːp	sup
S	1.0	ski	skis	skiː	ski
S	1.0	ore	ores	oːɹ	oʁ
S	1.0	escort	escorte	ɛskɔːɹt	ɛskɔʁt
S	1.0	norm	normes	nɔːɹm	nɔʁm
S	1.0	norm	norme	nɔːɹm	nɔʁm
S	1.0	esteem	estime	ɛstiːm	ɛstim
S	1.0	tel	tels	tɛl	tɛl
S	1.0	breeze	brise	bɹiːz	bʁiz
S	1.0	belle	belles	bɛl	bɛl
B	1.0	whiskey	whisky	wɪski	wɪski
S	1.0	excel	excelle	ɛksɛl	ɛksɛl
S	1.0	yen	yens	jɛn	jɛn
S	1.0	prairie	prairies	pɹɛɹi	pʁɛʁi
S	1.0	troop	troupes	tɹuːp	tʁup
