a	b	type	w
en:to	fr:toux	≈snd	1.0
en:to	fr:tout	≈snd	1.0
en:to	fr:tous	≈snd	1.0
en:for	fr:forts	≈snd	1.0
en:for	fr:fort	≈snd	1.0
en:be	fr:bis	≈snd	1.0
en:by	fr:bye	≈snd	1.0
en:or	fr:ores	≈snd	1.0
en:or	fr:hors	≈snd	1.0
en:we	fr:ouïe	≈snd	1.0
en:we	fr:oui	≈snd	1.0
en:me	fr:mit	≈snd	1.0
en:me	fr:mis	≈snd	1.0
en:me	fr:mie	≈snd	1.0
en:do	fr:doux	≈snd	1.0
en:she	fr:chie	≈snd	1.0
en:new	fr:nous	≈snd	1.0
en:see	fr:sis	≈snd	1.0
en:see	fr:si	≈snd	1.0
en:see	fr:scie	≈snd	1.0
en:two	fr:toux	≈snd	1.0
en:two	fr:tout	≈snd	1.0
en:two	fr:tous	≈snd	1.0
en:any	fr:haie nient	≈snd	1.0
en:said	fr:cède	≈snd	1.0
en:very	fr:vais rient	≈snd	1.0
en:too	fr:toux	≈snd	1.0
en:too	fr:tout	≈snd	1.0
en:too	fr:tous	≈snd	1.0
en:many	fr:mets nient	≈snd	1.0
en:around	fr:round	≈snd	1.0
en:feel	fr:files	≈snd	1.0
en:feel	fr:file	≈snd	1.0
en:feel	fr:fil	≈snd	1.0
en:set	fr:sets	≈snd	1.0
en:set	fr:sept	≈snd	1.0
en:set	fr:cette	≈snd	1.0
en:group	fr:groupes	≈snd	1.0
en:group	fr:groupes	=cog	0.95
fr:groupes	en:group	=cog	0.95
en:group	fr:groupe	≈snd	1.0
en:group	fr:groupe	=cog	0.95
fr:groupe	en:group	=cog	0.95
en:read	fr:rides	≈snd	1.0
en:read	fr:ride	≈snd	1.0
en:mean	fr:mines	≈snd	1.0
en:mean	fr:mine	≈snd	1.0
en:tell	fr:tels	≈snd	1.0
en:tell	fr:telles	≈snd	1.0
en:tell	fr:telle	≈snd	1.0
en:seen	fr:seine	≈snd	1.0
en:call	fr:cols	≈snd	1.0
en:call	fr:collent	≈snd	1.0
en:call	fr:colle	≈snd	1.0
en:men	fr:mènent	≈snd	1.0
en:men	fr:mène	≈snd	1.0
en:less	fr:laisses	≈snd	1.0
en:less	fr:laissent	≈snd	1.0
en:less	fr:laisse	≈snd	1.0
en:order	fr:hordes	≈snd	1.0
en:order	fr:horde	≈snd	1.0
en:says	fr:seize	≈snd	1.0
en:least	fr:listes	≈snd	1.0
en:least	fr:liste	≈snd	1.0
en:least	fr:list	≈snd	1.0
en:talk	fr:toc	≈snd	1.0
en:court	fr:quote	≈snd	1.0
en:court	fr:cotes	≈snd	1.0
en:court	fr:cote	≈snd	1.0
en:true	fr:trous	≈snd	1.0
en:true	fr:trou	≈snd	1.0
en:air	fr:ère	≈snd	1.0
en:air	fr:airs	≈snd	1.0
en:air	fr:airs	=cog	0.95
fr:airs	en:air	=cog	0.95
en:air	fr:aires	≈snd	1.0
en:due	fr:doux	≈snd	1.0
en:buy	fr:bye	≈snd	1.0
en:red	fr:raids	≈snd	1.0
en:red	fr:raide	≈snd	1.0
en:red	fr:raid	≈snd	1.0
en:check	fr:tchèques	≈snd	1.0
en:check	fr:tchèque	≈snd	1.0
en:form	fr:formes	≈snd	1.0
en:form	fr:formes	=cog	0.95
fr:formes	en:form	=cog	0.95
en:form	fr:forment	≈snd	1.0
en:form	fr:forme	≈snd	1.0
en:form	fr:forme	=cog	0.95
fr:forme	en:form	=cog	0.95
en:west	fr:ouest	≈snd	1.0
en:west	fr:ouest	=cog	0.95
fr:ouest	en:west	=cog	0.95
en:former	fr:formes	≈snd	1.0
en:former	fr:forment	≈snd	1.0
en:former	fr:forme	≈snd	1.0
en:ready	fr:raies dits	≈snd	1.0
en:meet	fr:mythes	≈snd	1.0
en:meet	fr:mythe	≈snd	1.0
en:re	fr:riz	≈snd	1.0
en:re	fr:rit	≈snd	1.0
en:re	fr:ris	≈snd	1.0
en:rest	fr:restes	≈snd	1.0
en:rest	fr:restent	≈snd	1.0
en:rest	fr:reste	≈snd	1.0
en:sex	fr:sexes	≈snd	1.0
en:sex	fr:sexes	=cog	0.95
fr:sexes	en:sex	=cog	0.95
en:sex	fr:sexe	≈snd	1.0
en:sex	fr:sexe	=cog	0.95
fr:sexe	en:sex	=cog	0.95
en:knew	fr:nous	≈snd	1.0
en:share	fr:chères	≈snd	1.0
en:share	fr:chère	≈snd	1.0
en:share	fr:chers	≈snd	1.0
en:test	fr:tests	≈snd	1.0
en:test	fr:tests	=cog	0.95
fr:tests	en:test	=cog	0.95
en:test	fr:teste	≈snd	1.0
en:movie	fr:mous vies	≈snd	1.0
en:press	fr:presse	≈snd	1.0
en:press	fr:presse	=cog	0.95
fr:presse	en:press	=cog	0.95
en:role	fr:roll	≈snd	1.0
en:cool	fr:coulent	≈snd	1.0
en:cool	fr:coule	≈snd	1.0
en:eat	fr:hit	≈snd	1.0
en:fall	fr:folles	≈snd	1.0
en:fall	fr:folle	≈snd	1.0
en:fall	fr:fol	≈snd	1.0
en:league	fr:ligues	≈snd	1.0
en:league	fr:ligues	=cog	0.95
fr:ligues	en:league	=cog	0.95
en:league	fr:ligue	≈snd	1.0
en:league	fr:ligue	=cog	0.95
fr:ligue	en:league	=cog	0.95
en:key	fr:qui	≈snd	1.0
en:led	fr:laide	≈snd	1.0
en:lord	fr:lords	≈snd	1.0
en:lord	fr:lords	=cog	0.95
