en_phoneme	fr_phoneme	count
t	t	825
t	d	29
t	ʁ	14
t	s	14
t	l	9
t	p	8
t	ɑ̃	1
t	m	1
t	v	1
t	b	1
t	f	1
s	s	849
s	z	22
s	t	7
s	ʃ	3
s	d	3
s	v	3
s	f	2
s	ʁ	1
ɛ	ɛ	681
ɛ	e	47
ɛ	ɛ̃	39
ɛ	ɔ	21
ɛ	i	15
ɛ	ə	11
ɛ	a	5
ɛ	œ	3
k	k	669
k	ɡ	11
k	s	1
l	l	564
l	i	19
l	w	3
l	ʁ	3
l	ə	1
p	p	500
p	b	20
p	f	6
p	k	2
p	ɛ	1
ɪ	i	289
ɪ	ɛ	131
ɪ	e	35
ɪ	ɛ̃	17
ɪ	ə	11
ɪ	a	10
ɪ	ɪ	9
ɪ	j	6
ɪ	ɔ	3
ɪ	y	3
ɪ	ʁ	2
ɪ	œ	2
ɪ	u	2
ɪ	k	1
ɪ	p	1
ɪ	o	1
ɪ	m	1
ɹ	ʁ	485
ɹ	ɹ	7
ɹ	e	3
ɹ	t	2
ɹ	y	2
ɹ	s	2
ɹ	b	2
ɹ	l	2
ɹ	n	1
ɹ	a	1
ɹ	ɛ	1
iː	i	433
iː	e	27
iː	ɛ	19
iː	y	4
iː	ʁ	2
iː	ø	2
iː	ə	1
iː	ɔ	1
iː	ɛ̃	1
d	d	353
d	t	76
d	ʁ	11
d	l	9
d	z	4
d	n	3
d	s	2
d	b	1
d	e	1
d	p	1
d	m	1
i	i	274
i	e	62
i	s	19
i	ʁ	6
i	y	6
i	j	3
i	ɛ	3
i	ə	1
i	ø	1
n	n	337
n	ɲ	7
n	m	6
n	d	5
n	l	1
n	s	1
m	m	347
m	ʁ	4
m	n	2
m	l	1
m	p	1
m	b	1
ə	ɛ	94
ə	ʁ	57
ə	ɔ	48
ə	ə	37
ə	a	37
ə	ɔ̃	15
ə	o	9
ə	i	8
ə	e	6
ə	ɑ̃	6
ə	œ̃	2
ə	y	1
ə	œ	1
ə	l	1
b	b	232
b	p	31
b	ʁ	3
b	m	2
b	f	1
b	v	1
uː	u	214
uː	y	38
uː	o	4
uː	w	2
uː	œ̃	1
uː	i	1
uː	ø	1
uː	e	1
uː	ɛ	1
ɔː	ɔ	186
ɔː	ɔ̃	32
ɔː	o	27
ɔː	ə	2
ɔː	ø	1
ɔː	a	1
ɔː	ɜː	1
ɔː	ɑ̃	1
z	z	163
z	s	38
z	ʁ	5
z	t	5
z	m	2
z	e	2
z	d	2
z	v	2
z	ʒ	2
f	f	187
f	v	11
f	p	5
f	s	3
f	ʁ	2
f	t	1
æ	a	134
æ	e	15
æ	ɑ̃	10
æ	i	10
æ	ɛ	7
æ	ɛ̃	1
æ	u	1
ɐ	e	74
ɐ	a	16
ɐ	ʁ	14
ɐ	ɛ	14
ɐ	i	14
ɐ	d	1
ɐ	m	1
ɐ	l	1
ɐ	œ	1
ɒ	ɔ	56
ɒ	a	39
ɒ	o	11
ɒ	ɑ̃	10
ɒ	ɔ̃	10
ɒ	i	4
ɒ	ə	2
ɒ	ʁ	1
ɒ	ɛ	1
ɒ	ɛ̃	1
v	v	114
v	f	4
v	ʁ	2
v	b	2
v	z	2
v	p	1
ʃ	ʃ	102
ʃ	ʒ	8
ʃ	s	7
ʃ	ɔ	1
ʃ	t	1
ɡ	ɡ	94
ɡ	k	9
ɡ	ʁ	2
a	a	90
a	ɑ̃	4
a	ʁ	1
ɑː	a	73
ɑː	ɑ̃	9
ɑː	i	4
ɑː	ɔ̃	3
ɑː	ɔ	2
ɑː	o	1
ɑː	œ	1
ʊ	o	41
ʊ	ʊ	12
ʊ	ɔ	12
ʊ	u	6
ʊ	z	3
ʊ	ɛ	2
ʊ	y	1
ʊ	ə	1
ʌ	a	34
ʌ	o	7
ʌ	ə	7
ʌ	e	6
ʌ	ɛ	6
ʌ	y	5
ʌ	ɑ̃	4
ʌ	i	4
ʌ	ɔ	3
ʌ	œ	1
ʌ	ɔ̃	1
e	e	41
e	ɛ	18
e	ʁ	11
e	a	5
e	ø	1
w	w	39
w	v	3
w	l	3
w	ʁ	1
w	ɥ	1
ʒ	ʒ	36
ʒ	ʃ	7
ʒ	t	2
ʒ	l	1
ŋ	n	26
ŋ	ɲ	11
ŋ	ŋ	5
ŋ	ʁ	1
ŋ	ɔ̃	1
ɜː	ɛ	11
ɜː	a	3
ɜː	ɔ	2
ɜː	ɛ̃	1
ɜː	e	1
ɜː	ɔː	1
ɜː	y	1
ɜː	ə	1
j	j	15
j	i	2
o	o	11
o	ʁ	3
ð	d	6
ð	ʒ	4
θ	ʁ	5
θ	t	2
θ	ʃ	1
θ	s	1
