component_id	component_weight	homophonic_hops	node	rank_score	semantic_strings	path	path_edge_scores	attached_count	has_multi	has_generated	attachments
en:air	0.95	0	fr:air	0.9675	en:air | fr:air | fr:airs	fr:air		13	1	0	air->air[whole:S:1]; error->air[whole:S:1]; heir->air[whole:S:1]; hair->air[whole:B:0.766]; hare->air[whole:B:0.766]; wear->air[whole:B:0.761]; where->air[whole:B:0.761]; aired->air[whole:B:0.757]; rare->air[whole:B:0.753]; their->air[whole:B:0.737]; there->air[whole:B:0.737]; elsewhere->s air[multi:B:0.703]
en:acoustic	0.95	0	en:acoustic	0.9603	en:acoustic | fr:acoustique	en:acoustic		2	1	0	acoustic->égouts tic[multi:S:0.952]; acoustic->acoustique[whole:B_safe:0.724]
en:addresses	0.95	0	en:addresses	0.9592	en:address | en:addresses | fr:adresse | fr:adresses	en:addresses		1	1	0	addresses->adrets aise[multi:S:0.945]
en:act	0.95	0	fr:actes	0.9552	en:act | fr:actes	fr:actes		19	1	0	activist->actes est[multi:A:0.918]; oct->actes[whole:B:0.74]; act->actes[whole:B_safe:0.73]; doctor->actes[whole:B:0.693]; dr->actes[whole:B:0.693]; racked->actes[whole:B:0.683]; rucked->actes[whole:B:0.683]; wracked->actes[whole:B:0.683]; fucked->actes[whole:B:0.676]; worked->actes[whole:B:0.674]; shocked->actes[whole:B:0.662]; addict->actes[whole:B:0.659]
en:activist	0.95	0	en:activist	0.9552	en:activist | fr:activistes	en:activist		1	1	0	activist->actes est[multi:A:0.918]
en:antique	0.95	0	en:antique	0.9312	en:antique | fr:antiques | fr:en tic	en:antique		2	1	0	antique->en tic[multi:B:0.758]; antique->antiques[whole:B_safe:0.755]
en:antique	0.95	0	fr:en tic	0.9312	en:antique | fr:antiques | fr:en tic	fr:en tic		1	1	0	antique->en tic[multi:B:0.758]
en:air	0.95	0	en:air	0.9275	en:air | fr:air | fr:airs	en:air		4	0	0	air->air[whole:S:1]; air->aires[whole:S:1]; air->airs[whole:S:1]; air->ère[whole:S:1]
en:air	0.95	0	fr:airs	0.9275	en:air | fr:air | fr:airs	fr:airs		3	0	0	air->airs[whole:S:1]; error->airs[whole:S:1]; heir->airs[whole:S:1]
en:active	0.95	0	en:active	0.9209	en:active | fr:actives	en:active		1	0	0	active->active[whole:S:0.956]:æk+tɪv
en:adorable	0.95	0	en:adorable	0.914	en:adorable | fr:adorables | fr:et rebelles	en:adorable		1	1	0	adorable->et rebelles[multi:B:0.643]
en:adorable	0.95	0	fr:et rebelles	0.914	en:adorable | fr:adorables | fr:et rebelles	fr:et rebelles		1	1	0	adorable->et rebelles[multi:B:0.643]
